strain	sample	read_id	chr_end	copy	expected_element	expected_group	donor_element	donor_group	split_anchor_bp	split_telo_bp	split_total_bp	split_pct_from_anchor	program_assigned_yprime	program_status	program_source	program_mechanism	program_path	anchorHalf_vs_expected	anchorHalf_vs_donor	anchor_margin	teloHalf_vs_expected	teloHalf_vs_donor	telo_margin	pair_longest_homology_bp	pair_homology_identity	evidence	explanation	telo_side
6991	6991_day0_with_selection	SRR33298395.836889	chr13L	1/1	chr13L-1	G2	chr2L-1	G1	1205	5175	6380	18.9	E-chr2L-1	1st Y' Change	chr2L	donor_transfer	chr2L[1]:E-chr2L-1	99.79%	95.42%	+4.37	96.22%	98.93%	+2.71	3883	97.12%	strong	mid-Y' recombination (both halves favour the right reference)	beginning
6991	6991_day0_with_selection	SRR33298395.705953	chr13L	1/1	chr13L-1	G2	chr2L-1	G1	2700	3632	6332	42.6	E-chr2L-1	1st Y' Change	chr6L	subtelomere_switch	chr2L[1]:E-chr2L-1	99.16%	97.38%	+1.78	96.74%	99.28%	+2.54	3883	97.12%	strong	mid-Y' recombination (both halves favour the right reference)	end
6991	6991_day0_with_selection	SRR33298395.931252	chr13L	1/1	chr13L-1	G2	chr2L-1	G1	2700	3597	6297	42.9	E-chr2L-1	1st Y' Change	chr6L	subtelomere_switch	chr2L[1]:E-chr2L-1	99.12%	97.14%	+1.98	96.27%	98.91%	+2.64	3883	97.12%	strong	mid-Y' recombination (both halves favour the right reference)	end
6991	6991_day0_with_selection	SRR33298395.614488	chr14R	1/1	chr14R-1	G11	chr7R-1	G8	2798	4200	6998	40.0	E-chr7R-1	1st Y' Change	chr7R	donor_transfer	chr7R[1]:E-chr7R-1	98.24%	95.31%	+2.93	95.33%	98.39%	+3.06	4973	96.70%	strong	mid-Y' recombination (both halves favour the right reference)	beginning
6991	6991_day0_with_selection	SRR33298395.349274	chr14R	1/1	chr14R-1	G11	chr7R-1	G8	4141	2850	6991	59.2	E-chr7R-1	1st Y' Change	chr7R	donor_transfer	chr7R[1]:E-chr7R-1	98.08%	95.79%	+2.29	93.32%	96.47%	+3.15	4973	96.70%	strong	mid-Y' recombination (both halves favour the right reference)	beginning
6991	6991_day0_with_selection	SRR33298395.279078	chr14R	1/1	chr14R-1	G11	chr7R-1	G8	2775	4142	6917	40.1	E-chr7R-1	1st Y' Change	chr7R	donor_transfer	chr7R[1]:E-chr7R-1	99.15%	96.15%	+3.00	92.85%	96.74%	+3.89	4973	96.70%	strong	mid-Y' recombination (both halves favour the right reference)	end
6991	6991_day0_with_selection	SRR33298395.1459324	chr14R	1/1	chr14R-1	G11	chr7R-1	G8	4200	2655	6855	61.3	E-chr7R-1	1st Y' Change	chr7R	donor_transfer	chr7R[1]:E-chr7R-1	94.04%	92.12%	+1.92	92.49%	94.87%	+2.38	4973	96.70%	strong	mid-Y' recombination (both halves favour the right reference)	end
6991	6991_day0_with_selection	SRR33298395.1099939	chr16L	1/1	chr16L-1	G8	chr10L-1	G7	4200	3071	7271	57.8	E-chr10L-1	1st Y' Change	chr10L	donor_transfer	chr10L[1]:E-chr10L-1	99.38%	97.83%	+1.55	94.57%	99.17%	+4.60	5010	97.13%	strong	mid-Y' recombination (both halves favour the right reference)	end
6991	6991_day0_with_selection	SRR33298395.517366	chr16R	1/1	chr16R-1	G6	chr14L-4	G2	2180	3375	5555	39.2	E-chr14L-4	1st Y' Change	chr14L	donor_transfer	chr14L[4]:E-chr14L-4	99.95%	98.31%	+1.64	96.76%	99.42%	+2.66	3588	98.55%	strong	mid-Y' recombination (both halves favour the right reference)	beginning
6991	6991_day0_with_selection	SRR33298395.555288	chr16R	1/1	chr16R-1	G6	chr13L-1	G2	2175	3361	5536	39.3	E-chr13L-1	1st Y' Change	chr13L	donor_transfer	chr13L[1]:E-chr13L-1	99.85%	98.23%	+1.62	96.76%	99.28%	+2.52	3588	98.61%	strong	mid-Y' recombination (both halves favour the right reference)	end
6991	6991_day0_with_selection	SRR33298395.1657397	chr5R	1/1	chr5R-1	G9	chr10L-1	G7	4208	3000	7208	58.4	E-chr10L-1	1st Y' Change	chr10L	donor_transfer	chr10L[1]:E-chr10L-1	98.64%	96.96%	+1.68	94.85%	98.60%	+3.75	4999	96.86%	strong	mid-Y' recombination (both halves favour the right reference)	beginning
6991	6991_day0_with_selection	SRR33298395.580888	chr5R	1/1	chr5R-1	G9	chr10L-1	G7	1575	5562	7137	22.1	E-chr10L-1	1st Y' Change	chr10L	donor_transfer	chr10L[1]:E-chr10L-1	98.68%	95.28%	+3.40	95.72%	98.94%	+3.22	4999	96.86%	strong	mid-Y' recombination (both halves favour the right reference)	end
6991	6991_day0_with_selection	SRR33298395.319132	chr6L	1/1	chr6L-1	G1	chr14L-4	G2	2476	3375	5851	42.3	E-chr14L-4	1st Y' Change	chr14L	donor_transfer	chr14L[4]:E-chr14L-4	99.11%	96.96%	+2.15	96.81%	98.92%	+2.11	3884	97.35%	strong	mid-Y' recombination (both halves favour the right reference)	beginning
6991	6991_day0_with_selection	SRR33298395.1011445	chr6L	1/1	chr6L-1	G1	chr14L-5	G2	2325	3465	5790	40.2	E-chr14L-5	1st Y' Change	chr14L	donor_transfer	chr14L[5]:E-chr14L-5	93.64%	91.68%	+1.96	92.47%	94.19%	+1.72	3884	97.35%	strong	mid-Y' recombination (both halves favour the right reference)	end
6991	6991_day0_with_selection_repeat	SRR33298373.545529	chr10L	1/1	chr10L-1	G7	chr16L-1	G8	2925	4057	6982	41.9	E-chr16L-1	1st Y' Change	chr16L	donor_transfer	chr16L[1]:E-chr16L-1	99.93%	97.99%	+1.94	95.78%	98.58%	+2.80	5010	97.13%	strong	mid-Y' recombination (both halves favour the right reference)	end
6991	6991_day0_with_selection_repeat	SRR33298373.1520960	chr13L	1/1	chr13L-1	G2	chr2L-1	G1	3071	3300	6371	48.2	E-chr2L-1	1st Y' Change	chr2L	donor_transfer	chr2L[1]:E-chr2L-1	99.44%	97.20%	+2.24	96.02%	99.27%	+3.25	3883	97.12%	strong	mid-Y' recombination (both halves favour the right reference)	beginning
6991	6991_day0_with_selection_repeat	SRR33298373.8939	chr13L	1/1	chr13L-1	G2	chr2L-1	G1	2700	3646	6346	42.5	E-chr2L-1	1st Y' Change	chr2L	donor_transfer	chr2L[1]:E-chr2L-1	99.92%	97.45%	+2.47	96.17%	99.45%	+3.28	3883	97.12%	strong	mid-Y' recombination (both halves favour the right reference)	end
6991	6991_day0_with_selection_repeat	SRR33298373.1266643	chr14R	1/1	chr14R-1	G10	chr14L-1	G8	4200	2804	7004	60.0	E-chr14L-1	1st Y' Change	chr14L	donor_transfer	chr14L[1]:E-chr14L-1	99.18%	96.81%	+2.37	94.76%	98.63%	+3.87	4973	96.70%	strong	mid-Y' recombination (both halves favour the right reference)	end
6991	6991_day0_with_selection_repeat	SRR33298373.942862	chr14R	1/1	chr14R-1	G10	chr13L-1	G2	1114	4725	5839	19.1	E-chr13L-1	1st Y' Change	chr13L	donor_transfer	chr13L[1]:E-chr13L-1	99.66%	94.63%	+5.03	95.65%	99.70%	+4.05	1974	95.90%	strong	mid-Y' recombination (both halves favour the right reference)	beginning
6991	6991_day0_with_selection_repeat2	SRR33298384.498901	chr10L	1/1	chr10L-1	G7	chr7R-1	G8	4200	2794	6994	60.1	E-chr7R-1	1st Y' Change	chr7R	donor_transfer	chr7R[1]:E-chr7R-1	99.68%	98.13%	+1.55	94.86%	99.65%	+4.79	5010	97.15%	strong	mid-Y' recombination (both halves favour the right reference)	end
6991	6991_day0_with_selection_repeat2	SRR33298384.285744	chr14R	1/1	chr14R-1	G10	chr6L-1	G1	1052	5325	6377	16.5	E-chr6L-1	1st Y' Change	chr6L	donor_transfer	chr6L[1]:E-chr6L-1	99.51%	93.51%	+6.00	96.23%	99.63%	+3.40	1963	96.23%	strong	mid-Y' recombination (both halves favour the right reference)	beginning
6991	6991_day0_with_selection_repeat2	SRR33298384.129326	chr15R	1/1	chr15R-1	G8	chr9L-1	G7	1350	5868	7218	18.7	E-chr9L-1	1st Y' Change	chr9L	donor_transfer	chr9L[1]:E-chr9L-1	100.00%	96.39%	+3.61	96.03%	99.23%	+3.20	5016	96.89%	strong	mid-Y' recombination (both halves favour the right reference)	end
6991	6991_day0_with_selection_repeat2	SRR33298384.538094	chr16R	1/1	chr16R-1	G6	chr13L-1	G2	2221	3375	5596	39.7	E-chr13L-1	1st Y' Change	chr13L	donor_transfer	chr13L[1]:E-chr13L-1	98.24%	96.64%	+1.60	95.40%	98.24%	+2.84	3588	98.61%	strong	mid-Y' recombination (both halves favour the right reference)	beginning
6991	6991_day0_with_selection_repeat2	SRR33298384.248800	chr16R	1/1	chr16R-1	G6	chr14L-5	G2	2175	3284	5459	39.8	E-chr14L-5	1st Y' Change	chr14L	donor_transfer	chr14L[5]:E-chr14L-5	100.00%	98.39%	+1.61	96.51%	99.29%	+2.78	3588	98.55%	strong	mid-Y' recombination (both halves favour the right reference)	end
6991	6991_day0	SRR33298461.44252	chr13L	1/1	chr13L-1	G2	chr2L-1	G1	4633	1500	6133	75.5	E-chr2L-1	1st Y' Change	chr2L	donor_transfer	chr2L[1]:E-chr2L-1	97.12%	94.52%	+2.60	95.59%	95.74%	+0.15	3883	97.12%	weak	mid-Y' recombination (correct direction, margins < 1.5 %)	beginning
6991	6991_day0_TeloTag	SRR33298460.128649	chr7R	1/1	chr7R-1	G9	chr5R-1	G10	609	6450	7059	8.6	E-chr5R-1	1st Y' Change	chr5R	donor_transfer	chr5R[1]:E-chr5R-1	97.36%	90.20%	+7.16	97.32%	98.22%	+0.90	6657	98.78%	weak	mid-Y' recombination (correct direction, margins < 1.5 %)	beginning
6991	6991_day0_reference	SRR33298378.55891	chr12L	1/1	chr12L-1	G4	chr16R-1	G6	2475	3098	5573	44.4	E-chr16R-1	1st Y' Change	chr16R	donor_transfer	chr16R[1]:E-chr16R-1	98.91%	97.52%	+1.39	96.03%	96.12%	+0.09	3589	98.41%	weak	mid-Y' recombination (correct direction, margins < 1.5 %)	end
6991	6991_day0_reference	SRR33298378.479559	chr12L	1/1	chr12L-1	G4	chr13L-1	G2	2400	3161	5561	43.2	E-chr13L-1	1st Y' Change	chr13L	donor_transfer	chr13L[1]:E-chr13L-1	98.59%	98.14%	+0.45	97.84%	98.67%	+0.83	5188	99.17%	weak	mid-Y' recombination (correct direction, margins < 1.5 %)	end
6991	6991_day0_reference	SRR33298378.9482	chr14R	1/1	chr14R-1	G10	chr9L-1	G7	3075	4156	7231	42.5	E-chr9L-1	1st Y' Change	chr9L	donor_transfer	chr9L[1]:E-chr9L-1	99.35%	98.28%	+1.07	94.91%	98.16%	+3.25	4903	97.88%	weak	mid-Y' recombination (correct direction, margins < 1.5 %)	end
6991	6991_day0_reference	SRR33298378.69401	chr2L	1/1	chr2L-1	G1	chr14L-5	G2	4317	1650	5967	72.3	E-chr14L-5	1st Y' Change	chr14L	donor_transfer	chr14L[5]:E-chr14L-5	97.81%	97.33%	+0.48	97.53%	98.53%	+1.00	3883	97.24%	weak	mid-Y' recombination (correct direction, margins < 1.5 %)	beginning
6991	6991_day0_reference	SRR33298378.381146	chr5L	1/1	chr5L-1	G12	chr12R-1	G11	3655	3000	6655	54.9	E-chr12R-1	1st Y' Change	chr12R	donor_transfer	chr12R[1]:E-chr12R-1	95.79%	94.65%	+1.14	91.99%	94.15%	+2.16	4718	97.05%	weak	mid-Y' recombination (correct direction, margins < 1.5 %)	beginning
6991	6991_day0_reference	SRR33298378.142793	chr8L	1/1	chr8L-1	G5	chr2L-1	G1	2743	3150	5893	46.5	E-chr2L-1	1st Y' Change	chr2L	donor_transfer	chr2L[1]:E-chr2L-1	99.33%	98.12%	+1.21	95.94%	99.60%	+3.66	3457	97.37%	weak	mid-Y' recombination (correct direction, margins < 1.5 %)	beginning
6991	6991_day0_reference_promethion	SRR33298377.726683	chr14R	1/1	chr14R-1	G10	chr9L-1	G7	5025	1866	6891	72.9	E-chr9L-1	1st Y' Change	chr9L	donor_transfer	chr9L[1]:E-chr9L-1	98.69%	97.37%	+1.32	94.24%	94.69%	+0.45	4903	97.88%	weak	mid-Y' recombination (correct direction, margins < 1.5 %)	end
6991	6991_day0_reference_promethion	SRR33298377.763070	chr8L	1/1	chr8L-1	G5	chr13L-1	G2	1303	4125	5428	24.0	E-chr13L-1	1st Y' Change	chr13L	donor_transfer	chr13L[1]:E-chr13L-1	99.44%	98.79%	+0.65	96.89%	98.94%	+2.05	5058	98.16%	weak	mid-Y' recombination (correct direction, margins < 1.5 %)	beginning
6991	6991_day0_reference_promethion	SRR33298377.221175	chr8R	1/1	chr8R-1	G3	chr14L-5	G2	2475	3119	5594	44.2	E-chr14L-5	1st Y' Change	chr14L	donor_transfer	chr14L[5]:E-chr14L-5	99.14%	97.07%	+2.07	98.06%	99.01%	+0.95	5493	98.47%	weak	mid-Y' recombination (correct direction, margins < 1.5 %)	end
6991	6991_day0_with_selection	SRR33298395.1020823	chr13L	1/1	chr13L-1	G2	chr16L-1	G8	3225	3807	7032	45.9	E-chr16L-1	1st Y' Change	chr16L	donor_transfer	chr16L[1]:E-chr16L-1	96.69%	95.87%	+0.82	96.87%	97.25%	+0.38	3656	99.59%	weak	mid-Y' recombination (correct direction, margins < 1.5 %)	end
6991	6991_day0_with_selection	SRR33298395.1669606	chr14R	1/1	chr14R-1	G11	chr9L-1	G7	3075	4135	7210	42.6	E-chr9L-1	1st Y' Change	chr9L	donor_transfer	chr9L[1]:E-chr9L-1	99.35%	98.31%	+1.04	95.85%	97.36%	+1.51	4903	97.88%	weak	mid-Y' recombination (correct direction, margins < 1.5 %)	end
6991	6991_day0_with_selection	SRR33298395.88506	chr14R	1/1	chr14R-1	G11	chr9L-1	G7	3090	4125	7215	42.8	E-chr9L-1	1st Y' Change	chr9L	donor_transfer	chr9L[1]:E-chr9L-1	99.42%	98.37%	+1.05	97.42%	98.97%	+1.55	4903	97.88%	weak	mid-Y' recombination (correct direction, margins < 1.5 %)	beginning
6991	6991_day0_with_selection	SRR33298395.614991	chr14R	1/1	chr14R-1	G11	chr9L-1	G7	3110	4050	7160	43.4	E-chr9L-1	1st Y' Change	chr9L	donor_transfer	chr9L[1]:E-chr9L-1	99.08%	98.00%	+1.08	96.76%	98.70%	+1.94	4903	97.88%	weak	mid-Y' recombination (correct direction, margins < 1.5 %)	beginning
6991	6991_day0_with_selection	SRR33298395.807323	chr6L	1/1	chr6L-1	G1	chr14L-5	G2	2475	3058	5533	44.7	E-chr14L-5	1st Y' Change	chr14L	donor_transfer	chr14L[5]:E-chr14L-5	98.63%	96.60%	+2.03	94.29%	95.10%	+0.81	3884	97.35%	weak	mid-Y' recombination (correct direction, margins < 1.5 %)	end
6991	6991_day0_with_selection_repeat	SRR33298373.122658	chr10L	1/1	chr10L-1	G7	chr14L-1	G8	5509	1500	7009	78.6	E-chr14L-1	1st Y' Change	chr14L	donor_transfer	chr14L[1]:E-chr14L-1	96.03%	95.47%	+0.56	94.47%	97.05%	+2.58	5010	97.15%	weak	mid-Y' recombination (correct direction, margins < 1.5 %)	beginning
6991	6991_day0_with_selection_repeat	SRR33298373.72733	chr16R	1/1	chr16R-1	G6	chr14L-5	G2	5153	300	5453	94.5	E-chr14L-5	1st Y' Change	chr14L	donor_transfer	chr14L[5]:E-chr14L-5	99.33%	98.97%	+0.36	98.48%	99.62%	+1.14	3588	98.55%	weak	mid-Y' recombination (correct direction, margins < 1.5 %)	beginning
6991	6991_day0_with_selection_repeat2	SRR33298384.151130	chr10L	1/1	chr10L-1	G7	chr7R-1	G8	4094	2850	6944	59.0	E-chr7R-1	1st Y' Change	chr7R	donor_transfer	chr7R[1]:E-chr7R-1	95.83%	94.44%	+1.39	93.29%	96.36%	+3.07	5010	97.15%	weak	mid-Y' recombination (correct direction, margins < 1.5 %)	beginning
6991	6991_day0_with_selection_repeat2	SRR33298384.443822	chr12L	1/1	chr12L-1	G4	chr14L-5	G2	2438	3150	5588	43.6	E-chr14L-5	1st Y' Change	chr14L	donor_transfer	chr14L[5]:E-chr14L-5	99.14%	98.38%	+0.76	98.86%	99.73%	+0.87	5193	99.15%	weak	mid-Y' recombination (correct direction, margins < 1.5 %)	beginning
6991	6991_day0_with_selection_repeat2	SRR33298384.550794	chr12L	1/1	chr12L-1	G4	chr13L-1	G2	2400	3083	5483	43.8	E-chr13L-1	1st Y' Change	chr13L	donor_transfer	chr13L[1]:E-chr13L-1	98.69%	97.96%	+0.73	98.19%	99.06%	+0.87	5188	99.19%	weak	mid-Y' recombination (correct direction, margins < 1.5 %)	end
6991	6991_day0_with_selection_repeat2	SRR33298384.220455	chr13L	1/1	chr13L-1	G2	chr16R-1	G6	675	5007	5682	11.9	E-chr16R-1	1st Y' Change	chr16R	donor_transfer	chr16R[1]:E-chr16R-1	98.68%	95.69%	+2.99	98.81%	99.34%	+0.53	3588	98.61%	weak	mid-Y' recombination (correct direction, margins < 1.5 %)	end
6991	6991_day0	SRR33298461.168936	chr14L	5/5	chr14L-5	G2	chr4R-6	G8	9600	16379	25979	37.0	E-chr14L-1,E-chr4R-6,E-chr14L-5,E-chr14L-5,E-chr4R-6	Y' Recombination	ambiguous	unmatched_array	chr4R[6]:E-chr4R-6 > self[5]:E-chr14L-5 > self[5]:E-chr14L-5 > chr4R[6]:E-chr4R-6	74.47%	74.47%	+0.00	99.51%	99.53%	+0.02	3659	99.89%	FAILS	not supported: no half is better explained by the donor	end
