dataset	recipient_end	recipient_total	donor_group	donor_group_members	donor_group_ends	count	pct_of_recipient
6991_day0_reference	chr5L	2	G11	chr12R-1	chr12R	1	50.0
6991_day0_reference	chr6L	4	G2	chr13L-1;chr14L-3;chr14L-4;chr14L-5	chr13L;chr14L	4	100.0
6991_day0_reference	chr12L	3	G6	chr16R-1	chr16R	1	33.3
6991_day0_reference	chr12L	3	G2	chr13L-1;chr14L-3;chr14L-4;chr14L-5	chr13L;chr14L	1	33.3
6991_day0_reference	chr12L	3	G1	chr2L-1;chr6L-1	chr2L;chr6L	1	33.3
6991_day0_reference	chr2L	3	G2	chr13L-1;chr14L-3;chr14L-4;chr14L-5	chr13L;chr14L	1	33.3
6991_day0_reference	chr2L	3	G3	chr8R-1	chr8R	2	66.7
6991_day0_reference	chr8L	1	G1	chr2L-1;chr6L-1	chr2L;chr6L	1	100.0
6991_day0_reference	chr15R	1	G2	chr13L-1;chr14L-3;chr14L-4;chr14L-5	chr13L;chr14L	1	100.0
6991_day0_reference	chr8R	1	G1	chr2L-1;chr6L-1	chr2L;chr6L	1	100.0
6991_day0_reference_promethion	chr13L	4	G1	chr2L-1;chr6L-1	chr2L;chr6L	4	100.0
6991_day0_reference_promethion	chr16R	2	G2	chr13L-1;chr14L-3;chr14L-4;chr14L-5	chr13L;chr14L	2	100.0
6991_day0_reference_promethion	chr14R	2	G7	chr10L-1;chr9L-1	chr10L;chr9L	1	50.0
6991_day0_reference_promethion	chr14R	2	G1	chr2L-1;chr6L-1	chr2L;chr6L	1	50.0
6991_day0_reference_promethion	chr8L	1	G2	chr13L-1;chr14L-3;chr14L-4;chr14L-5	chr13L;chr14L	1	100.0
6991_day0_reference_promethion	chr8R	1	G2	chr13L-1;chr14L-3;chr14L-4;chr14L-5	chr13L;chr14L	1	100.0
6991_day0_reference_promethion	chr2L	1	G3	chr8R-1	chr8R	1	100.0
6991_day0_reference_promethion	chr5R	1	G7	chr10L-1;chr9L-1	chr10L;chr9L	1	100.0
6991_day0_with_selection	chr10L	5	G8	chr12R-2;chr12R-3;chr12R-4;chr12R-5;chr12R-6;chr12R-7;chr14L-2;chr15R-1;chr16L-1;chr4R-1;chr4R-2;chr4R-3;chr4R-4;chr4R-5;chr4R-6;chr4R-7;chr7R-1	chr12R;chr14L;chr15R;chr16L;chr4R;chr7R	3	60.0
6991_day0_with_selection	chr10L	5	G2	chr13L-1;chr14L-3;chr14L-4;chr14L-5	chr13L;chr14L	1	20.0
6991_day0_with_selection	chr10L	5	G9	chr5R-1	chr5R	1	20.0
6991_day0_with_selection	chr13L	18	G1	chr2L-1;chr6L-1	chr2L;chr6L	12	66.7
6991_day0_with_selection	chr13L	18	G8	chr12R-2;chr12R-3;chr12R-4;chr12R-5;chr12R-6;chr12R-7;chr14L-2;chr15R-1;chr16L-1;chr4R-1;chr4R-2;chr4R-3;chr4R-4;chr4R-5;chr4R-6;chr4R-7;chr7R-1	chr12R;chr14L;chr15R;chr16L;chr4R;chr7R	4	22.2
6991_day0_with_selection	chr13L	18	G3	chr8R-1	chr8R	1	5.6
6991_day0_with_selection	chr13L	18	G9	chr5R-1	chr5R	1	5.6
6991_day0_with_selection	chr14R	8	G8	chr12R-2;chr12R-3;chr12R-4;chr12R-5;chr12R-6;chr12R-7;chr14L-2;chr15R-1;chr16L-1;chr4R-1;chr4R-2;chr4R-3;chr4R-4;chr4R-5;chr4R-6;chr4R-7;chr7R-1	chr12R;chr14L;chr15R;chr16L;chr4R;chr7R	4	50.0
6991_day0_with_selection	chr14R	8	G7	chr10L-1;chr9L-1	chr10L;chr9L	4	50.0
6991_day0_with_selection	chr16L	2	G7	chr10L-1;chr9L-1	chr10L;chr9L	2	100.0
6991_day0_with_selection	chr16R	2	G2	chr13L-1;chr14L-3;chr14L-4;chr14L-5	chr13L;chr14L	2	100.0
6991_day0_with_selection	chr5R	3	G7	chr10L-1;chr9L-1	chr10L;chr9L	3	100.0
6991_day0_with_selection	chr6L	3	G2	chr13L-1;chr14L-3;chr14L-4;chr14L-5	chr13L;chr14L	3	100.0
6991_day0_with_selection	chr2L	3	G3	chr8R-1	chr8R	3	100.0
6991_day0_with_selection	chr7R	1	G3	chr8R-1	chr8R	1	100.0
6991_day0_with_selection	chr8L	2	G1	chr2L-1;chr6L-1	chr2L;chr6L	1	50.0
6991_day0_with_selection	chr8L	2	G7	chr10L-1;chr9L-1	chr10L;chr9L	1	50.0
6991_day0_with_selection	chr8R	2	G1	chr2L-1;chr6L-1	chr2L;chr6L	2	100.0
6991_day0_with_selection	chr12L	2	G1	chr2L-1;chr6L-1	chr2L;chr6L	1	50.0
6991_day0_with_selection	chr12L	2	G5	chr8L-1	chr8L	1	50.0
6991_day0_with_selection	chr14L	388	G8	chr12R-2;chr12R-3;chr12R-4;chr12R-5;chr12R-6;chr12R-7;chr14L-2;chr15R-1;chr16L-1;chr4R-1;chr4R-2;chr4R-3;chr4R-4;chr4R-5;chr4R-6;chr4R-7;chr7R-1	chr12R;chr14L;chr15R;chr16L;chr4R;chr7R	388	100.0
6991_day0_with_selection_repeat	chr10L	3	G8	chr12R-2;chr12R-3;chr12R-4;chr12R-5;chr12R-6;chr12R-7;chr14L-1;chr14L-2;chr15R-1;chr16L-1;chr4R-1;chr4R-2;chr4R-3;chr4R-4;chr4R-5;chr4R-6;chr4R-7;chr7R-1	chr12R;chr14L;chr15R;chr16L;chr4R;chr7R	3	100.0
6991_day0_with_selection_repeat	chr13L	9	G1	chr2L-1;chr6L-1	chr2L;chr6L	8	88.9
6991_day0_with_selection_repeat	chr13L	9	G5	chr8L-1	chr8L	1	11.1
6991_day0_with_selection_repeat	chr14R	3	G8	chr12R-2;chr12R-3;chr12R-4;chr12R-5;chr12R-6;chr12R-7;chr14L-1;chr14L-2;chr15R-1;chr16L-1;chr4R-1;chr4R-2;chr4R-3;chr4R-4;chr4R-5;chr4R-6;chr4R-7;chr7R-1	chr12R;chr14L;chr15R;chr16L;chr4R;chr7R	1	33.3
6991_day0_with_selection_repeat	chr14R	3	G2	chr13L-1;chr14L-3;chr14L-4;chr14L-5	chr13L;chr14L	1	33.3
6991_day0_with_selection_repeat	chr14R	3	G7	chr10L-1;chr9L-1	chr10L;chr9L	1	33.3
6991_day0_with_selection_repeat	chr16R	1	G2	chr13L-1;chr14L-3;chr14L-4;chr14L-5	chr13L;chr14L	1	100.0
6991_day0_with_selection_repeat	chr2L	1	G3	chr8R-1	chr8R	1	100.0
6991_day0_with_selection_repeat	chr5L	1	G7	chr10L-1;chr9L-1	chr10L;chr9L	1	100.0
6991_day0_with_selection_repeat2	chr10L	2	G8	chr12R-2;chr12R-3;chr12R-4;chr12R-5;chr12R-6;chr12R-7;chr14L-1;chr14L-2;chr15R-1;chr16L-1;chr4R-1;chr4R-2;chr4R-3;chr4R-4;chr4R-5;chr4R-6;chr4R-7;chr7R-1	chr12R;chr14L;chr15R;chr16L;chr4R;chr7R	2	100.0
6991_day0_with_selection_repeat2	chr14R	1	G1	chr2L-1;chr6L-1	chr2L;chr6L	1	100.0
6991_day0_with_selection_repeat2	chr15R	1	G7	chr10L-1;chr9L-1	chr10L;chr9L	1	100.0
6991_day0_with_selection_repeat2	chr16R	2	G2	chr13L-1;chr14L-3;chr14L-4;chr14L-5	chr13L;chr14L	2	100.0
6991_day0_with_selection_repeat2	chr12L	2	G2	chr13L-1;chr14L-3;chr14L-4;chr14L-5	chr13L;chr14L	2	100.0
6991_day0_with_selection_repeat2	chr13L	3	G6	chr16R-1	chr16R	1	33.3
6991_day0_with_selection_repeat2	chr13L	3	G1	chr2L-1;chr6L-1	chr2L;chr6L	2	66.7
6991_day0_with_selection_repeat2	chr2L	2	G3	chr8R-1	chr8R	2	100.0
7172_day0_with_selection	chr16R	2	G2	chr13L-1;chr14L-3	chr13L;chr14L	2	100.0
7172_day0_with_selection	chr5R	1	G2	chr13L-1;chr14L-3	chr13L;chr14L	1	100.0
7172_day0_with_selection	chr6L	1	G2	chr13L-1;chr14L-3	chr13L;chr14L	1	100.0
7302_day0_with_selection	chr14R	2	G8	chr12R-2;chr12R-3;chr12R-4;chr12R-5;chr12R-6;chr13L-2;chr13L-4;chr14L-1;chr14L-2;chr15R-1;chr16L-1;chr4R-1;chr4R-2;chr4R-3;chr4R-4;chr4R-5;chr4R-6;chr4R-7;chr7R-1	chr12R;chr13L;chr14L;chr15R;chr16L;chr4R;chr7R	2	100.0
7302_day0_with_selection	chr5R	2	G10	chr14R-1	chr14R	1	50.0
7302_day0_with_selection	chr5R	2	G7	chr10L-1;chr9L-1	chr10L;chr9L	1	50.0
7302_day0_with_selection	chr6L	7	G8	chr12R-2;chr12R-3;chr12R-4;chr12R-5;chr12R-6;chr13L-2;chr13L-4;chr14L-1;chr14L-2;chr15R-1;chr16L-1;chr4R-1;chr4R-2;chr4R-3;chr4R-4;chr4R-5;chr4R-6;chr4R-7;chr7R-1	chr12R;chr13L;chr14L;chr15R;chr16L;chr4R;chr7R	1	14.3
7302_day0_with_selection	chr6L	7	G10	chr14R-1	chr14R	1	14.3
7302_day0_with_selection	chr6L	7	G2	chr13L-1;chr13L-3;chr14L-3;chr14L-4;chr14L-5	chr13L;chr14L	4	57.1
7302_day0_with_selection	chr6L	7	G3	chr8R-1	chr8R	1	14.3
7302_day0_with_selection	chr10L	1	G10	chr14R-1	chr14R	1	100.0
7302_day0_with_selection	chr2L	1	G3	chr8R-1	chr8R	1	100.0
7302_day0_with_selection	chr8R	1	G1	chr2L-1;chr6L-1	chr2L;chr6L	1	100.0
6991_COMBINED_5_matched	chr10L	6	G8	chr12R-2;chr12R-3;chr12R-4;chr12R-5;chr12R-6;chr12R-7;chr14L-1;chr14L-2;chr15R-1;chr16L-1;chr4R-1;chr4R-2;chr4R-3;chr4R-4;chr4R-5;chr4R-6;chr4R-7;chr7R-1	chr12R;chr14L;chr15R;chr16L;chr4R;chr7R	6	100.0
6991_COMBINED_5_matched	chr6L	1	G2	chr13L-1;chr14L-3;chr14L-4;chr14L-5	chr13L;chr14L	1	100.0
6991_COMBINED_5_matched	chr2L	5	G8	chr12R-2;chr12R-3;chr12R-4;chr12R-5;chr12R-6;chr12R-7;chr14L-1;chr14L-2;chr15R-1;chr16L-1;chr4R-1;chr4R-2;chr4R-3;chr4R-4;chr4R-5;chr4R-6;chr4R-7;chr7R-1	chr12R;chr14L;chr15R;chr16L;chr4R;chr7R	1	20.0
6991_COMBINED_5_matched	chr2L	5	G3	chr8R-1	chr8R	4	80.0
6991_COMBINED_5_matched	chr5L	3	G11	chr12R-1	chr12R	2	66.7
6991_COMBINED_5_matched	chr5L	3	G7	chr10L-1;chr9L-1	chr10L;chr9L	1	33.3
6991_COMBINED_5_matched	chr7R	1	G10	chr14R-1	chr14R	1	100.0
6991_COMBINED_5_matched	chr8R	2	G10	chr14R-1	chr14R	1	50.0
6991_COMBINED_5_matched	chr8R	2	G2	chr13L-1;chr14L-3;chr14L-4;chr14L-5	chr13L;chr14L	1	50.0
6991_COMBINED_5_matched	chr13L	18	G1	chr2L-1;chr6L-1	chr2L;chr6L	15	83.3
6991_COMBINED_5_matched	chr13L	18	G6	chr16R-1	chr16R	1	5.6
6991_COMBINED_5_matched	chr13L	18	G8	chr12R-2;chr12R-3;chr12R-4;chr12R-5;chr12R-6;chr12R-7;chr14L-1;chr14L-2;chr15R-1;chr16L-1;chr4R-1;chr4R-2;chr4R-3;chr4R-4;chr4R-5;chr4R-6;chr4R-7;chr7R-1	chr12R;chr14L;chr15R;chr16L;chr4R;chr7R	1	5.6
6991_COMBINED_5_matched	chr13L	18	G5	chr8L-1	chr8L	1	5.6
6991_COMBINED_5_matched	chr16R	7	G2	chr13L-1;chr14L-3;chr14L-4;chr14L-5	chr13L;chr14L	7	100.0
6991_COMBINED_5_matched	chr14R	6	G8	chr12R-2;chr12R-3;chr12R-4;chr12R-5;chr12R-6;chr12R-7;chr14L-1;chr14L-2;chr15R-1;chr16L-1;chr4R-1;chr4R-2;chr4R-3;chr4R-4;chr4R-5;chr4R-6;chr4R-7;chr7R-1	chr12R;chr14L;chr15R;chr16L;chr4R;chr7R	1	16.7
6991_COMBINED_5_matched	chr14R	6	G2	chr13L-1;chr14L-3;chr14L-4;chr14L-5	chr13L;chr14L	1	16.7
6991_COMBINED_5_matched	chr14R	6	G1	chr2L-1;chr6L-1	chr2L;chr6L	2	33.3
6991_COMBINED_5_matched	chr14R	6	G7	chr10L-1;chr9L-1	chr10L;chr9L	2	33.3
6991_COMBINED_5_matched	chr15R	1	G7	chr10L-1;chr9L-1	chr10L;chr9L	1	100.0
6991_COMBINED_5_matched	chr8L	2	G2	chr13L-1;chr14L-3;chr14L-4;chr14L-5	chr13L;chr14L	1	50.0
6991_COMBINED_5_matched	chr8L	2	G1	chr2L-1;chr6L-1	chr2L;chr6L	1	50.0
6991_COMBINED_5_matched	chr12L	2	G2	chr13L-1;chr14L-3;chr14L-4;chr14L-5	chr13L;chr14L	2	100.0
6991_COMBINED_5_matched	chr14L	2	G8	chr12R-2;chr12R-3;chr12R-4;chr12R-5;chr12R-6;chr12R-7;chr14L-1;chr14L-2;chr15R-1;chr16L-1;chr4R-1;chr4R-2;chr4R-3;chr4R-4;chr4R-5;chr4R-6;chr4R-7;chr7R-1	chr12R;chr14L;chr15R;chr16L;chr4R;chr7R	1	50.0
6991_COMBINED_5_matched	chr14L	2	G11	chr12R-1	chr12R	1	50.0
6991_COMBINED_5_matched	chr16L	1	G11	chr12R-1	chr12R	1	100.0
6991_COMBINED_5_matched	chr5R	1	G7	chr10L-1;chr9L-1	chr10L;chr9L	1	100.0
