sample	chr_end	as_recipient	as_donor
ALL_COMBINED_excl_defect	chr16R	13	2
ALL_COMBINED	chr2L	12	25
ALL_COMBINED_excl_defect	chr2L	12	25
ALL_COMBINED	chr4R	0	1
ALL_COMBINED_excl_defect	chr4R	0	1
ALL_COMBINED	chr5L	5	2
ALL_COMBINED_excl_defect	chr5L	5	2
ALL_COMBINED	chr5R	7	4
ALL_COMBINED_excl_defect	chr5R	7	4
ALL_COMBINED	chr6L	16	15
ALL_COMBINED_excl_defect	chr6L	16	15
ALL_COMBINED	chr7R	3	394
ALL_COMBINED_excl_defect	chr7R	3	9
ALL_COMBINED	chr8L	5	2
ALL_COMBINED_excl_defect	chr8L	5	2
ALL_COMBINED	chr8R	6	14
ALL_COMBINED_excl_defect	chr8R	6	14
ALL_COMBINED	chr9L	0	13
ALL_COMBINED_excl_defect	chr9L	0	13
