sample	read_id	chr_end	true_element	matched_element	verdict	pattern
6991_day0_reference_promethion	SRR33298377.93825	chr14R	E-chr14R-1	E-chr2L-1	unresolved	.........................................
6991_day0_reference_promethion	SRR33298377.644709	chr16R	E-chr16R-1	E-chr13L-1	RECOMBINANT	.--A-------BB------------------AAAA.
6991_day0_reference_promethion	SRR33298377.534605	chr16R	E-chr16R-1	E-chr13L-1	RECOMBINANT	.AAAA------------------BB-------A--.
6991_day0_reference_promethion	SRR33298377.541858	chr2L	E-chr2L-1	E-chr8R-1	single	.------------------------AB-------AAA
6991_day0_reference_promethion	SRR33298377.75463	chr5R	E-chr5R-1	E-chr9L-1	unresolved	...............................................
6991_day0_reference_promethion	SRR33298377.763070	chr8L	E-chr8L-1	E-chr13L-1	single	.B---------BBBBBBB-B-------------A.
6991_day0_reference_promethion	SRR33298377.221175	chr8R	E-chr8R-1	E-chr14L-5	unresolved	......................................
6991_day0_with_selection_repeat	SRR33298373.491903	chr10L	E-chr10L-1	E-chr16L-1	RECOMBINANT	.AAAAAA----BBBB-------BB------AAAA-AAAA--AAA.
6991_day0_with_selection_repeat	SRR33298373.545529	chr10L	E-chr10L-1	E-chr16L-1	RECOMBINANT	.AAA---AAAAAAAAA------BB-------BBBB-A-AAAAAA.
6991_day0_with_selection_repeat	SRR33298373.122658	chr10L	E-chr10L-1	E-chr14L-1	RECOMBINANT	.BBBBB-------AB-------AA------AAA-AAAAA--AAA.
6991_day0_with_selection_repeat	SRR33298373.896473	chr13L	E-chr13L-1	E-chr6L-1	single	.BBBB---B--BBBBBBB--------B--------BBB--.
6991_day0_with_selection_repeat	SRR33298373.1068481	chr13L	E-chr13L-1	E-chr6L-1	single	.BBB----BB--BBBBBB--------B--------BBBB-.
6991_day0_with_selection_repeat	SRR33298373.1520960	chr13L	E-chr13L-1	E-chr2L-1	RECOMBINANT	.BBB----B--BBBBBBB-------A----AA----AAA-.
6991_day0_with_selection_repeat	SRR33298373.107087	chr13L	E-chr13L-1	E-chr6L-1	single	.BBB----B--BBBBBBB--------------B--BBB--.
6991_day0_with_selection_repeat	SRR33298373.1079946	chr13L	E-chr13L-1	E-chr6L-1	single	.BBB---BBB-BBBBBBB--------------B--BBB--.
6991_day0_with_selection_repeat	SRR33298373.8939	chr13L	E-chr13L-1	E-chr2L-1	RECOMBINANT	.--AAA---AA-------------BBBBBB-BB----BBB.
6991_day0_with_selection_repeat	SRR33298373.46529	chr13L	E-chr13L-1	E-chr6L-1	single	.--BBB--B---------------BBBBBB-BB----BBB.
6991_day0_with_selection_repeat	SRR33298373.797552	chr13L	E-chr13L-1	E-chr6L-1	single	.--BBB--B---------------BBBBBB-BB----BBB
6991_day0_with_selection_repeat	SRR33298373.677153	chr13L	E-chr13L-1	E-chr8L-1	single	.B---------BBBB-BBBB-------------B.
6991_day0_with_selection_repeat	SRR33298373.897522	chr14R	E-chr14R-1	E-chr9L-1	RECOMBINANT	.A-----A-A---------------------ABBBBA-----------
6991_day0_with_selection_repeat	SRR33298373.1266643	chr14R	E-chr14R-1	E-chr14L-1	unresolved	.............................................
6991_day0_with_selection_repeat	SRR33298373.942862	chr14R	E-chr14R-1	E-chr13L-1	RECOMBINANT	.BBBBB-BB--BBBB-------B-BBBBB-B-AAAAB
6991_day0_with_selection_repeat	SRR33298373.72733	chr16R	E-chr16R-1	E-chr14L-5	RECOMBINANT	B-AA------BB-------------------AAA.
6991_day0_with_selection_repeat	SRR33298373.284052	chr2L	E-chr2L-1	E-chr8R-1	single	.BBB----BB-BB-----------------------.
6991_day0_with_selection_repeat	SRR33298373.260098	chr5L	E-chr5L-1	E-chr10L-1	unresolved	..............................................
6991_day0_with_selection_repeat2	SRR33298384.498901	chr10L	E-chr10L-1	E-chr7R-1	RECOMBINANT	.AAA---AAAAAAAA-------AA-------BBBB-B-BBBBBB.
6991_day0_with_selection_repeat2	SRR33298384.151130	chr10L	E-chr10L-1	E-chr7R-1	RECOMBINANT	.BBBBBB--BBBBBB-------A-------AAAAAAA----AAA.
6991_day0_with_selection_repeat2	SRR33298384.443822	chr12L	E-chr12L-1	E-chr14L-5	RECOMBINANT	.--BB----B--BB--------------A-----A.
6991_day0_with_selection_repeat2	SRR33298384.550794	chr12L	E-chr12L-1	E-chr13L-1	RECOMBINANT	...........A-----AA-------------BB--
6991_day0_with_selection_repeat2	SRR33298384.185796	chr13L	E-chr13L-1	E-chr6L-1	single	.BBB----B--BBBBBBB--------B--------BBBA-.
6991_day0_with_selection_repeat2	SRR33298384.45869	chr13L	E-chr13L-1	E-chr6L-1	single	.BBB----B--BBBBBBB----------------BBBB-..
6991_day0_with_selection_repeat2	SRR33298384.220455	chr13L	E-chr13L-1	E-chr16R-1	single	...............................AAAA-
6991_day0_with_selection_repeat2	SRR33298384.285744	chr14R	E-chr14R-1	E-chr6L-1	RECOMBINANT	.BBBBB-----BBBBBBB---------BBBBBB-B--AAA.
6991_day0_with_selection_repeat2	SRR33298384.129326	chr15R	E-chr15R-1	E-chr9L-1	unresolved	...............................................
6991_day0_with_selection_repeat2	SRR33298384.538094	chr16R	E-chr16R-1	E-chr13L-1	RECOMBINANT	.A-BB------BB------------------AAAA.
6991_day0_with_selection_repeat2	SRR33298384.248800	chr16R	E-chr16R-1	E-chr14L-5	RECOMBINANT	.AAAA------------------BB-------B--
6991_day0_with_selection_repeat2	SRR33298384.467718	chr2L	E-chr2L-1	E-chr8R-1	single	.AAA---AA--AAA....--------------------.
6991_day0_with_selection_repeat2	SRR33298384.313055	chr2L	E-chr2L-1	E-chr8R-1	single	.AA----AA--A-------------..-------.
