sample	read_id	chr_end	copy_index	n_copies	true_element	true_group	matched_element	matched_group	donor_end	same_end	telo_side	read_length	yp_start	yp_end
6991_day0_reference_promethion	SRR33298377.125819	chr13L	1	1	E-chr13L-1	G2	E-chr2L-1	G1	chr2L	False	end	16408	10300	16265
6991_day0_reference_promethion	SRR33298377.726683	chr14R	1	1	E-chr14R-1	G10	E-chr9L-1	G7	chr9L	False	end	15917	9210	15799
6991_day0_reference_promethion	SRR33298377.93825	chr14R	1	1	E-chr14R-1	G10	E-chr2L-1	G1	chr2L	False	end	12497	6418	12382
6991_day0_reference_promethion	SRR33298377.644709	chr16R	1	1	E-chr16R-1	G6	E-chr13L-1	G2	chr13L	False	beginning	11736	195	5378
6991_day0_reference_promethion	SRR33298377.534605	chr16R	1	1	E-chr16R-1	G6	E-chr13L-1	G2	chr13L	False	end	11702	6351	11527
6991_day0_reference_promethion	SRR33298377.541858	chr2L	1	1	E-chr2L-1	G1	E-chr8R-1	G3	chr8R	False	end	15385	9744	15272
6991_day0_reference_promethion	SRR33298377.75463	chr5R	1	1	E-chr5R-1	G9	E-chr9L-1	G7	chr9L	False	end	14277	7278	14117
6991_day0_reference_promethion	SRR33298377.763070	chr8L	1	1	E-chr8L-1	G5	E-chr13L-1	G2	chr13L	False	beginning	11049	229	5257
6991_day0_reference_promethion	SRR33298377.221175	chr8R	1	1	E-chr8R-1	G3	E-chr14L-5	G2	chr14L	False	end	40813	35255	40707
6991_day0_with_selection_repeat	SRR33298373.491903	chr10L	1	1	E-chr10L-1	G7	E-chr16L-1	G8	chr16L	False	beginning	25283	320	6913
6991_day0_with_selection_repeat	SRR33298373.545529	chr10L	1	1	E-chr10L-1	G7	E-chr16L-1	G8	chr16L	False	end	25254	18376	24958
6991_day0_with_selection_repeat	SRR33298373.122658	chr10L	1	1	E-chr10L-1	G7	E-chr14L-1	G8	chr14L	False	beginning	25666	182	6809
6991_day0_with_selection_repeat	SRR33298373.896473	chr13L	1	1	E-chr13L-1	G2	E-chr6L-1	G1	chr6L	False	beginning	16543	247	6212
6991_day0_with_selection_repeat	SRR33298373.1068481	chr13L	1	1	E-chr13L-1	G2	E-chr6L-1	G1	chr6L	False	beginning	16491	207	6182
6991_day0_with_selection_repeat	SRR33298373.1520960	chr13L	1	1	E-chr13L-1	G2	E-chr2L-1	G1	chr2L	False	beginning	16484	212	6183
6991_day0_with_selection_repeat	SRR33298373.107087	chr13L	1	1	E-chr13L-1	G2	E-chr6L-1	G1	chr6L	False	beginning	16472	187	6156
6991_day0_with_selection_repeat	SRR33298373.1079946	chr13L	1	1	E-chr13L-1	G2	E-chr6L-1	G1	chr6L	False	beginning	16480	184	6156
6991_day0_with_selection_repeat	SRR33298373.8939	chr13L	1	1	E-chr13L-1	G2	E-chr2L-1	G1	chr2L	False	end	16464	10311	16282
6991_day0_with_selection_repeat	SRR33298373.46529	chr13L	1	1	E-chr13L-1	G2	E-chr6L-1	G1	chr6L	False	end	16459	10322	16294
6991_day0_with_selection_repeat	SRR33298373.797552	chr13L	1	1	E-chr13L-1	G2	E-chr6L-1	G1	chr6L	False	end	16333	10270	16235
6991_day0_with_selection_repeat	SRR33298373.677153	chr13L	1	1	E-chr13L-1	G2	E-chr8L-1	G5	chr8L	False	beginning	15332	221	5282
6991_day0_with_selection_repeat	SRR33298373.897522	chr14R	1	1	E-chr14R-1	G10	E-chr9L-1	G7	chr9L	False	end	15646	8375	15456
6991_day0_with_selection_repeat	SRR33298373.1266643	chr14R	1	1	E-chr14R-1	G10	E-chr14L-1	G8	chr14L	False	end	15973	9169	15784
6991_day0_with_selection_repeat	SRR33298373.942862	chr14R	1	1	E-chr14R-1	G10	E-chr13L-1	G2	chr13L	False	beginning	14791	163	5639
6991_day0_with_selection_repeat	SRR33298373.72733	chr16R	1	1	E-chr16R-1	G6	E-chr14L-5	G2	chr14L	False	beginning	11600	70	5253
6991_day0_with_selection_repeat	SRR33298373.284052	chr2L	1	1	E-chr2L-1	G1	E-chr8R-1	G3	chr8R	False	beginning	15428	162	5629
6991_day0_with_selection_repeat	SRR33298373.260098	chr5L	1	1	E-chr5L-1	G12	E-chr10L-1	G7	chr10L	False	end	12782	5817	12525
6991_day0_with_selection_repeat2	SRR33298384.498901	chr10L	1	1	E-chr10L-1	G7	E-chr7R-1	G8	chr7R	False	end	23872	17060	23654
6991_day0_with_selection_repeat2	SRR33298384.151130	chr10L	1	1	E-chr10L-1	G7	E-chr7R-1	G8	chr7R	False	beginning	25566	176	6744
6991_day0_with_selection_repeat2	SRR33298384.443822	chr12L	1	1	E-chr12L-1	G4	E-chr14L-5	G2	chr14L	False	beginning	11042	243	5431
6991_day0_with_selection_repeat2	SRR33298384.550794	chr12L	1	1	E-chr12L-1	G4	E-chr13L-1	G2	chr13L	False	end	10888	5605	10790
6991_day0_with_selection_repeat2	SRR33298384.185796	chr13L	1	1	E-chr13L-1	G2	E-chr6L-1	G1	chr6L	False	beginning	16491	229	6171
6991_day0_with_selection_repeat2	SRR33298384.45869	chr13L	1	1	E-chr13L-1	G2	E-chr6L-1	G1	chr6L	False	beginning	16454	203	6126
6991_day0_with_selection_repeat2	SRR33298384.220455	chr13L	1	1	E-chr13L-1	G2	E-chr16R-1	G6	chr16R	False	end	16133	10599	15881
6991_day0_with_selection_repeat2	SRR33298384.285744	chr14R	1	1	E-chr14R-1	G10	E-chr6L-1	G1	chr6L	False	beginning	15099	258	6235
6991_day0_with_selection_repeat2	SRR33298384.129326	chr15R	1	1	E-chr15R-1	G8	E-chr9L-1	G7	chr9L	False	end	26296	19270	26130
6991_day0_with_selection_repeat2	SRR33298384.538094	chr16R	1	1	E-chr16R-1	G6	E-chr13L-1	G2	chr13L	False	beginning	11736	192	5396
6991_day0_with_selection_repeat2	SRR33298384.248800	chr16R	1	1	E-chr16R-1	G6	E-chr14L-5	G2	chr14L	False	end	11615	6348	11537
6991_day0_with_selection_repeat2	SRR33298384.467718	chr2L	1	1	E-chr2L-1	G1	E-chr8R-1	G3	chr8R	False	beginning	15714	143	5933
6991_day0_with_selection_repeat2	SRR33298384.313055	chr2L	1	1	E-chr2L-1	G1	E-chr8R-1	G3	chr8R	False	beginning	15138	104	5335
