chr_end	read_id	sample	own_elem	own_pct	donor_group	donor_elem	donor_pct	gap	window_scan_class	verdict
chr13L	SRR33298373.107087	6991_day0_with_selection_repeat	chr13L-1	88.35	G1	chr6L-1	99.16	+10.82	no junction	RECOMBINANT (whole element)
chr13L	SRR33298373.1068481	6991_day0_with_selection_repeat	chr13L-1	89.11	G1	chr6L-1	99.90	+10.79	no junction	RECOMBINANT (whole element)
chr13L	SRR33298377.260642	6991_day0_reference_promethion	chr13L-1	88.60	G1	chr6L-1	99.38	+10.78	no junction	RECOMBINANT (whole element)
chr13L	SRR33298373.1079946	6991_day0_with_selection_repeat	chr13L-1	89.09	G1	chr6L-1	99.87	+10.77	no junction	RECOMBINANT (whole element)
chr13L	SRR33298373.46529	6991_day0_with_selection_repeat	chr13L-1	88.89	G1	chr6L-1	99.62	+10.72	no junction	RECOMBINANT (whole element)
chr13L	SRR33298377.272313	6991_day0_reference_promethion	chr13L-1	83.57	G1	chr6L-1	93.96	+10.39	no junction	RECOMBINANT (whole element)
chr13L	SRR33298384.45869	6991_day0_with_selection_repeat2	chr13L-1	89.93	G1	chr6L-1	99.06	+9.13	no junction	RECOMBINANT (whole element)
chr13L	SRR33298377.267122	6991_day0_reference_promethion	chr13L-1	86.89	G1	chr2L-1	95.95	+9.06	strong	RECOMBINANT (whole element)
chr13L	SRR33298377.125819	6991_day0_reference_promethion	chr13L-1	87.42	G1	chr2L-1	96.37	+8.95	strong	RECOMBINANT (whole element)
chr13L	SRR33298373.1520960	6991_day0_with_selection_repeat	chr13L-1	89.77	G1	chr6L-1	98.38	+8.61	strong	RECOMBINANT (whole element)
chr13L	SRR33298373.8939	6991_day0_with_selection_repeat	chr13L-1	90.01	G1	chr6L-1	98.59	+8.59	strong	RECOMBINANT (whole element)
chr13L	SRR33298373.677153	6991_day0_with_selection_repeat	chr13L-1	93.93	G5	chr8L-1	99.57	+5.64	no junction	RECOMBINANT (whole element)
chr13L	SRR33298384.220455	6991_day0_with_selection_repeat2	chr13L-1	96.86	G6	chr16R-1	99.00	+2.14	weak	likely recombinant (mid-Y' partial junction)
chr13L	SRR33298461.44252	6991_day0	chr13L-1	92.91	G1	chr6L-1	92.94	+0.03	weak	likely recombinant (mid-Y' partial junction)
chr14L	SRR33298461.168936	6991_day0	chr14L-5	83.17	G8	chr14L-2	99.49	+16.32	FAILS	RECOMBINANT (whole element)
chr14L	SRR33298434.530414	6991_day0_TeloTag_with_selection	chr14L-1	97.70	G11	chr12R-1	94.83	-2.87	FAILS	not supported
chr14R	SRR33298377.93825	6991_day0_reference_promethion	chr14R-1	73.78	G1	chr2L-1	99.08	+25.30	no junction	RECOMBINANT (whole element)
chr14R	SRR33298384.285744	6991_day0_with_selection_repeat2	chr14R-1	74.99	G1	chr6L-1	98.78	+23.79	strong	RECOMBINANT (whole element)
chr14R	SRR33298373.942862	6991_day0_with_selection_repeat	chr14R-1	79.02	G2	chr13L-1	98.87	+19.85	strong	RECOMBINANT (whole element)
chr14R	SRR33298373.897522	6991_day0_with_selection_repeat	chr14R-1	89.66	G7	chr9L-1	94.24	+4.57	FAILS	likely recombinant (mid-Y' partial junction)
chr14R	SRR33298377.726683	6991_day0_reference_promethion	chr14R-1	91.19	G7	chr9L-1	93.39	+2.20	weak	likely recombinant (mid-Y' partial junction)
chr14R	SRR33298373.1266643	6991_day0_with_selection_repeat	chr14R-1	96.58	G8	chr14L-1	97.53	+0.95	strong	likely recombinant (mid-Y' partial junction)
chr15R	SRR33298384.129326	6991_day0_with_selection_repeat2	chr15R-1	93.68	G7	chr9L-1	98.72	+5.03	strong	RECOMBINANT (whole element)
chr16L	SRR33298434.79614	6991_day0_TeloTag_with_selection	chr16L-1	95.09	G11	chr12R-1	93.71	-1.38	no junction	likely recombinant (mid-Y' partial junction)
chr16R	SRR33298384.538094	6991_day0_with_selection_repeat2	chr16R-1	96.04	G2	chr13L-1	95.15	-0.89	strong	likely recombinant (mid-Y' partial junction)
chr16R	SRR33298434.64148	6991_day0_TeloTag_with_selection	chr16R-1	91.02	G2	chr14L-3	90.05	-0.98	FAILS	likely recombinant (mid-Y' partial junction)
chr16R	SRR33298434.378016	6991_day0_TeloTag_with_selection	chr16R-1	94.47	G2	chr14L-3	93.40	-1.07	FAILS	likely recombinant (mid-Y' partial junction)
chr16R	SRR33298377.644709	6991_day0_reference_promethion	chr16R-1	95.85	G2	chr13L-1	94.77	-1.08	FAILS	likely recombinant (mid-Y' partial junction)
chr16R	SRR33298377.534605	6991_day0_reference_promethion	chr16R-1	95.98	G2	chr13L-1	94.89	-1.09	strong	likely recombinant (mid-Y' partial junction)
chr16R	SRR33298384.248800	6991_day0_with_selection_repeat2	chr16R-1	97.45	G2	chr14L-3	96.35	-1.10	strong	likely recombinant (mid-Y' partial junction)
chr16R	SRR33298373.72733	6991_day0_with_selection_repeat	chr16R-1	97.51	G2	chr14L-3	96.39	-1.12	weak	likely recombinant (mid-Y' partial junction)
chr2L	SRR33298434.94939	6991_day0_TeloTag_with_selection	chr2L-1	75.23	G8	chr16L-1	97.82	+22.59	strong	RECOMBINANT (whole element)
chr2L	SRR33298373.284052	6991_day0_with_selection_repeat	chr2L-1	90.83	G3	chr8R-1	99.63	+8.81	no junction	RECOMBINANT (whole element)
chr2L	SRR33298384.313055	6991_day0_with_selection_repeat2	chr2L-1	87.38	G3	chr8R-1	94.97	+7.59	no junction	RECOMBINANT (whole element)
chr2L	SRR33298377.541858	6991_day0_reference_promethion	chr2L-1	90.58	G3	chr8R-1	96.00	+5.42	FAILS	RECOMBINANT (whole element)
chr2L	SRR33298384.467718	6991_day0_with_selection_repeat2	chr2L-1	92.32	G3	chr8R-1	89.78	-2.54	no junction	not supported
chr5L	SRR33298373.260098	6991_day0_with_selection_repeat	chr5L-1	93.21	G7	chr10L-1	97.73	+4.52	no junction	likely recombinant (mid-Y' partial junction)
chr5L	SRR33298434.226995	6991_day0_TeloTag_with_selection	chr5L-1	96.13	G11	chr12R-1	96.48	+0.36	strong	likely recombinant (mid-Y' partial junction)
chr5L	SRR33298434.116145	6991_day0_TeloTag_with_selection	chr5L-1	96.30	G11	chr12R-1	96.62	+0.33	strong	likely recombinant (mid-Y' partial junction)
chr5R	SRR33298377.75463	6991_day0_reference_promethion	chr5R-1	92.96	G7	chr9L-1	98.36	+5.39	no junction	RECOMBINANT (whole element)
chr6L	SRR33298461.181020	6991_day0	chr6L-1	89.32	G2	chr13L-1	96.77	+7.45	strong	RECOMBINANT (whole element)
chr7R	SRR33298434.164214	6991_day0_TeloTag_with_selection	chr7R-1	94.18	G10	chr14R-1	95.31	+1.13	strong	likely recombinant (mid-Y' partial junction)
chr8L	SRR33298377.763070	6991_day0_reference_promethion	chr8L-1	97.41	G2	chr13L-1	95.00	-2.41	weak	not supported
chr8L	SRR33298434.497585	6991_day0_TeloTag_with_selection	chr8L-1	92.86	G1	chr2L-1	89.46	-3.41	FAILS	not supported
chr8R	SRR33298434.515556	6991_day0_TeloTag_with_selection	chr8R-1	79.59	G10	chr14R-1	98.33	+18.74	strong	RECOMBINANT (whole element)
chr8R	SRR33298377.221175	6991_day0_reference_promethion	chr8R-1	98.50	G2	chr14L-3	98.21	-0.29	weak	likely recombinant (mid-Y' partial junction)
