sample	chr_end	n	n_status_changed	n_source_changed	n_detected_changed	n_detected_a	n_detected_b	n_ambiguous_a	n_ambiguous_b	mean_dconf
7302_day4_with_selection	chr12R	48	0	0	0	12	12	9	9	0.0
7302_day4_with_selection	chr13L	123	0	4	0	28	28	17	15	0.001
7302_day4_with_selection	chr13R	215	0	5	0	12	12	6	2	-0.002
7302_day4_with_selection	chr14L	88	0	1	0	27	27	17	17	0.0
7302_day4_with_selection	chr14R	244	0	5	0	17	17	8	5	-0.002
7302_day4_with_selection	chr15L	262	0	4	0	5	5	1	0	-0.002
7302_day4_with_selection	chr15R	168	0	2	0	13	13	1	0	0.0
7302_day4_with_selection	chr16L	169	0	2	0	7	7	1	0	0.0
7302_day4_with_selection	chr16R	267	0	1	0	11	11	2	2	0.0
7302_day4_with_selection	chr1L	201	0	4	0	9	9	2	1	-0.002
7302_day4_with_selection	chr1R	90	0	0	0	9	9	0	0	-0.002
7302_day4_with_selection	chr2L	203	0	1	0	10	10	6	6	0.0
7302_day4_with_selection	chr2R	246	0	4	0	11	11	0	0	-0.006
7302_day4_with_selection	chr3L	350	0	0	0	2	2	0	0	0.0
7302_day4_with_selection	chr3R	328	0	3	0	18	18	0	0	-0.003
7302_day4_with_selection	chr4L	121	0	1	0	9	9	0	0	-0.005
7302_day4_with_selection	chr4R	41	0	0	0	8	8	7	7	0.0
7302_day4_with_selection	chr5L	247	0	1	0	9	9	4	3	0.0
7302_day4_with_selection	chr5R	284	0	4	0	13	13	3	1	0.0
7302_day4_with_selection	chr6L	248	0	1	0	15	15	4	4	-0.002
7302_day4_with_selection	chr6R	278	0	0	0	1	1	0	0	0.0
7302_day4_with_selection	chr7L	258	0	0	0	4	4	1	1	-0.003
7302_day4_with_selection	chr7R	212	0	2	0	9	9	1	0	0.0
7302_day4_with_selection	chr8L	307	0	4	0	13	13	6	2	0.0
7302_day4_with_selection	chr8R	118	0	0	0	6	6	2	2	0.0
7302_day4_with_selection	chr9L	203	0	0	0	3	3	0	0	0.0
7302_day4_with_selection	chr9R	342	0	1	0	7	7	0	0	-0.004
7302_day5_with_selection	chr10L	196	0	1	0	4	4	1	0	0.0
7302_day5_with_selection	chr10R	206	0	3	0	11	11	0	0	-0.003
7302_day5_with_selection	chr11L	245	0	4	0	12	12	1	1	-0.006
7302_day5_with_selection	chr11R	242	0	1	0	21	21	0	0	-0.004
7302_day5_with_selection	chr12L	279	0	9	0	23	23	11	2	0.001
7302_day5_with_selection	chr12R	76	0	4	0	32	32	25	24	0.002
7302_day5_with_selection	chr13L	151	0	9	0	42	42	25	22	0.001
7302_day5_with_selection	chr13R	194	0	6	0	21	21	7	6	-0.002
7302_day5_with_selection	chr14L	84	0	3	0	19	19	12	11	0.001
7302_day5_with_selection	chr14R	248	0	8	0	32	32	14	7	0.002
7302_day5_with_selection	chr15L	259	0	1	0	4	4	1	0	-0.002
7302_day5_with_selection	chr15R	199	0	2	0	19	19	1	0	0.0
7302_day5_with_selection	chr16L	197	0	2	0	13	13	1	1	0.0
7302_day5_with_selection	chr16R	231	0	0	0	16	16	5	5	0.0
7302_day5_with_selection	chr1L	107	0	2	0	8	8	1	0	0.001
7302_day5_with_selection	chr1R	73	0	1	0	8	8	0	0	-0.008
7302_day5_with_selection	chr2L	216	0	1	0	11	11	3	2	0.0
7302_day5_with_selection	chr2R	240	0	2	0	29	29	0	0	-0.002
7302_day5_with_selection	chr3L	311	0	0	0	1	1	0	0	0.0
7302_day5_with_selection	chr3R	279	0	3	0	18	18	0	0	-0.005
7302_day5_with_selection	chr4L	170	0	2	0	20	20	0	0	0.002
7302_day5_with_selection	chr4R	69	0	1	0	21	21	17	16	0.0
7302_day5_with_selection	chr5L	217	0	5	0	19	19	7	3	0.001
7302_day5_with_selection	chr5R	218	0	6	0	13	13	1	0	0.0
7302_day5_with_selection	chr6L	266	0	0	0	27	27	10	10	0.001
7302_day5_with_selection	chr6R	267	0	0	0	1	1	0	0	0.0
7302_day5_with_selection	chr7L	265	0	1	0	10	10	1	1	-0.005
7302_day5_with_selection	chr7R	227	0	7	0	20	20	0	0	0.0
7302_day5_with_selection	chr8L	259	0	3	0	15	15	9	6	0.0
7302_day5_with_selection	chr8R	125	0	2	0	8	8	2	2	0.001
7302_day5_with_selection	chr9L	188	0	0	0	5	5	0	0	0.0
7302_day5_with_selection	chr9R	213	0	1	0	2	2	0	0	-0.003
7302_day6_with_selection_repeat	chr10L	98	0	0	0	2	2	1	1	0.0
7302_day6_with_selection_repeat	chr10R	89	0	2	0	89	89	0	0	0.008
7302_day6_with_selection_repeat	chr11L	168	0	0	0	2	2	0	0	0.0
7302_day6_with_selection_repeat	chr11R	137	0	0	0	3	3	0	0	0.0
7302_day6_with_selection_repeat	chr12L	183	0	1	0	2	2	1	0	0.0
7302_day6_with_selection_repeat	chr12R	16	0	0	0	15	15	2	2	0.0
7302_day6_with_selection_repeat	chr13L	98	0	0	0	98	98	95	95	0.0
7302_day6_with_selection_repeat	chr13R	146	0	1	0	11	11	1	1	-0.004
7302_day6_with_selection_repeat	chr14L	29	0	0	0	6	6	5	5	0.0
7302_day6_with_selection_repeat	chr14R	144	0	6	0	19	19	15	9	0.001
7302_day6_with_selection_repeat	chr15L	146	0	4	0	9	9	1	0	0.003
7302_day6_with_selection_repeat	chr15R	101	0	1	0	4	4	0	0	0.0
7302_day6_with_selection_repeat	chr16L	92	0	0	0	1	1	0	0	0.0
7302_day6_with_selection_repeat	chr16R	170	0	1	0	3	3	2	1	0.0
7302_day6_with_selection_repeat	chr1L	276	0	1	0	26	26	6	5	-0.0
7302_day6_with_selection_repeat	chr1R	121	0	0	0	17	17	0	0	-0.005
7302_day6_with_selection_repeat	chr2L	153	0	0	0	1	1	1	1	0.0
7302_day6_with_selection_repeat	chr2R	153	0	3	0	20	20	0	1	-0.009
7302_day6_with_selection_repeat	chr3L	226	0	0	0	3	3	0	0	-0.003
7302_day6_with_selection_repeat	chr3R	192	0	4	0	26	26	0	0	-0.009
7302_day6_with_selection_repeat	chr4L	76	0	3	0	16	16	0	0	-0.002
7302_day6_with_selection_repeat	chr4R	43	0	0	0	43	43	43	43	0.0
7302_day6_with_selection_repeat	chr5L	161	0	7	0	15	15	11	4	0.001
7302_day6_with_selection_repeat	chr5R	157	0	1	0	6	6	1	0	0.0
7302_day6_with_selection_repeat	chr6L	171	0	0	0	11	11	3	3	0.001
7302_day6_with_selection_repeat	chr6R	201	0	5	0	23	23	2	0	-0.008
7302_day6_with_selection_repeat	chr7L	189	0	5	0	13	13	3	3	-0.014
7302_day6_with_selection_repeat	chr7R	138	0	0	0	3	3	0	0	0.0
7302_day6_with_selection_repeat	chr8L	175	0	3	0	6	6	6	3	0.001
7302_day6_with_selection_repeat	chr8R	45	0	2	0	4	4	3	1	0.001
7302_day6_with_selection_repeat	chr9L	98	0	2	0	2	2	2	0	0.001
7302_day6_with_selection_repeat	chr9R	184	0	0	0	1	1	0	0	0.0
7302_day9_with_selection_repeat	chr10L	63	0	0	0	1	1	0	0	0.0
7302_day9_with_selection_repeat	chr10R	60	0	1	0	60	60	0	0	0.006
7302_day9_with_selection_repeat	chr11L	115	0	1	0	3	3	0	0	-0.005
7302_day9_with_selection_repeat	chr11R	89	0	0	0	8	8	0	0	0.0
7302_day9_with_selection_repeat	chr12L	108	0	0	0	3	3	0	0	0.001
7302_day9_with_selection_repeat	chr12R	10	0	0	0	10	10	3	3	0.003
7302_day9_with_selection_repeat	chr13L	63	0	0	0	63	63	57	57	0.0
7302_day9_with_selection_repeat	chr13R	95	0	1	0	10	10	3	3	-0.004
7302_day9_with_selection_repeat	chr14L	13	0	2	0	4	4	1	1	0.005
7302_day9_with_selection_repeat	chr14R	80	0	5	0	17	17	11	7	0.003
7302_day9_with_selection_repeat	chr15L	98	0	3	0	9	9	2	1	-0.007
7302_day9_with_selection_repeat	chr15R	59	0	0	0	5	5	1	1	0.0
7302_day9_with_selection_repeat	chr16L	59	0	0	0	4	4	0	0	0.0
7302_day9_with_selection_repeat	chr16R	89	0	1	0	4	4	2	2	0.0
7302_day9_with_selection_repeat	chr1L	216	0	1	0	23	23	4	3	0.0
7302_day9_with_selection_repeat	chr1R	127	0	1	0	29	29	0	0	0.0
7302_day9_with_selection_repeat	chr2L	78	0	0	0	1	1	0	0	0.0
7302_day9_with_selection_repeat	chr2R	70	0	0	0	17	17	0	0	0.0
7302_day9_with_selection_repeat	chr3L	161	0	0	0	4	4	0	0	0.0
7302_day9_with_selection_repeat	chr3R	146	0	3	0	14	14	0	0	-0.005
7302_day9_with_selection_repeat	chr4L	40	0	2	0	12	12	0	0	0.002
7302_day9_with_selection_repeat	chr4R	31	0	0	0	31	31	31	31	0.0
7302_day9_with_selection_repeat	chr5L	89	0	4	0	12	12	6	2	0.001
7302_day9_with_selection_repeat	chr5R	96	0	2	0	8	8	1	0	0.0
7302_day9_with_selection_repeat	chr6L	158	0	1	0	18	18	5	5	0.001
7302_day9_with_selection_repeat	chr6R	188	0	5	0	18	18	2	0	-0.009
7302_day9_with_selection_repeat	chr7L	110	0	5	0	9	9	2	0	-0.007
7302_day9_with_selection_repeat	chr7R	73	0	1	0	5	5	0	0	0.0
7302_day9_with_selection_repeat	chr8L	96	0	1	0	2	2	2	1	0.0
7302_day9_with_selection_repeat	chr8R	28	0	2	0	2	2	1	0	0.001
7302_day9_with_selection_repeat	chr9L	70	0	0	0	1	1	1	1	0.0
7302_day9_with_selection_repeat	chr9R	121	0	1	0	4	4	0	0	0.0
7302_survivor_IT169	chr10L	4	0	0	0	4	4	1	1	0.008
7302_survivor_IT169	chr11L	19	0	10	0	18	18	5	6	-0.216
7302_survivor_IT169	chr11R	3	0	0	0	3	3	0	0	0.0
7302_survivor_IT169	chr12L	6	0	1	0	4	4	2	1	0.005
7302_survivor_IT169	chr12R	5	0	0	0	5	5	4	4	0.0
7302_survivor_IT169	chr13L	6	0	0	0	6	6	1	1	0.0
7302_survivor_IT169	chr13R	21	0	5	0	21	21	0	0	0.085
7302_survivor_IT169	chr14R	11	0	0	0	8	8	0	0	0.005
7302_survivor_IT169	chr15L	5	0	5	0	5	5	0	0	-0.108
7302_survivor_IT169	chr15R	10	0	2	0	4	4	0	0	0.0
7302_survivor_IT169	chr16L	7	0	3	0	3	3	0	0	0.0
7302_survivor_IT169	chr16R	23	0	0	0	14	14	7	7	0.001
7302_survivor_IT169	chr1L	4	0	2	0	4	4	0	0	-0.285
7302_survivor_IT169	chr2R	3	0	1	0	3	3	0	0	-0.19
7302_survivor_IT169	chr3L	7	0	1	0	6	6	0	0	0.035
7302_survivor_IT169	chr3R	6	0	1	0	6	6	0	0	0.011
7302_survivor_IT169	chr4R	3	0	1	0	2	2	1	1	0.0
7302_survivor_IT169	chr5L	9	0	0	0	7	7	1	1	0.0
7302_survivor_IT169	chr5R	11	0	2	0	6	6	0	0	0.0
7302_survivor_IT169	chr6L	10	0	0	0	10	10	0	0	0.0
7302_survivor_IT169	chr6R	12	0	5	0	12	12	0	0	-0.206
7302_survivor_IT169	chr7L	5	0	5	0	5	5	0	0	0.194
7302_survivor_IT169	chr7R	19	0	2	0	10	10	0	0	0.0
7302_survivor_IT169	chr8L	13	0	0	0	13	13	5	5	0.0
7302_survivor_IT169	chr8R	3	0	0	0	2	2	1	1	0.0
7302_survivor_IT169	chr9L	9	0	0	0	5	5	1	1	0.0
7302_survivor_IT169	chr9R	3	0	0	0	3	3	0	0	-0.075
7302_survivor_IT171	chr10L	8	0	1	0	3	3	1	0	0.008
7302_survivor_IT171	chr10R	4	0	0	0	4	4	0	0	0.0
7302_survivor_IT171	chr11L	21	0	5	0	7	7	0	0	-0.114
7302_survivor_IT171	chr12L	5	0	0	0	4	4	1	1	0.0
7302_survivor_IT171	chr13L	6	0	0	0	5	5	2	2	0.0
7302_survivor_IT171	chr13R	9	0	2	0	9	9	0	0	-0.0
7302_survivor_IT171	chr14R	11	0	6	0	11	11	7	1	0.016
7302_survivor_IT171	chr15L	8	0	3	0	8	8	2	2	-0.144
7302_survivor_IT171	chr16L	4	0	0	0	2	2	0	0	0.0
7302_survivor_IT171	chr1L	20	0	3	0	20	20	6	6	-0.025
7302_survivor_IT171	chr1R	3	0	0	0	3	3	0	0	0.0
7302_survivor_IT171	chr2R	6	0	0	0	1	1	0	0	-0.11
7302_survivor_IT171	chr3L	16	0	0	0	2	2	0	0	0.0
7302_survivor_IT171	chr3R	4	0	0	0	3	3	0	0	0.0
7302_survivor_IT171	chr4L	3	0	1	0	3	3	0	0	0.02
7302_survivor_IT171	chr4R	5	0	0	0	5	5	3	3	0.0
7302_survivor_IT171	chr5L	4	0	0	0	1	1	0	0	0.0
7302_survivor_IT171	chr5R	11	0	2	0	7	7	0	0	0.0
7302_survivor_IT171	chr6R	10	0	1	0	9	9	1	1	-0.037
7302_survivor_IT171	chr7R	8	0	2	0	5	5	1	0	0.004
7302_survivor_IT171	chr8L	12	0	2	0	10	10	4	2	0.005
7302_survivor_IT171	chr8R	3	0	1	0	2	2	0	0	0.01
7302_survivor_IT171	chr9L	6	0	0	0	5	5	0	0	0.0
7302_survivor_IT171	chr9R	10	0	1	0	3	3	0	0	0.003
7172_day2_with_selection	chr10L	476	0	1	0	4	4	4	3	0.0
7172_day2_with_selection	chr10R	544	0	1	0	7	7	0	0	0.0
7172_day2_with_selection	chr11L	687	0	2	0	687	687	0	0	-0.0
7172_day2_with_selection	chr11R	651	0	0	0	15	15	0	0	-0.001
7172_day2_with_selection	chr12L	886	0	4	0	9	9	7	3	0.0
7172_day2_with_selection	chr12R	81	0	67	34	47	81	32	0	0.194
7172_day2_with_selection	chr13L	667	0	3	0	8	8	5	3	0.0
7172_day2_with_selection	chr13R	587	0	14	0	45	45	12	6	-0.001
7172_day2_with_selection	chr14L	241	0	10	0	76	76	64	56	0.001
7172_day2_with_selection	chr14R	741	0	3	0	22	22	14	12	0.0
7172_day2_with_selection	chr15L	864	0	3	0	23	23	4	5	-0.001
7172_day2_with_selection	chr15R	431	0	8	0	25	25	5	1	0.0
7172_day2_with_selection	chr16L	462	0	1	0	461	461	459	459	0.0
7172_day2_with_selection	chr16R	861	0	4	0	17	17	15	11	0.0
7172_day2_with_selection	chr1L	335	0	4	0	17	17	3	3	-0.002
7172_day2_with_selection	chr1R	122	0	0	0	4	4	0	0	0.0
7172_day2_with_selection	chr2L	635	0	2	1	20	19	11	10	0.0
7172_day2_with_selection	chr2R	718	0	1	0	31	31	0	0	0.0
7172_day2_with_selection	chr3L	646	0	0	0	4	4	0	0	0.0
7172_day2_with_selection	chr3R	609	0	1	0	7	7	0	0	0.0
7172_day2_with_selection	chr4L	432	0	0	0	7	7	0	0	0.0
7172_day2_with_selection	chr4R	120	0	2	0	31	31	26	25	0.0
7172_day2_with_selection	chr5L	849	0	4	0	7	7	7	3	0.0
7172_day2_with_selection	chr5R	791	0	4	0	16	16	4	2	0.0
7172_day2_with_selection	chr6L	508	0	1	0	17	17	12	12	0.0
7172_day2_with_selection	chr6R	680	0	0	0	3	3	0	0	0.0
7172_day2_with_selection	chr7L	868	0	3	0	11	11	2	2	-0.002
7172_day2_with_selection	chr7R	596	0	1	0	2	2	1	0	0.0
7172_day2_with_selection	chr8L	937	0	5	0	12	12	6	2	0.0
7172_day2_with_selection	chr8R	185	0	3	0	5	5	2	1	0.001
7172_day2_with_selection	chr9L	356	0	2	0	3	3	2	0	0.0
7172_day2_with_selection	chr9R	673	0	0	0	4	4	0	0	-0.0
7172_day3_with_selection	chr10L	146	0	0	0	1	1	0	0	0.0
7172_day3_with_selection	chr10R	161	0	0	0	4	4	0	0	0.0
7172_day3_with_selection	chr11L	165	0	3	0	165	165	0	0	0.004
7172_day3_with_selection	chr11R	143	0	1	0	10	10	1	1	-0.005
7172_day3_with_selection	chr12L	195	0	2	0	2	2	2	0	0.0
7172_day3_with_selection	chr12R	53	0	38	25	28	53	6	0	0.087
7172_day3_with_selection	chr13L	190	0	1	0	1	1	0	0	0.0
7172_day3_with_selection	chr13R	141	0	7	0	24	24	6	6	-0.016
7172_day3_with_selection	chr14L	101	0	14	0	47	47	34	23	0.003
7172_day3_with_selection	chr14R	184	0	3	0	11	11	8	5	0.001
7172_day3_with_selection	chr15L	196	0	5	0	11	11	1	1	-0.004
7172_day3_with_selection	chr15R	144	0	3	0	8	8	0	0	0.0
7172_day3_with_selection	chr16L	152	0	0	0	152	152	151	151	0.0
7172_day3_with_selection	chr16R	194	0	1	0	10	10	8	7	0.0
7172_day3_with_selection	chr1L	118	0	3	0	12	12	5	2	0.001
7172_day3_with_selection	chr1R	53	0	0	0	8	8	0	0	0.0
7172_day3_with_selection	chr2L	175	0	0	0	6	6	5	5	0.0
7172_day3_with_selection	chr2R	183	0	1	0	13	13	0	0	-0.004
7172_day3_with_selection	chr3L	344	0	0	0	4	4	0	0	0.0
7172_day3_with_selection	chr3R	346	0	1	0	15	15	0	0	-0.001
7172_day3_with_selection	chr4L	138	0	1	0	12	12	0	0	-0.001
7172_day3_with_selection	chr4R	85	0	2	0	19	19	16	15	0.0
7172_day3_with_selection	chr5L	246	0	2	0	4	4	2	0	0.0
7172_day3_with_selection	chr5R	244	0	2	0	13	13	5	3	0.0
7172_day3_with_selection	chr6L	313	0	3	0	12	12	5	3	0.0
7172_day3_with_selection	chr6R	370	0	0	0	4	4	1	1	0.0
7172_day3_with_selection	chr7L	181	0	0	0	2	2	0	0	-0.004
7172_day3_with_selection	chr7R	173	0	2	0	9	9	1	1	0.0
7172_day3_with_selection	chr8L	248	0	1	0	4	4	3	2	0.0
7172_day3_with_selection	chr8R	150	0	0	0	1	1	0	0	0.0
7172_day3_with_selection	chr9L	210	0	3	0	9	9	5	2	0.001
7172_day3_with_selection	chr9R	283	0	0	0	6	6	0	0	-0.002
7172_day4_with_selection	chr10L	173	0	0	0	3	3	1	1	0.0
7172_day4_with_selection	chr10R	254	0	0	0	5	5	0	0	0.0
7172_day4_with_selection	chr11L	301	0	5	0	301	301	0	0	0.004
7172_day4_with_selection	chr11R	299	0	3	0	19	19	0	0	-0.005
7172_day4_with_selection	chr12L	335	0	2	0	6	6	5	3	0.0
7172_day4_with_selection	chr12R	20	0	16	6	14	20	9	0	0.24
7172_day4_with_selection	chr13L	321	0	1	0	6	6	2	2	0.0
7172_day4_with_selection	chr13R	262	0	11	0	30	30	9	10	-0.002
7172_day4_with_selection	chr14L	94	0	7	0	30	30	25	19	0.002
7172_day4_with_selection	chr14R	276	0	6	0	13	13	10	4	0.001
7172_day4_with_selection	chr15L	354	0	5	0	13	13	2	2	-0.003
7172_day4_with_selection	chr15R	183	0	5	0	8	8	3	0	0.0
7172_day4_with_selection	chr16L	179	0	0	0	178	178	178	178	0.0
7172_day4_with_selection	chr16R	313	0	1	0	7	7	6	5	0.0
7172_day4_with_selection	chr1L	300	0	8	0	49	49	13	9	-0.005
7172_day4_with_selection	chr1R	101	0	0	0	9	9	0	0	-0.001
7172_day4_with_selection	chr2L	283	0	0	0	14	14	5	5	0.001
7172_day4_with_selection	chr2R	297	0	4	0	37	37	0	0	0.002
7172_day4_with_selection	chr3L	441	0	1	0	9	9	0	0	-0.001
7172_day4_with_selection	chr3R	386	0	2	0	17	17	0	0	-0.003
7172_day4_with_selection	chr4L	155	0	0	0	7	7	0	0	0.0
7172_day4_with_selection	chr4R	44	0	1	0	21	21	15	15	0.0
7172_day4_with_selection	chr5L	364	0	9	0	14	14	9	1	-0.001
7172_day4_with_selection	chr5R	375	0	5	0	10	10	4	1	0.0
7172_day4_with_selection	chr6L	345	0	1	0	23	23	16	15	0.0
7172_day4_with_selection	chr6R	363	0	0	0	5	5	0	0	0.0
7172_day4_with_selection	chr7L	337	0	2	0	4	4	1	0	-0.002
7172_day4_with_selection	chr7R	221	0	4	0	10	10	2	0	0.0
7172_day4_with_selection	chr8L	364	0	0	0	1	1	0	0	0.0
7172_day4_with_selection	chr8R	86	0	1	0	3	3	3	2	0.0
7172_day4_with_selection	chr9L	231	0	0	0	3	3	2	2	0.0
7172_day4_with_selection	chr9R	397	0	0	0	15	15	0	0	-0.002
7172_day4_with_selection_repeat	chr10L	153	0	1	0	4	4	3	2	0.0
7172_day4_with_selection_repeat	chr10R	176	0	1	0	17	17	1	1	-0.003
7172_day4_with_selection_repeat	chr11L	215	0	5	0	7	7	0	0	-0.006
7172_day4_with_selection_repeat	chr11R	195	0	1	0	22	22	2	2	-0.003
7172_day4_with_selection_repeat	chr12L	204	0	4	0	11	11	10	6	0.001
7172_day4_with_selection_repeat	chr12R	32	0	24	10	22	32	8	0	0.224
7172_day4_with_selection_repeat	chr13L	182	0	0	0	6	6	3	3	0.0
7172_day4_with_selection_repeat	chr13R	152	0	0	0	6	6	2	2	-0.004
7172_day4_with_selection_repeat	chr14L	94	0	53	0	92	92	87	34	0.017
7172_day4_with_selection_repeat	chr14R	197	0	5	0	11	11	3	2	0.001
7172_day4_with_selection_repeat	chr15L	228	0	4	0	17	17	3	2	-0.011
7172_day4_with_selection_repeat	chr15R	134	0	0	0	4	4	0	0	0.0
7172_day4_with_selection_repeat	chr16L	138	0	1	0	138	138	133	133	0.0
7172_day4_with_selection_repeat	chr16R	211	0	1	0	8	8	5	5	0.0
7172_day4_with_selection_repeat	chr1L	125	0	3	0	12	12	5	2	0.001
7172_day4_with_selection_repeat	chr1R	56	0	0	0	8	8	0	0	-0.003
7172_day4_with_selection_repeat	chr2L	196	0	1	0	15	15	6	6	0.0
7172_day4_with_selection_repeat	chr2R	185	0	2	0	19	19	1	1	-0.003
7172_day4_with_selection_repeat	chr3L	266	0	0	0	7	7	0	0	0.0
7172_day4_with_selection_repeat	chr3R	288	0	2	0	16	16	0	0	-0.002
7172_day4_with_selection_repeat	chr4L	139	0	0	0	11	11	0	0	0.0
7172_day4_with_selection_repeat	chr4R	61	0	2	0	31	31	26	25	0.0
7172_day4_with_selection_repeat	chr5L	221	0	4	1	14	13	12	9	0.001
7172_day4_with_selection_repeat	chr5R	170	0	4	0	11	11	7	5	0.0
7172_day4_with_selection_repeat	chr6L	260	0	0	0	260	260	0	0	0.0
7172_day4_with_selection_repeat	chr6R	303	0	0	0	7	7	1	1	0.0
7172_day4_with_selection_repeat	chr7L	190	0	2	0	12	12	4	3	-0.002
7172_day4_with_selection_repeat	chr7R	170	0	2	0	9	9	6	6	0.0
7172_day4_with_selection_repeat	chr8L	231	0	9	0	17	17	14	5	0.001
7172_day4_with_selection_repeat	chr8R	113	0	0	0	1	1	0	0	0.0
7172_day4_with_selection_repeat	chr9L	148	0	0	0	2	2	0	0	0.0
7172_day4_with_selection_repeat	chr9R	247	0	2	0	9	9	0	0	-0.002
