read_id	chr_end	y_prime_recombination_status	y_prime_observed_array	y_prime_gained_segment	y_prime_fingerprint_window	unit	copies	kind	donor	y_prime_array_matches	recombination_source	overall_confidence	recombination_mechanism	telomere_end_confirmed	circle_class
SRR33298450.106696	chr13R	Y' Gain	ID2,ID1,ID2,ID1	ID2,ID1,ID2,ID1	ID2,ID1,ID2,ID1	ID2,ID1	2.0	contiguous	chr13L	chr13L:contiguous;chr14L:periodic	chr13L	0.0003	subtelomere_switch	True	repeated_unit_from_donor
SRR33298450.203144	chr14L	Y' Gain	ID1,ID1,ID2,ID2,ID2,ID2,ID2,ID2,ID2,ID2,ID2,ID2,ID2	ID2,ID2,ID2,ID2,ID2,ID2,ID2,ID2	ID2,ID2,ID2,ID2,ID2,ID2,ID2,ID2	ID2	8.0	periodic		chr14L:periodic	chr14L	0.33	tandem_amplification_same_end	True	homopolymer_run
SRR33298450.45757	chr14L	Y' Gain	ID1,ID1,ID2,ID2,ID2,ID1,ID1,ID1,ID1,ID1,ID1	ID1,ID1,ID1,ID1,ID1,ID1	ID1,ID1,ID1,ID1,ID1,ID1	ID1	6.0	contiguous	chr4R	chr12R:periodic;chr14L:periodic;chr4R:contiguous	chr4R	0.66	donor_transfer	True	homopolymer_run
SRR33298450.325252	chr14R	Y' Gain	ID6,ID1,ID1,ID1	ID1,ID1,ID1	ID1,ID1,ID1	ID1	3.0	contiguous		chr12R:contiguous;chr14L:periodic;chr4R:contiguous	chr12R	0.33	donor_transfer_candidates:2	True	homopolymer_run
SRR33298450.532209	chr14R	Y' Gain	ID6,ID2,ID2,ID2	ID2,ID2,ID2	ID2,ID2,ID2	ID2	3.0	contiguous	chr14L	chr14L:contiguous	chr14L	0.66	donor_transfer	True	homopolymer_run
SRR33298450.543490	chr14R	1st Y' Change	ID1,ID1,ID1	ID1,ID1,ID1	ID1,ID1,ID1	ID1	3.0	contiguous		chr12R:contiguous;chr14L:periodic;chr4R:contiguous	chr12R	0.33	donor_transfer_candidates:2	True	homopolymer_run
SRR33298450.212741	chr14R	1st Y' Change	ID1,ID1,ID1	ID1,ID1,ID1	ID1,ID1,ID1	ID1	3.0	contiguous		chr12R:contiguous;chr14L:periodic;chr4R:contiguous	chr12R	0.33	donor_transfer_candidates:2	False	homopolymer_run
SRR33298450.488923	chr15R	Y' Gain	ID1,ID1,ID1,ID1,ID1	ID1,ID1,ID1,ID1	ID1,ID1,ID1,ID1	ID1	4.0	contiguous		chr12R:contiguous;chr14L:periodic;chr4R:contiguous	chr12R	0.33	donor_transfer_candidates:2	True	homopolymer_run
SRR33298450.532461	chr15R	Y' Gain	ID1,ID1,ID1,ID1	ID1,ID1,ID1	ID1,ID1,ID1	ID1	3.0	contiguous		chr12R:contiguous;chr14L:periodic;chr4R:contiguous	chr12R	0.33	donor_transfer_candidates:2	True	homopolymer_run
SRR33298450.392460	chr16L	Y' Gain	ID1,ID1,ID1,ID1	ID1,ID1,ID1	ID1,ID1,ID1	ID1	3.0	contiguous		chr12R:contiguous;chr14L:periodic;chr4R:contiguous	chr12R	0.33	donor_transfer_candidates:2	True	homopolymer_run
SRR33298450.490734	chr16L	Y' Gain	ID1,ID1,ID1,ID1	ID1,ID1,ID1	ID1,ID1,ID1	ID1	3.0	contiguous		chr12R:contiguous;chr14L:periodic;chr4R:contiguous	chr12R	0.33	donor_transfer_candidates:2	False	homopolymer_run
SRR33298450.289374	chr16R	Y' Gain	ID7,ID1,ID1,ID1,ID1	ID1,ID1,ID1,ID1	ID1,ID1,ID1,ID1	ID1	4.0	contiguous		chr12R:contiguous;chr14L:periodic;chr4R:contiguous	chr12R	0.33	donor_transfer_candidates:2	True	homopolymer_run
SRR33298450.536123	chr16R	Y' Gain	ID7,ID1,ID1,ID1	ID1,ID1,ID1	ID1,ID1,ID1	ID1	3.0	contiguous		chr12R:contiguous;chr14L:periodic;chr4R:contiguous	chr12R	0.33	donor_transfer_candidates:2	True	homopolymer_run
SRR33298450.155927	chr16R	Y' Gain	ID7,ID1,ID1,ID1	ID1,ID1,ID1	ID1,ID1,ID1	ID1	3.0	contiguous		chr12R:contiguous;chr14L:periodic;chr4R:contiguous	chr12R	0.33	donor_transfer_candidates:2	True	homopolymer_run
SRR33298450.174100	chr1L	Y' Gain	ID2,ID1,ID2,ID1,ID1	ID2,ID1,ID2,ID1,ID1	ID2,ID1,ID2,ID1	ID2,ID1	2.0	contiguous	chr13L	chr13L:contiguous;chr14L:periodic	chr13L	0.66	donor_transfer	True	repeated_unit_from_donor
SRR33298450.553877	chr2L	Y' Gain	ID4,ID1,ID1,ID1	ID1,ID1,ID1	ID1,ID1,ID1	ID1	3.0	contiguous		chr12R:contiguous;chr14L:periodic;chr4R:contiguous	chr12R	0.33	donor_transfer_candidates:2	True	homopolymer_run
SRR33298450.318959	chr2R	Y' Gain	ID2,ID1,ID2,ID1	ID2,ID1,ID2,ID1	ID2,ID1,ID2,ID1	ID2,ID1	2.0	contiguous	chr13L	chr13L:contiguous;chr14L:periodic	chr13L	0.66	donor_transfer	True	repeated_unit_from_donor
SRR33298450.270057	chr2R	Y' Gain	ID2,ID1,ID2,ID1	ID2,ID1,ID2,ID1	ID2,ID1,ID2,ID1	ID2,ID1	2.0	contiguous	chr13L	chr13L:contiguous;chr14L:periodic	chr13L	0.66	donor_transfer	True	repeated_unit_from_donor
SRR33298450.552873	chr2R	Y' Gain	ID2,ID1,ID2,ID1	ID2,ID1,ID2,ID1	ID2,ID1,ID2,ID1	ID2,ID1	2.0	contiguous	chr13L	chr13L:contiguous;chr14L:periodic	chr13L	0.66	donor_transfer	True	repeated_unit_from_donor
SRR33298450.199957	chr3R	Y' Gain	ID2,ID1,ID2,ID1	ID2,ID1,ID2,ID1	ID2,ID1,ID2,ID1	ID2,ID1	2.0	contiguous	chr13L	chr13L:contiguous;chr14L:periodic	chr13L	0.66	donor_transfer	True	repeated_unit_from_donor
SRR33298450.26211	chr3R	Y' Gain	ID2,ID1,ID2,ID1	ID2,ID1,ID2,ID1	ID2,ID1,ID2,ID1	ID2,ID1	2.0	contiguous	chr13L	chr13L:contiguous;chr14L:periodic	chr13L	0.66	donor_transfer	True	repeated_unit_from_donor
SRR33298450.27157	chr3R	Y' Gain	ID2,ID1,ID2,ID1	ID2,ID1,ID2,ID1	ID2,ID1,ID2,ID1	ID2,ID1	2.0	contiguous	chr13L	chr13L:contiguous;chr14L:periodic	chr13L	0.66	donor_transfer	False	repeated_unit_from_donor
SRR33298450.114409	chr4R	Y' Gain	ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1	ID1,ID1,ID1,ID1	ID1,ID1,ID1,ID1	ID1	4.0	contiguous		chr12R:contiguous;chr14L:periodic;chr4R:contiguous	chr4R	0.33	tandem_amplification_same_end	True	homopolymer_run
SRR33298450.211944	chr5R	Y' Gain	ID1,ID2,ID1,ID2,ID1,ID2,ID1,ID2	ID2,ID1,ID2,ID1,ID2,ID1,ID2	ID2,ID1,ID2,ID1,ID2,ID1,ID2	ID2,ID1	3.5	periodic	chr13L	chr13L:periodic;chr14L:periodic	chr13L	0.66	donor_transfer	False	repeated_unit_from_donor
SRR33298450.316243	chr5R	Y' Gain	ID1,ID1,ID1,ID1,ID1,ID1	ID1,ID1,ID1,ID1,ID1	ID1,ID1,ID1,ID1,ID1	ID1	5.0	contiguous		chr12R:contiguous;chr14L:periodic;chr4R:contiguous	chr12R	0.33	donor_transfer_candidates:2	True	homopolymer_run
SRR33298450.334923	chr5R	Y' Gain	ID1,ID1,ID1,ID1	ID1,ID1,ID1	ID1,ID1,ID1	ID1	3.0	contiguous		chr12R:contiguous;chr14L:periodic;chr4R:contiguous	chr12R	0.33	donor_transfer_candidates:2	True	homopolymer_run
SRR33298450.354968	chr5R	Y' Gain	ID1,ID2,ID2,ID2	ID2,ID2,ID2	ID2,ID2,ID2	ID2	3.0	contiguous	chr14L	chr14L:contiguous	chr14L	0.66	donor_transfer	True	homopolymer_run
SRR33298450.410822	chr6L	Y' Gain	ID4,ID1,ID1,ID1,ID1,ID1	ID1,ID1,ID1,ID1,ID1	ID1,ID1,ID1,ID1,ID1	ID1	5.0	contiguous		chr12R:contiguous;chr14L:periodic;chr4R:contiguous	chr12R	0.33	donor_transfer_candidates:2	False	homopolymer_run
SRR33298450.313653	chr6L	Y' Gain	ID4,ID1,ID1,ID1,ID1	ID1,ID1,ID1,ID1	ID1,ID1,ID1,ID1	ID1	4.0	contiguous		chr12R:contiguous;chr14L:periodic;chr4R:contiguous	chr12R	0.33	donor_transfer_candidates:2	True	homopolymer_run
SRR33298450.547328	chr6L	Y' Gain	ID4,ID1,ID1,ID1,ID1	ID1,ID1,ID1,ID1	ID1,ID1,ID1,ID1	ID1	4.0	contiguous		chr12R:contiguous;chr14L:periodic;chr4R:contiguous	chr12R	0.33	donor_transfer_candidates:2	True	homopolymer_run
SRR33298450.277655	chr6L	1st Y' Change	ID1,ID1,ID1,ID1	ID1,ID1,ID1,ID1	ID1,ID1,ID1,ID1	ID1	4.0	contiguous		chr12R:contiguous;chr14L:periodic;chr4R:contiguous	chr12R	0.33	donor_transfer_candidates:2	True	homopolymer_run
SRR33298450.391007	chr7L	Y' Gain	ID2,ID1,ID2,ID1	ID2,ID1,ID2,ID1	ID2,ID1,ID2,ID1	ID2,ID1	2.0	contiguous	chr13L	chr13L:contiguous;chr14L:periodic	chr13L	-0.0022	subtelomere_switch	True	repeated_unit_from_donor
SRR33298450.557312	chr7R	Y' Gain	ID1,ID1,ID1,ID1	ID1,ID1,ID1	ID1,ID1,ID1	ID1	3.0	contiguous		chr12R:contiguous;chr14L:periodic;chr4R:contiguous	chr12R	0.33	donor_transfer_candidates:2	False	homopolymer_run
SRR33298450.553014	chr7R	Y' Gain	ID1,ID1,ID1,ID1	ID1,ID1,ID1	ID1,ID1,ID1	ID1	3.0	contiguous		chr12R:contiguous;chr14L:periodic;chr4R:contiguous	chr12R	0.33	donor_transfer_candidates:2	True	homopolymer_run
SRR33298450.55887	chr8L	Y' Gain	ID2,ID2,ID2,ID2	ID2,ID2,ID2	ID2,ID2,ID2	ID2	3.0	contiguous	chr14L	chr14L:contiguous	chr14L	0.66	donor_transfer	True	homopolymer_run
SRR33298450.501446	chr9R	Y' Gain	ID2,ID2,ID2	ID2,ID2,ID2	ID2,ID2,ID2	ID2	3.0	contiguous	chr14L	chr14L:contiguous	chr14L	-0.0004	subtelomere_switch	False	homopolymer_run
