read_id	chr_end	y_prime_recombination_status	y_prime_observed_array	y_prime_gained_segment	y_prime_fingerprint_window	unit	copies	kind	donor	y_prime_array_matches	recombination_source	overall_confidence	recombination_mechanism	telomere_end_confirmed	circle_class
SRR33298447.270028	chr12L	Y' Gain	ID2,ID1,ID1,ID1	ID1,ID1,ID1	ID1,ID1,ID1	ID1	3.0	contiguous		chr12R:contiguous;chr14L:periodic;chr4R:contiguous	chr12R	0.33	donor_transfer_candidates:2	True	homopolymer_run
SRR33298447.218998	chr12L	1st Y' Change	ID1,ID1,ID1	ID1,ID1,ID1	ID1,ID1,ID1	ID1	3.0	contiguous		chr12R:contiguous;chr14L:periodic;chr4R:contiguous	chr12R	0.33	donor_transfer_candidates:2	True	homopolymer_run
SRR33298447.133475	chr12R	Y' Gain	ID5,ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1	ID1,ID1,ID1,ID1,ID1	ID1,ID1,ID1,ID1,ID1	ID1	5.0	contiguous		chr12R:contiguous;chr14L:periodic;chr4R:contiguous	chr12R	0.33	tandem_amplification_same_end	True	homopolymer_run
SRR33298447.230089	chr12R	Y' Gain	ID5,ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1	ID1,ID1,ID1,ID1,ID1	ID1,ID1,ID1,ID1,ID1	ID1	5.0	contiguous		chr12R:contiguous;chr14L:periodic;chr4R:contiguous	chr12R	0.33	tandem_amplification_same_end	True	homopolymer_run
SRR33298447.484056	chr12R	Y' Gain	ID5,ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1	ID1,ID1,ID1,ID1	ID1,ID1,ID1,ID1	ID1	4.0	contiguous		chr12R:contiguous;chr14L:periodic;chr4R:contiguous	chr12R	0.33	tandem_amplification_same_end	True	homopolymer_run
SRR33298447.69223	chr12R	Y' Gain	ID5,ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1	ID1,ID1,ID1	ID1,ID1,ID1	ID1	3.0	contiguous		chr12R:contiguous;chr14L:periodic;chr4R:contiguous	chr12R	0.33	tandem_amplification_same_end	True	homopolymer_run
SRR33298447.234153	chr13L	Y' Gain	ID2,ID1,ID2,ID1,ID2,ID1,ID2,ID1,ID2,ID1,ID2,ID1,ID1,ID2	ID2,ID1,ID2,ID1,ID2,ID1,ID2,ID1,ID1,ID2	ID2,ID1,ID2,ID1,ID2,ID1,ID2,ID1	ID2,ID1	4.0	periodic		chr13L:periodic;chr14L:periodic	chr13L	0.33	tandem_amplification_same_end	True	tandem_amplification_own_array
SRR33298447.230163	chr13R	Y' Gain	ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1	ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1	ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1	ID1	10.0	periodic	chr4R	chr12R:periodic;chr14L:periodic;chr4R:periodic	chr4R	-0.0019	subtelomere_switch	True	homopolymer_run
SRR33298447.247443	chr13R	Y' Gain	ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1	ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1	ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1	ID1	9.0	periodic	chr4R	chr12R:periodic;chr14L:periodic;chr4R:periodic	chr4R	0.0013	subtelomere_switch	True	homopolymer_run
SRR33298447.170876	chr13R	Y' Gain	ID2,ID1,ID2,ID1,ID1,ID2,ID1	ID2,ID1,ID2,ID1,ID1,ID2,ID1	ID1,ID2,ID1,ID1,ID2,ID1	ID1,ID2,ID1	2.0	periodic		chr13L:periodic;chr14L:periodic	chr13L	0.0013	subtelomere_switch	True	repeated_unit_donor_ambiguous
SRR33298447.309280	chr13R	Y' Gain	ID1,ID1,ID1,ID1,ID1	ID1,ID1,ID1,ID1,ID1	ID1,ID1,ID1,ID1,ID1	ID1	5.0	contiguous		chr12R:contiguous;chr14L:periodic;chr4R:contiguous	chr15R	0.666	subtelomere_switch	True	homopolymer_run
SRR33298447.14392	chr14L	Y' Recombination	ID1,ID1,ID1,ID2,ID2,ID2,ID1,ID2,ID2,ID1	ID1,ID2,ID2,ID2,ID1,ID2,ID2,ID1	ID2,ID2,ID1,ID2,ID2,ID1	ID2,ID2,ID1	2.0	periodic		chr13L:periodic;chr14L:periodic	chr14L	0.33	tandem_amplification_same_end	True	tandem_amplification_own_array
SRR33298447.138740	chr14L	Y' Gain	ID1,ID1,ID2,ID2,ID2,ID2,ID2,ID2,ID2	ID2,ID2,ID2,ID2	ID2,ID2,ID2,ID2	ID2	4.0	periodic		chr14L:periodic	chr14L	0.33	tandem_amplification_same_end	False	homopolymer_run
SRR33298447.240039	chr14R	1st Y' Change	ID1,ID1,ID1,ID1,ID1	ID1,ID1,ID1,ID1,ID1	ID1,ID1,ID1,ID1,ID1	ID1	5.0	contiguous		chr12R:contiguous;chr14L:periodic;chr4R:contiguous	chr12R	0.33	donor_transfer_candidates:2	True	homopolymer_run
SRR33298447.490698	chr14R	1st Y' Change	ID1,ID1,ID1,ID1,ID1	ID1,ID1,ID1,ID1,ID1	ID1,ID1,ID1,ID1,ID1	ID1	5.0	contiguous		chr12R:contiguous;chr14L:periodic;chr4R:contiguous	chr12R	0.33	donor_transfer_candidates:2	True	homopolymer_run
SRR33298447.85642	chr14R	1st Y' Change	ID1,ID2,ID1,ID2	ID1,ID2,ID1,ID2	ID1,ID2,ID1,ID2	ID1,ID2	2.0	contiguous	chr13L	chr13L:rotation;chr14L:periodic	chr13L	0.66	donor_transfer	True	repeated_unit_from_donor
SRR33298447.287982	chr15R	Y' Gain	ID1,ID1,ID1,ID1,ID1,ID1	ID1,ID1,ID1,ID1,ID1	ID1,ID1,ID1,ID1,ID1	ID1	5.0	contiguous		chr12R:contiguous;chr14L:periodic;chr4R:contiguous	chr12R	0.33	donor_transfer_candidates:2	True	homopolymer_run
SRR33298447.151294	chr15R	Y' Gain	ID1,ID2,ID1,ID2,ID1,ID1	ID2,ID1,ID2,ID1,ID1	ID2,ID1,ID2,ID1	ID2,ID1	2.0	contiguous	chr13L	chr13L:contiguous;chr14L:periodic	chr13L	0.66	donor_transfer	True	repeated_unit_from_donor
SRR33298447.473723	chr15R	Y' Gain	ID1,ID1,ID1,ID1	ID1,ID1,ID1	ID1,ID1,ID1	ID1	3.0	contiguous		chr12R:contiguous;chr14L:periodic;chr4R:contiguous	chr12R	0.33	donor_transfer_candidates:2	True	homopolymer_run
SRR33298447.473629	chr15R	Y' Gain	ID1,ID1,ID1,ID1	ID1,ID1,ID1	ID1,ID1,ID1	ID1	3.0	contiguous		chr12R:contiguous;chr14L:periodic;chr4R:contiguous	chr12R	0.33	donor_transfer_candidates:2	True	homopolymer_run
SRR33298447.153518	chr15R	Y' Gain	ID1,ID1,ID1,ID1	ID1,ID1,ID1	ID1,ID1,ID1	ID1	3.0	contiguous		chr12R:contiguous;chr14L:periodic;chr4R:contiguous	chr12R	0.33	donor_transfer_candidates:2	True	homopolymer_run
SRR33298447.62578	chr15R	Y' Gain	ID1,ID1,ID1,ID1	ID1,ID1,ID1	ID1,ID1,ID1	ID1	3.0	contiguous		chr12R:contiguous;chr14L:periodic;chr4R:contiguous	chr12R	0.33	donor_transfer_candidates:2	False	homopolymer_run
SRR33298447.94456	chr15R	Y' Gain	ID1,ID2,ID2,ID2	ID2,ID2,ID2	ID2,ID2,ID2	ID2	3.0	contiguous	chr14L	chr14L:contiguous	chr14L	0.66	donor_transfer	True	homopolymer_run
SRR33298447.342521	chr16L	Y' Gain	ID1,ID1,ID1,ID1	ID1,ID1,ID1	ID1,ID1,ID1	ID1	3.0	contiguous		chr12R:contiguous;chr14L:periodic;chr4R:contiguous	chr12R	0.33	donor_transfer_candidates:2	True	homopolymer_run
SRR33298447.491984	chr16L	Y' Gain	ID1,ID2,ID2,ID2	ID2,ID2,ID2	ID2,ID2,ID2	ID2	3.0	contiguous	chr14L	chr14L:contiguous	chr14L	0.66	donor_transfer	True	homopolymer_run
SRR33298447.53587	chr16L	Y' Gain	ID1,ID2,ID2,ID2	ID2,ID2,ID2	ID2,ID2,ID2	ID2	3.0	contiguous	chr14L	chr14L:contiguous	chr14L	0.66	donor_transfer	True	homopolymer_run
SRR33298447.52342	chr16L	Y' Gain	ID1,ID2,ID2,ID2	ID2,ID2,ID2	ID2,ID2,ID2	ID2	3.0	contiguous	chr14L	chr14L:contiguous	chr14L	0.66	donor_transfer	True	homopolymer_run
SRR33298447.340905	chr16R	Y' Gain	ID7,ID1,ID1,ID1,ID1,ID1,ID1	ID1,ID1,ID1,ID1,ID1,ID1	ID1,ID1,ID1,ID1,ID1,ID1	ID1	6.0	contiguous	chr4R	chr12R:periodic;chr14L:periodic;chr4R:contiguous	chr4R	0.66	donor_transfer	True	homopolymer_run
SRR33298447.490031	chr16R	Y' Gain	ID7,ID2,ID2,ID2	ID2,ID2,ID2	ID2,ID2,ID2	ID2	3.0	contiguous	chr14L	chr14L:contiguous	chr14L	0.66	donor_transfer	True	homopolymer_run
SRR33298447.239039	chr1L	Y' Gain	ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1	ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1	ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1	ID1	9.0	periodic	chr4R	chr12R:periodic;chr14L:periodic;chr4R:periodic	chr4R	0.0002	subtelomere_switch	True	homopolymer_run
SRR33298447.328635	chr1L	Y' Gain	ID1,ID2,ID1,ID2	ID1,ID2,ID1,ID2	ID1,ID2,ID1,ID2	ID1,ID2	2.0	contiguous	chr13L	chr13L:rotation;chr14L:periodic	chr13L	0.66	donor_transfer	True	repeated_unit_from_donor
SRR33298447.262919	chr1R	Y' Gain	ID1,ID1,ID1,ID1,ID1,ID1,ID1	ID1,ID1,ID1,ID1,ID1,ID1,ID1	ID1,ID1,ID1,ID1,ID1,ID1,ID1	ID1	7.0	contiguous	chr4R	chr12R:periodic;chr14L:periodic;chr4R:contiguous	chr4R	0.66	donor_transfer	True	homopolymer_run
SRR33298447.148608	chr1R	Y' Gain	ID2,ID1,ID2,ID1,ID2	ID2,ID1,ID2,ID1,ID2	ID2,ID1,ID2,ID1,ID2	ID2,ID1	2.5	periodic	chr13L	chr13L:periodic;chr14L:periodic	chr13L	0.66	donor_transfer	True	repeated_unit_from_donor
SRR33298447.349823	chr2L	Y' Gain	ID4,ID1,ID1,ID1,ID1	ID1,ID1,ID1,ID1	ID1,ID1,ID1,ID1	ID1	4.0	contiguous		chr12R:contiguous;chr14L:periodic;chr4R:contiguous	chr12R	0.33	donor_transfer_candidates:2	False	homopolymer_run
SRR33298447.131635	chr2L	Y' Gain	ID4,ID1,ID1,ID1	ID1,ID1,ID1	ID1,ID1,ID1	ID1	3.0	contiguous		chr12R:contiguous;chr14L:periodic;chr4R:contiguous	chr12R	0.33	donor_transfer_candidates:2	True	homopolymer_run
SRR33298447.318819	chr2R	Y' Gain	ID2,ID1,ID2,ID1,ID1,ID1	ID2,ID1,ID2,ID1,ID1,ID1	ID2,ID1,ID2,ID1	ID2,ID1	2.0	contiguous	chr13L	chr13L:contiguous;chr14L:periodic	chr13L	0.008	subtelomere_switch	True	repeated_unit_from_donor
SRR33298447.129927	chr2R	Y' Gain	ID2,ID1,ID2,ID1	ID2,ID1,ID2,ID1	ID2,ID1,ID2,ID1	ID2,ID1	2.0	contiguous	chr13L	chr13L:contiguous;chr14L:periodic	chr13L	0.66	donor_transfer	True	repeated_unit_from_donor
SRR33298447.74716	chr2R	Y' Gain	ID2,ID1,ID2,ID1	ID2,ID1,ID2,ID1	ID2,ID1,ID2,ID1	ID2,ID1	2.0	contiguous	chr13L	chr13L:contiguous;chr14L:periodic	chr13L	0.66	donor_transfer	True	repeated_unit_from_donor
SRR33298447.460402	chr2R	Y' Gain	ID2,ID1,ID2,ID1	ID2,ID1,ID2,ID1	ID2,ID1,ID2,ID1	ID2,ID1	2.0	contiguous	chr13L	chr13L:contiguous;chr14L:periodic	chr13L	0.66	donor_transfer	True	repeated_unit_from_donor
SRR33298447.33469	chr2R	Y' Gain	ID2,ID1,ID2,ID1	ID2,ID1,ID2,ID1	ID2,ID1,ID2,ID1	ID2,ID1	2.0	contiguous	chr13L	chr13L:contiguous;chr14L:periodic	chr13L	0.66	donor_transfer	True	repeated_unit_from_donor
SRR33298447.389035	chr2R	Y' Gain	ID1,ID1,ID1	ID1,ID1,ID1	ID1,ID1,ID1	ID1	3.0	contiguous		chr12R:contiguous;chr14L:periodic;chr4R:contiguous	chr7R	1.0	subtelomere_switch	True	homopolymer_run
SRR33298447.474364	chr2R	Y' Gain	ID2,ID2,ID2	ID2,ID2,ID2	ID2,ID2,ID2	ID2	3.0	contiguous	chr14L	chr14L:contiguous	chr8L	0.4482	subtelomere_switch	True	homopolymer_run
SRR33298447.9362	chr3R	Y' Gain	ID3,ID1,ID2,ID1,ID1,ID2,ID1,ID2	ID3,ID1,ID2,ID1,ID1,ID2,ID1,ID2	ID1,ID2,ID1,ID1,ID2,ID1	ID1,ID2,ID1	2.0	periodic		chr13L:periodic;chr14L:periodic	chr13L	0.0051	subtelomere_switch	True	repeated_unit_donor_ambiguous
SRR33298447.180074	chr3R	Y' Gain	ID2,ID1,ID2,ID2,ID1,ID2	ID2,ID1,ID2,ID2,ID1,ID2	ID2,ID1,ID2,ID2,ID1,ID2	ID2,ID1,ID2	2.0	periodic		chr13L:periodic;chr14L:periodic	chr13L	0.33	donor_transfer_candidates:2	True	repeated_unit_donor_ambiguous
SRR33298447.490300	chr3R	Y' Gain	ID2,ID1,ID2,ID1,ID1	ID2,ID1,ID2,ID1,ID1	ID2,ID1,ID2,ID1	ID2,ID1	2.0	contiguous	chr13L	chr13L:contiguous;chr14L:periodic	chr13L	-0.0007	subtelomere_switch	True	repeated_unit_from_donor
SRR33298447.207200	chr3R	Y' Gain	ID2,ID1,ID2,ID1	ID2,ID1,ID2,ID1	ID2,ID1,ID2,ID1	ID2,ID1	2.0	contiguous	chr13L	chr13L:contiguous;chr14L:periodic	chr13L	0.66	donor_transfer	True	repeated_unit_from_donor
SRR33298447.504250	chr3R	Y' Gain	ID1,ID1,ID1	ID1,ID1,ID1	ID1,ID1,ID1	ID1	3.0	contiguous		chr12R:contiguous;chr14L:periodic;chr4R:contiguous	chr12R	0.33	donor_transfer_candidates:2	True	homopolymer_run
SRR33298447.168241	chr4L	Y' Gain	ID2,ID1,ID2,ID1	ID2,ID1,ID2,ID1	ID2,ID1,ID2,ID1	ID2,ID1	2.0	contiguous	chr13L	chr13L:contiguous;chr14L:periodic	chr13L	0.66	donor_transfer	True	repeated_unit_from_donor
SRR33298447.434153	chr4L	Y' Gain	ID2,ID1,ID2,ID1	ID2,ID1,ID2,ID1	ID2,ID1,ID2,ID1	ID2,ID1	2.0	contiguous	chr13L	chr13L:contiguous;chr14L:periodic	chr13L	0.66	donor_transfer	False	repeated_unit_from_donor
SRR33298447.204657	chr4R	Y' Gain	ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1	ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1	ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1	ID1	10.0	periodic		chr12R:periodic;chr14L:periodic;chr4R:periodic	chr4R	0.33	tandem_amplification_same_end	True	homopolymer_run
SRR33298447.316158	chr4R	Y' Gain	ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1	ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1	ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1	ID1	10.0	periodic		chr12R:periodic;chr14L:periodic;chr4R:periodic	chr4R	0.33	tandem_amplification_same_end	True	homopolymer_run
SRR33298447.219650	chr4R	Y' Gain	ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1	ID1,ID1,ID1	ID1,ID1,ID1	ID1	3.0	contiguous		chr12R:contiguous;chr14L:periodic;chr4R:contiguous	chr4R	0.33	tandem_amplification_same_end	True	homopolymer_run
SRR33298447.330460	chr5L	Y' Gain	ID8,ID1,ID1,ID1,ID1,ID1,ID1	ID1,ID1,ID1,ID1,ID1,ID1	ID1,ID1,ID1,ID1,ID1,ID1	ID1	6.0	contiguous	chr4R	chr12R:periodic;chr14L:periodic;chr4R:contiguous	chr4R	0.66	donor_transfer	False	homopolymer_run
SRR33298447.458491	chr5L	Y' Gain	ID8,ID1,ID1,ID1	ID1,ID1,ID1	ID1,ID1,ID1	ID1	3.0	contiguous		chr12R:contiguous;chr14L:periodic;chr4R:contiguous	chr12R	0.33	donor_transfer_candidates:2	False	homopolymer_run
SRR33298447.156684	chr5L	Y' Gain	ID8,ID1,ID1,ID1	ID1,ID1,ID1	ID1,ID1,ID1	ID1	3.0	contiguous		chr12R:contiguous;chr14L:periodic;chr4R:contiguous	chr12R	0.33	donor_transfer_candidates:2	True	homopolymer_run
SRR33298447.315720	chr5R	Y' Gain	ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1	ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1	ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1	ID1	9.0	periodic	chr4R	chr12R:periodic;chr14L:periodic;chr4R:periodic	chr4R	0.66	donor_transfer	False	homopolymer_run
SRR33298447.138438	chr5R	Y' Gain	ID1,ID1,ID1,ID1	ID1,ID1,ID1	ID1,ID1,ID1	ID1	3.0	contiguous		chr12R:contiguous;chr14L:periodic;chr4R:contiguous	chr12R	0.33	donor_transfer_candidates:2	False	homopolymer_run
SRR33298447.280347	chr7R	Y' Gain	ID1,ID1,ID1,ID1,ID1,ID1	ID1,ID1,ID1,ID1,ID1	ID1,ID1,ID1,ID1,ID1	ID1	5.0	contiguous		chr12R:contiguous;chr14L:periodic;chr4R:contiguous	chr12R	0.33	donor_transfer_candidates:2	True	homopolymer_run
SRR33298447.22803	chr7R	Y' Gain	ID1,ID2,ID1,ID2,ID1	ID2,ID1,ID2,ID1	ID2,ID1,ID2,ID1	ID2,ID1	2.0	contiguous	chr13L	chr13L:contiguous;chr14L:periodic	chr13L	0.66	donor_transfer	False	repeated_unit_from_donor
SRR33298447.263048	chr7R	Y' Gain	ID1,ID1,ID1,ID1	ID1,ID1,ID1	ID1,ID1,ID1	ID1	3.0	contiguous		chr12R:contiguous;chr14L:periodic;chr4R:contiguous	chr12R	0.33	donor_transfer_candidates:2	True	homopolymer_run
SRR33298447.278251	chr7R	Y' Gain	ID1,ID1,ID1,ID1	ID1,ID1,ID1	ID1,ID1,ID1	ID1	3.0	contiguous		chr12R:contiguous;chr14L:periodic;chr4R:contiguous	chr12R	0.33	donor_transfer_candidates:2	True	homopolymer_run
SRR33298447.404240	chr8L	Y' Gain	ID2,ID1,ID1,ID1,ID1,ID1	ID1,ID1,ID1,ID1,ID1	ID1,ID1,ID1,ID1,ID1	ID1	5.0	contiguous		chr12R:contiguous;chr14L:periodic;chr4R:contiguous	chr6L	0.8937	subtelomere_switch	True	homopolymer_run
SRR33298447.501504	chr8L	Y' Gain	ID2,ID2,ID2,ID2	ID2,ID2,ID2	ID2,ID2,ID2	ID2	3.0	contiguous	chr14L	chr14L:contiguous	chr14L	0.66	donor_transfer	True	homopolymer_run
SRR33298447.247339	chr8R	Y' Gain	ID2,ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1	ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1	ID1,ID1,ID1,ID1,ID1,ID1,ID1,ID1	ID1	8.0	periodic	chr4R	chr12R:periodic;chr14L:periodic;chr4R:periodic	chr4R	0.66	donor_transfer	True	homopolymer_run
SRR33298447.335578	chr9L	Y' Gain	ID3,ID1,ID1,ID1,ID1,ID1,ID1,ID1	ID1,ID1,ID1,ID1,ID1,ID1,ID1	ID1,ID1,ID1,ID1,ID1,ID1,ID1	ID1	7.0	contiguous	chr4R	chr12R:periodic;chr14L:periodic;chr4R:contiguous	chr4R	0.66	donor_transfer	True	homopolymer_run
SRR33298447.219329	chr9L	Y' Gain	ID3,ID1,ID1,ID1	ID1,ID1,ID1	ID1,ID1,ID1	ID1	3.0	contiguous		chr12R:contiguous;chr14L:periodic;chr4R:contiguous	chr12R	0.33	donor_transfer_candidates:2	True	homopolymer_run
