sample	read_id	chr_end	y_prime_status	observed_array	window_len	window_start	expected_source	recombination_source	overall_confidence	compatible_ends	fingerprint_source	mechanism	hit
7302_day5_with_selection	SRR33298447.78734	chr15R	Y' Gain	ID2,ID2,ID7,ID2	3	1	chr13L	chr13L	0.66	chr15R,chr4R	chr13L	donor_transfer	True
7302_day5_with_selection	SRR33298447.328635	chr1L	Y' Gain	ID5,ID7,ID2,ID7	3	1	chr13L	chr13L	0.66	chr14L,chr16L,chr7R	chr13L	donor_transfer	True
7302_day5_with_selection	SRR33298447.148608	chr1R	Y' Gain	ID7,ID2,ID7,ID2,ID7	5	0	chr13L	chr13L	0.66	chr13L	chr13L	donor_transfer	True
7302_day5_with_selection	SRR33298447.118629	chr1R	Y' Gain	ID7,ID2,ID7	3	0	chr13L	chr13L	0.66	chr13L	chr13L	donor_transfer	True
7302_day5_with_selection	SRR33298447.151907	chr2L	Y' Gain	ID4,ID2,ID7,ID2	3	1	chr13L	chr13L	0.66	chr2L,chr6L	chr13L	donor_transfer	True
7302_day5_with_selection	SRR33298447.318819	chr2R	Y' Gain	ID7,ID2,ID7,ID2,ID2,ID2	4	0	chr13L	chr13L	0.66	chr13L	chr13L	donor_transfer	True
7302_day5_with_selection	SRR33298447.149253	chr2R	Y' Gain	ID7,ID2,ID7,ID7,ID2	3	0	chr13L	chr13L	0.66	chr13L	chr13L	donor_transfer	True
7302_day5_with_selection	SRR33298447.129927	chr2R	Y' Gain	ID7,ID2,ID7,ID2	4	0	chr13L	chr13L	0.66	chr13L	chr13L	donor_transfer	True
7302_day5_with_selection	SRR33298447.74716	chr2R	Y' Gain	ID7,ID2,ID7,ID2	4	0	chr13L	chr13L	0.66	chr13L	chr13L	donor_transfer	True
7302_day5_with_selection	SRR33298447.460402	chr2R	Y' Gain	ID7,ID2,ID7,ID2	4	0	chr13L	chr13L	0.66	chr13L	chr13L	donor_transfer	True
7302_day5_with_selection	SRR33298447.33469	chr2R	Y' Gain	ID7,ID2,ID7,ID2	4	0	chr13L	chr13L	0.66	chr13L	chr13L	donor_transfer	True
7302_day5_with_selection	SRR33298447.9362	chr3R	Y' Gain	ID6,ID2,ID7,ID2,ID2,ID7,ID2,ID7	4	4	chr13L	chr13L	0.66	chr10L,chr14R,chr5L,chr9L	chr13L	donor_transfer	True
7302_day5_with_selection	SRR33298447.180074	chr3R	Y' Gain	ID7,ID2,ID7,ID7,ID2,ID7	3	0	chr13L	chr13L	0.66	chr13L	chr13L	donor_transfer	True
7302_day5_with_selection	SRR33298447.490300	chr3R	Y' Gain	ID7,ID2,ID7,ID2,ID2	4	0	chr13L	chr13L	0.66	chr13L	chr13L	donor_transfer	True
7302_day5_with_selection	SRR33298447.207200	chr3R	Y' Gain	ID7,ID2,ID7,ID2	4	0	chr13L	chr13L	0.66	chr13L	chr13L	donor_transfer	True
7302_day5_with_selection	SRR33298447.168241	chr4L	Y' Gain	ID7,ID2,ID7,ID2	4	0	chr13L	chr13L	0.66	chr13L	chr13L	donor_transfer	True
7302_day5_with_selection	SRR33298447.434153	chr4L	Y' Gain	ID7,ID2,ID7,ID2	4	0	chr13L	chr13L	0.66	chr13L	chr13L	donor_transfer	True
7302_day5_with_selection	SRR33298447.295395	chr5L	Y' Gain	ID6,ID2,ID7,ID2	3	1	chr13L	chr13L	0.66	chr10L,chr14R,chr5L,chr9L	chr13L	donor_transfer	True
7302_day5_with_selection	SRR33298447.318447	chr5R	Y' Gain	ID1,ID7,ID2,ID7,ID7,ID7,ID7,ID7,ID4	3	1	chr13L	chr13L	0.66	chr12L,chr12R,chr16R,chr5R,chr8L,chr8R	chr13L	donor_transfer	True
7302_day5_with_selection	SRR33298447.22803	chr7R	Y' Gain	ID5,ID7,ID2,ID7,ID2	4	1	chr13L	chr13L	0.66	chr14L,chr16L,chr7R	chr13L	donor_transfer	True
7302_day5_with_selection	SRR33298447.508772	chr7R	Y' Gain	ID5,ID7,ID2,ID7,ID3	3	1	chr13L	chr13L	0.66	chr14L,chr16L,chr7R	chr13L	donor_transfer	True
