sample	read_id	chr_end	true_element	matched_element	verdict	pattern
6991_day0_TeloTag_with_selection	SRR33298434.497585	chr8L	E-chr8L-1	E-chr2L-1	RECOMBINANT	.-AA-------BBBAAA------AA----A----A.
6991_day0_TeloTag_with_selection	SRR33298434.515556	chr8R	E-chr8R-1	E-chr14R-1	RECOMBINANT	.AAAAA---BBBBBBBBBBBBB--------BBBB-BBB-BBBBB.
6991_day0_reference	SRR33298378.151832	chr12L	E-chr12L-1	E-chr2L-1	RECOMBINANT	.AAA--------A---A-----B-BB-------AA--
6991_day0_reference	SRR33298378.55891	chr12L	E-chr12L-1	E-chr16R-1	RECOMBINANT	.-AAA---A--------------BBA--------A.
6991_day0_reference	SRR33298378.275479	chr13L	E-chr13L-1	E-chr9L-1	single	.BBBBBBBB-BBBBBB-------BB-BBBBBB.BBB.---BBBAB.
6991_day0_reference	SRR33298378.42439	chr13L	E-chr13L-1	E-chr10L-1	RECOMBINANT	.AAAAA---BBBBBBBBBBBB-BB--B---BBBBBBB-BBBBBBBB.
6991_day0_reference	SRR33298378.265251	chr13L	E-chr13L-1	E-chr2L-1	RECOMBINANT	.--AAA---AA-------------BBBBBB--------AA
6991_day0_reference	SRR33298378.159765	chr13L	E-chr13L-1	E-chr2L-1	RECOMBINANT	.AA--------BBBBBB------------AA----AAA-.
6991_day0_reference	SRR33298378.714719	chr14R	E-chr14R-1	E-chr9L-1	RECOMBINANT	.------AAA---------------------ABBBB-----------.
6991_day0_reference	SRR33298378.9482	chr14R	E-chr14R-1	E-chr9L-1	RECOMBINANT	.------A-A--------------------BBBBBB----BB-BBB.
6991_day0_reference	SRR33298378.566178	chr14R	E-chr14R-1	E-chr9L-1	single	.-----AAAA--------------------BAA------A--AAA
6991_day0_reference	SRR33298378.240117	chr14R	E-chr14R-1	E-chr5L-1	RECOMBINANT	AAAAA-AAAA--BB--B-BBB-----BB-BBBBBB-B----BBB
6991_day0_reference	SRR33298378.306956	chr14R	E-chr14R-1	E-chr15R-1	RECOMBINANT	.BBBBB-BB-BBBBB------BBBB---BBB-BB-B-A-AAAAA.
6991_day0_reference	SRR33298378.651427	chr15R	E-chr15R-1	E-chr13L-1	RECOMBINANT	.---------BBBB--------------------A-A.
6991_day0_reference	SRR33298378.290053	chr16L	E-chr16L-1	E-chr10L-1	RECOMBINANT	.AAA---AAAAAAAAA---------------ABB-BAA----A--AAA
6991_day0_reference	SRR33298378.305547	chr16L	E-chr16L-1	E-chr5L-1	RECOMBINANT	AAAAA-BBBBBBBB--B---B---BBB-BBBBBB-----BBB-B
6991_day0_reference	SRR33298378.400808	chr16R	E-chr16R-1	E-chr14L-5	RECOMBINANT	.AAAA------------------BB-------A--
6991_day0_reference	SRR33298378.69401	chr2L	E-chr2L-1	E-chr14L-5	mixed	.BBB----BB-AABB-------------A----AAA-.
6991_day0_reference	SRR33298378.722027	chr2L	E-chr2L-1	E-chr8R-1	single	.-----------------------AAB--A----AAA
6991_day0_reference	SRR33298378.427420	chr2L	E-chr2L-1	E-chr8R-1	single	.BB--------BB-----------------------.
6991_day0_reference	SRR33298378.334381	chr5L	E-chr5L-1	E-chr5R-1	RECOMBINANT	.B-BBB-----BBBB---BB---B---B--BBAAAA-----A.
6991_day0_reference	SRR33298378.381146	chr5L	E-chr5L-1	E-chr12R-1	RECOMBINANT	.---B------BBBB-B-----AA---A-------AA----A.
6991_day0_reference	SRR33298378.151924	chr6L	E-chr6L-1	E-chr14L-5	RECOMBINANT	.BBB-----B--BBB--------------A--AAA--.
6991_day0_reference	SRR33298378.95349	chr6L	E-chr6L-1	E-chr13L-1	RECOMBINANT	.-AAAA----------------BBB---B----BBB
6991_day0_reference	SRR33298378.180346	chr6L	E-chr6L-1	E-chr14L-5	RECOMBINANT	.-AAAA-----------------BBB-BB----BBB
6991_day0_reference	SRR33298378.296817	chr6L	E-chr6L-1	E-chr14L-5	RECOMBINANT	.BB-----B--BBB--------A--------AAA--.
6991_day0_reference	SRR33298378.142793	chr8L	E-chr8L-1	E-chr2L-1	RECOMBINANT	.BBB---BBBBBBBBBBBBB-A--------AA---AA.
6991_day0_reference	SRR33298378.56289	chr8R	E-chr8R-1	E-chr2L-1	single	------------------------BBBBB--BB---BBB
6991_day0_reference_promethion	SRR33298377.260642	chr13L	E-chr13L-1	E-chr6L-1	single	.BBB----B--BBBBBBB--------------B--BBB--.
6991_day0_reference_promethion	SRR33298377.267122	chr13L	E-chr13L-1	E-chr2L-1	RECOMBINANT	.BBB----BB--BBBB--B-----------BB----AAA-.
6991_day0_reference_promethion	SRR33298377.272313	chr13L	E-chr13L-1	E-chr6L-1	single	.--BBB--B---------------BBBBB---B-----B-
6991_day0_reference_promethion	SRR33298377.125819	chr13L	E-chr13L-1	E-chr2L-1	RECOMBINANT	.--AAA---BB--B-B------B-BBBBBB-BBB---BBB
6991_day0_reference_promethion	SRR33298377.726683	chr14R	E-chr14R-1	E-chr9L-1	RECOMBINANT	.------A-A--------------------AAABB--...---B
6991_day0_reference_promethion	SRR33298377.93825	chr14R	E-chr14R-1	E-chr2L-1	single	.BBBBBBB-BBBBBB---B---BBBBBBBBB----BBBBB
6991_day0_reference_promethion	SRR33298377.644709	chr16R	E-chr16R-1	E-chr13L-1	RECOMBINANT	.--A-------BB------------------AAAA.
6991_day0_reference_promethion	SRR33298377.534605	chr16R	E-chr16R-1	E-chr13L-1	RECOMBINANT	.AAAA------------------BB-------A--.
6991_day0_reference_promethion	SRR33298377.541858	chr2L	E-chr2L-1	E-chr8R-1	single	.------------------------AB-------AAA
6991_day0_reference_promethion	SRR33298377.75463	chr5R	E-chr5R-1	E-chr9L-1	single	.---A--BB--BBBBB------BB------BBBBBBBB--BBBBBB
6991_day0_reference_promethion	SRR33298377.763070	chr8L	E-chr8L-1	E-chr13L-1	single	.B---------BBBBBB--BB------------A.
6991_day0_reference_promethion	SRR33298377.221175	chr8R	E-chr8R-1	E-chr14L-5	RECOMBINANT	--AAA---AA------------BBB----------B
6991_day0_with_selection	SRR33298395.1154314	chr10L	E-chr10L-1	E-chr16L-1	RECOMBINANT	.BBBBBBB---BBBB----B----------BB-A-AAAA--AAA.
6991_day0_with_selection	SRR33298395.850311	chr10L	E-chr10L-1	E-chr16L-1	RECOMBINANT	.BBBBBB----BBBB-------BB------BB-AAAA-A---AA.
6991_day0_with_selection	SRR33298395.1509441	chr10L	E-chr10L-1	E-chr7R-1	RECOMBINANT	.AAA---AAAAAAAAA------AA--A----BBBB-B-BBBBBB.
6991_day0_with_selection	SRR33298395.1158890	chr10L	E-chr10L-1	E-chr13L-1	RECOMBINANT	.BBBBBBBB-BBBB---BB--BB-BBBB---AAAAA.
6991_day0_with_selection	SRR33298395.1286062	chr10L	E-chr10L-1	E-chr5R-1	unresolved	...B-.......A.........-.A-......
6991_day0_with_selection	SRR33298395.790631	chr12L	E-chr12L-1	E-chr2L-1	single	.BBBBB------------B-----BBBBBB--B----BBB
6991_day0_with_selection	SRR33298395.198323	chr12L	E-chr12L-1	E-chr8L-1	single	AB----BB------BBB-BBBBBB-------BBB.
6991_day0_with_selection	SRR33298395.1185585	chr13L	E-chr13L-1	E-chr7R-1	single	.BBB--------------------BBBBBBBBBBBB---BB---.
6991_day0_with_selection	SRR33298395.1573029	chr13L	E-chr13L-1	E-chr15R-1	single	.B-BB-------------------BBBBBBBBBB----------.
6991_day0_with_selection	SRR33298395.1020823	chr13L	E-chr13L-1	E-chr16L-1	RECOMBINANT	.---AA-----BBBBBBBBBBA-------------------BB-.
6991_day0_with_selection	SRR33298395.1472813	chr13L	E-chr13L-1	E-chr14L-2	single	.----------BBBBBBBBBB-----------------------.
6991_day0_with_selection	SRR33298395.1438229	chr13L	E-chr13L-1	E-chr2L-1	RECOMBINANT	.-A-B---B--BBBBBBB------------AA----AA--.
6991_day0_with_selection	SRR33298395.1400154	chr13L	E-chr13L-1	E-chr2L-1	RECOMBINANT	.BBB----B--BBBBBAA------------AA----AAA-.
6991_day0_with_selection	SRR33298395.836889	chr13L	E-chr13L-1	E-chr2L-1	RECOMBINANT	.BBBB---B--BBBBBB-------------BB----AAA-.
6991_day0_with_selection	SRR33298395.398286	chr13L	E-chr13L-1	E-chr6L-1	single	.BBB---BB--BBBBBB---------------B--BBB--.
6991_day0_with_selection	SRR33298395.1088166	chr13L	E-chr13L-1	E-chr6L-1	single	.--BBB--B---------------BBBBBB-BB----BBB
6991_day0_with_selection	SRR33298395.705953	chr13L	E-chr13L-1	E-chr2L-1	RECOMBINANT	.--AAA---AA-------------BBBBBB--BB----AA.
6991_day0_with_selection	SRR33298395.1740335	chr13L	E-chr13L-1	E-chr2L-1	RECOMBINANT	.--AAA---AA-------------BBBBAA--AA------
6991_day0_with_selection	SRR33298395.931252	chr13L	E-chr13L-1	E-chr2L-1	RECOMBINANT	.--AAA---AA-------------BBBBBB--BB----AA
6991_day0_with_selection	SRR33298395.240085	chr13L	E-chr13L-1	E-chr2L-1	RECOMBINANT	.-----------BBBB------------AA----AAA-.
6991_day0_with_selection	SRR33298395.91673	chr13L	E-chr13L-1	E-chr6L-1	RECOMBINANT	.-----------BBBB--------A---------AAA-..
6991_day0_with_selection	SRR33298395.167741	chr13L	E-chr13L-1	E-chr2L-1	RECOMBINANT	.--AAA---AA--A----------B-BB-----------
6991_day0_with_selection	SRR33298395.30875	chr13L	E-chr13L-1	E-chr8R-1	RECOMBINANT	.--BBB--ABB------------AAA----------
6991_day0_with_selection	SRR33298395.1334307	chr13L	E-chr13L-1	E-chr6L-1	unresolved	................--.A..........
6991_day0_with_selection	SRR33298395.634165	chr13L	E-chr13L-1	E-chr5R-1	unresolved	...
6991_day0_with_selection	SRR33298395.1669606	chr14R	E-chr14R-1	E-chr9L-1	RECOMBINANT	.------AAA--------------------BBBBBB----B----B.
6991_day0_with_selection	SRR33298395.88506	chr14R	E-chr14R-1	E-chr9L-1	RECOMBINANT	.BBB-BB----BBBBBB--------------------A-A-----A.
6991_day0_with_selection	SRR33298395.614991	chr14R	E-chr14R-1	E-chr9L-1	RECOMBINANT	.BB--BB---BBBBBB---------------------A-A-----.
6991_day0_with_selection	SRR33298395.768603	chr14R	E-chr14R-1	E-chr9L-1	RECOMBINANT	.------AAA--------------------BBBB-----A---AA
6991_day0_with_selection	SRR33298395.614488	chr14R	E-chr14R-1	E-chr7R-1	RECOMBINANT	.BBBB------BBBB-------B-BB---AAAAA-AA-AA--AA.
6991_day0_with_selection	SRR33298395.349274	chr14R	E-chr14R-1	E-chr7R-1	RECOMBINANT	.BB--------BBBB-------A-AA---AAAAA-AA-AA--AA.
6991_day0_with_selection	SRR33298395.279078	chr14R	E-chr14R-1	E-chr7R-1	RECOMBINANT	.AA-A--AAAAAA-AA----BBBB------BBBBB----BBBBB.
6991_day0_with_selection	SRR33298395.1459324	chr14R	E-chr14R-1	E-chr7R-1	RECOMBINANT	.AA-A----AAAAAAA----A--A-------BBB.-----BBBB
6991_day0_with_selection	SRR33298395.632924	chr16L	E-chr16L-1	E-chr10L-1	RECOMBINANT	.AAA---AAAAAAAAA------AA-------ABB-BAA----A--AAA
6991_day0_with_selection	SRR33298395.1099939	chr16L	E-chr16L-1	E-chr10L-1	RECOMBINANT	.AAA---AAAAAAAAA------AA-------BBBBBB---BBBBBB.
6991_day0_with_selection	SRR33298395.517366	chr16R	E-chr16R-1	E-chr14L-4	RECOMBINANT	.-BB-------BB------------------AAA..
6991_day0_with_selection	SRR33298395.555288	chr16R	E-chr16R-1	E-chr13L-1	RECOMBINANT	.AAAA------------------BB------AA-B
6991_day0_with_selection	SRR33298395.117875	chr2L	E-chr2L-1	E-chr8R-1	single	.AAA----AA-AAA..--------------------..
6991_day0_with_selection	SRR33298395.202022	chr2L	E-chr2L-1	E-chr8R-1	single	.------------------------B--------BBB
6991_day0_with_selection	SRR33298395.736127	chr2L	E-chr2L-1	E-chr8R-1	RECOMBINANT	.AA----BB--B-----------------------.
6991_day0_with_selection	SRR33298395.1657397	chr5R	E-chr5R-1	E-chr10L-1	RECOMBINANT	.BBBBBB---BBBBBB-------AA-------AAAA--A--AA--A.
6991_day0_with_selection	SRR33298395.580888	chr5R	E-chr5R-1	E-chr10L-1	RECOMBINANT	.---AA-AA--BBBB-------BB------BBBBBB---BBBBBBB
6991_day0_with_selection	SRR33298395.939873	chr5R	E-chr5R-1	E-chr10L-1	RECOMBINANT	.---AB-AA--AAAA------A..------BBBBBB---BBBBBBB
6991_day0_with_selection	SRR33298395.319132	chr6L	E-chr6L-1	E-chr14L-4	RECOMBINANT	.----------BB------------------AAAA-..
6991_day0_with_selection	SRR33298395.1011445	chr6L	E-chr6L-1	E-chr14L-5	RECOMBINANT	.--AAA------------------BB--------BB-
6991_day0_with_selection	SRR33298395.807323	chr6L	E-chr6L-1	E-chr14L-5	RECOMBINANT	.-AAAA-A----------------B-BA-------
6991_day0_with_selection	SRR33298395.1707743	chr7R	E-chr7R-1	E-chr8R-1	RECOMBINANT	.-AA--------BB--------B-BB-----AAAA-.
6991_day0_with_selection	SRR33298395.1560587	chr8L	E-chr8L-1	E-chr9L-1	single	.BBBBBBB--BBBBBBBBB----BBBBBBBBBBBBBB----BBBBB.
6991_day0_with_selection	SRR33298395.1208889	chr8L	E-chr8L-1	E-chr2L-1	single	.AA-------------AAAA-BA-BA--------A-
6991_day0_with_selection	SRR33298395.779900	chr8R	E-chr8R-1	E-chr2L-1	single	.------------------------BBBBB-BB----BBB.
6991_day0_with_selection	SRR33298395.1543959	chr8R	E-chr8R-1	E-chr2L-1	RECOMBINANT	.------------------------BBBBB-A------AA
6991_day0_with_selection_repeat	SRR33298373.491903	chr10L	E-chr10L-1	E-chr16L-1	RECOMBINANT	.AAAAAA----BBBB-------BB------AAAA-AAAA--AAA.
6991_day0_with_selection_repeat	SRR33298373.545529	chr10L	E-chr10L-1	E-chr16L-1	RECOMBINANT	.AAA---AAAAAAAAA------BB-------BBBB-A-AAAAAA.
6991_day0_with_selection_repeat	SRR33298373.122658	chr10L	E-chr10L-1	E-chr14L-1	RECOMBINANT	.BBBBB-------AB-------AA------AAA-AAAAA--AAA.
6991_day0_with_selection_repeat	SRR33298373.896473	chr13L	E-chr13L-1	E-chr6L-1	single	.BBBB---B--BBBBBBB--------B--------BBB--.
6991_day0_with_selection_repeat	SRR33298373.1068481	chr13L	E-chr13L-1	E-chr6L-1	single	.BBB----BB--BBBBBB--------B--------BBBB-.
6991_day0_with_selection_repeat	SRR33298373.1520960	chr13L	E-chr13L-1	E-chr2L-1	RECOMBINANT	.BBB----B--BBBBBBB-------A----AA----AAA-.
6991_day0_with_selection_repeat	SRR33298373.107087	chr13L	E-chr13L-1	E-chr6L-1	single	.BBB----B--BBBBBBB--------------B--BBB--.
6991_day0_with_selection_repeat	SRR33298373.1079946	chr13L	E-chr13L-1	E-chr6L-1	single	.BBB---BBB-BBBBBBB--------------B--BBB--.
6991_day0_with_selection_repeat	SRR33298373.8939	chr13L	E-chr13L-1	E-chr2L-1	RECOMBINANT	.--AAA---AA-------------BBBBBB-BB----BBB.
6991_day0_with_selection_repeat	SRR33298373.46529	chr13L	E-chr13L-1	E-chr6L-1	single	.--BBB--B---------------BBBBBB-BB----BBB.
6991_day0_with_selection_repeat	SRR33298373.797552	chr13L	E-chr13L-1	E-chr6L-1	single	.--BBB--B---------------BBBBBB-BB----BBB
6991_day0_with_selection_repeat	SRR33298373.677153	chr13L	E-chr13L-1	E-chr8L-1	single	.B---------BBBBBBBBB-------------B.
6991_day0_with_selection_repeat	SRR33298373.897522	chr14R	E-chr14R-1	E-chr9L-1	RECOMBINANT	.------A-A---------------------ABBBB-----------.
6991_day0_with_selection_repeat	SRR33298373.1266643	chr14R	E-chr14R-1	E-chr14L-1	RECOMBINANT	.AA-A--AAAAAAAAA----AAAA-------BBBB-B--BBBBB.
6991_day0_with_selection_repeat	SRR33298373.942862	chr14R	E-chr14R-1	E-chr13L-1	RECOMBINANT	.BBBBB--B-BBBBB------BB-BBBBB-BAAAAA.
6991_day0_with_selection_repeat	SRR33298373.72733	chr16R	E-chr16R-1	E-chr14L-5	RECOMBINANT	B-AA------BB-------------------AAA.
6991_day0_with_selection_repeat	SRR33298373.284052	chr2L	E-chr2L-1	E-chr8R-1	single	.BBB----BB-BB-----------------------.
6991_day0_with_selection_repeat	SRR33298373.260098	chr5L	E-chr5L-1	E-chr10L-1	single	.A-B--B-B---BB-BB--BB----BB--BBBBBBBB-BB-BBB..
6991_day0_with_selection_repeat2	SRR33298384.498901	chr10L	E-chr10L-1	E-chr7R-1	RECOMBINANT	.AAA---AAAAAAAA-------AA-------BBBB-B-BBBBBB.
6991_day0_with_selection_repeat2	SRR33298384.151130	chr10L	E-chr10L-1	E-chr7R-1	RECOMBINANT	.BBBBBB--BBBBBB-------A-------AAAAAAA----AAA.
6991_day0_with_selection_repeat2	SRR33298384.185796	chr13L	E-chr13L-1	E-chr6L-1	single	.BBB----B--BBBBBBB--------B--------BBBA-.
6991_day0_with_selection_repeat2	SRR33298384.45869	chr13L	E-chr13L-1	E-chr6L-1	single	.BBB----B--BBBBBBB----------------BBBB-..
6991_day0_with_selection_repeat2	SRR33298384.220455	chr13L	E-chr13L-1	E-chr16R-1	RECOMBINANT	AAAAB------------------BBB------BB-.
6991_day0_with_selection_repeat2	SRR33298384.285744	chr14R	E-chr14R-1	E-chr6L-1	RECOMBINANT	.BBBBB-----BBBBBBBB---B----BBB-B-B--AAAA.
6991_day0_with_selection_repeat2	SRR33298384.129326	chr15R	E-chr15R-1	E-chr9L-1	RECOMBINANT	.AAAAA-----BB-BBB.--BBBB------BBBBBBB-BBBBBBBB.
6991_day0_with_selection_repeat2	SRR33298384.538094	chr16R	E-chr16R-1	E-chr13L-1	RECOMBINANT	.A-BB------BB------------------AAAA.
6991_day0_with_selection_repeat2	SRR33298384.248800	chr16R	E-chr16R-1	E-chr14L-5	RECOMBINANT	.AAAA------------------BB-------B--
6991_day0_with_selection_repeat2	SRR33298384.467718	chr2L	E-chr2L-1	E-chr8R-1	single	.AAA---AA--AAA....--------------------.
6991_day0_with_selection_repeat2	SRR33298384.313055	chr2L	E-chr2L-1	E-chr8R-1	single	.AA----AA--A-------------..-------.
7172_day0_with_selection	SRR33298432.177252	chr16R	E-chr16R-1	E-chr14L-3	RECOMBINANT	.B-B-------BB------------------AAAA.
7172_day0_with_selection	SRR33298432.315476	chr16R	E-chr16R-1	E-chr14L-3	single	.AAAA------------------A--------A-B
7172_day0_with_selection	SRR33298432.328531	chr5R	E-chr5R-1	E-chr13L-1	RECOMBINANT	.-BB----B---------------BBBBBB-AAAAAA
7172_day0_with_selection	SRR33298432.77931	chr6L	E-chr6L-1	E-chr14L-3	single	.-AAAA----------------AAB----------.
7302_day0_with_selection	SRR33298452.573441	chr10L	E-chr10L-1	E-chr14R-1	RECOMBINANT	.------AAA----AAA---AA--------BBBB---BB--BBB.
7302_day0_with_selection	SRR33298452.246202	chr14R	E-chr14R-1	E-chr14L-1	RECOMBINANT	.BBBBB--B-BBBBB---------A----AAAAAAA-AA---AA.
7302_day0_with_selection	SRR33298452.217955	chr14R	E-chr14R-1	E-chr14L-1	RECOMBINANT	.AA-A--A-AAAAAAA----BBBB------BBBBB-BB--BBBB.
7302_day0_with_selection	SRR33298452.59861	chr2L	E-chr2L-1	E-chr8R-1	single	.------------------------B--BB----BBB
7302_day0_with_selection	SRR33298452.485827	chr5R	E-chr5R-1	E-chr10L-1	RECOMBINANT	.---A--AA-AAAAA----------------ABBABAA---AA---A.
7302_day0_with_selection	SRR33298452.241882	chr5R	E-chr5R-1	E-chr14R-1	RECOMBINANT	.----AAAAA-AAA-B----BBBB------BBBB-B---BBBBB
7302_day0_with_selection	SRR33298452.485661	chr6L	E-chr6L-1	E-chr16L-1	RECOMBINANT	.BBB----BB-BBB----------BBBBBBBBBB-AAA--AA--.
7302_day0_with_selection	SRR33298452.419935	chr6L	E-chr6L-1	E-chr14R-1	RECOMBINANT	.AAA----BABBBBBBBBBBB----B---BBBBB----BBBBB.
7302_day0_with_selection	SRR33298452.427945	chr6L	E-chr6L-1	E-chr14L-5	mixed	.BB--------AAA-------BB--------AAA--.
7302_day0_with_selection	SRR33298452.400002	chr6L	E-chr6L-1	E-chr14L-5	RECOMBINANT	.BBB----BB-BBB-----------------AAAA-.
7302_day0_with_selection	SRR33298452.272227	chr6L	E-chr6L-1	E-chr14L-5	RECOMBINANT	.-AAAA-----------------BBB-BB------A
7302_day0_with_selection	SRR33298452.220014	chr6L	E-chr6L-1	E-chr8R-1	RECOMBINANT	.BB--------BB-------------AAAA-AAAA-.
7302_day0_with_selection	SRR33298452.400093	chr6L	E-chr6L-1	E-chr14L-5	RECOMBINANT	.-AAAA-----------------BB--B-----BB-
7302_day0_with_selection	SRR33298452.555243	chr8R	E-chr8R-1	E-chr2L-1	single	.BBB---BB--BBBBB-----------------------..
