sample	strain	chr_end	read_id	copy_index	n_copies	true_element	matched_element	matched_end	yp_start	yp_end	read_length	telo_side	true_len	matched_len
6991_day0_reference	6991	chr13L	SRR33298378.42439	1	1	E-chr13L-1	E-chr10L-1	chr10L	10350	17224	17358	end	5482	6869
6991_day0_reference	6991	chr13L	SRR33298378.265251	1	1	E-chr13L-1	E-chr2L-1	chr2L	10309	16312	16398	end	5482	5975
6991_day0_reference	6991	chr13L	SRR33298378.159765	1	1	E-chr13L-1	E-chr2L-1	chr2L	110	6092	16365	beginning	5482	5975
6991_day0_reference	6991	chr14R	SRR33298378.714719	1	1	E-chr14R-1	E-chr9L-1	chr9L	9234	16311	16417	end	6530	6870
6991_day0_reference	6991	chr14R	SRR33298378.9482	1	1	E-chr14R-1	E-chr9L-1	chr9L	9211	16042	16302	end	6530	6870
6991_day0_reference	6991	chr14R	SRR33298378.566178	1	1	E-chr14R-1	E-chr9L-1	chr9L	9051	15727	15886	end	6530	6870
6991_day0_reference	6991	chr14R	SRR33298378.240117	1	1	E-chr14R-1	E-chr5L-1	chr5L	9346	15905	16047	end	6530	6480
6991_day0_reference	6991	chr14R	SRR33298378.306956	1	1	E-chr14R-1	E-chr15R-1	chr15R	134	6780	15938	beginning	6530	6650
6991_day0_reference	6991	chr15R	SRR33298378.651427	1	1	E-chr15R-1	E-chr13L-1	chr13L	19204	24689	24901	end	6650	5482
6991_day0_reference	6991	chr16L	SRR33298378.290053	1	1	E-chr16L-1	E-chr10L-1	chr10L	19131	26245	26442	end	6653	6869
6991_day0_reference	6991	chr16L	SRR33298378.305547	1	1	E-chr16L-1	E-chr5L-1	chr5L	19298	25829	25943	end	6653	6480
6991_day0_reference	6991	chr16R	SRR33298378.400808	1	1	E-chr16R-1	E-chr14L-5	chr14L	6340	11519	11675	end	5302	5485
6991_day0_reference	6991	chr2L	SRR33298378.69401	1	1	E-chr2L-1	E-chr14L-5	chr14L	188	5767	15548	beginning	5975	5485
6991_day0_reference	6991	chr2L	SRR33298378.722027	1	1	E-chr2L-1	E-chr8R-1	chr8R	9784	15259	15419	end	5975	5469
6991_day0_reference	6991	chr2L	SRR33298378.427420	1	1	E-chr2L-1	E-chr8R-1	chr8R	120	5585	15364	beginning	5975	5469
6991_day0_reference	6991	chr5L	SRR33298378.334381	1	1	E-chr5L-1	E-chr5R-1	chr5R	181	6533	12325	beginning	6480	6693
6991_day0_reference	6991	chr5L	SRR33298378.381146	1	1	E-chr5L-1	E-chr12R-1	chr12R	143	6455	12273	beginning	6480	6483
6991_day0_reference	6991	chr6L	SRR33298378.151924	1	1	E-chr6L-1	E-chr14L-5	chr14L	192	5652	23838	beginning	5975	5485
6991_day0_reference	6991	chr6L	SRR33298378.95349	1	1	E-chr6L-1	E-chr13L-1	chr13L	18173	23632	23792	end	5975	5482
6991_day0_reference	6991	chr6L	SRR33298378.180346	1	1	E-chr6L-1	E-chr14L-5	chr14L	18198	23643	23774	end	5975	5485
6991_day0_reference	6991	chr6L	SRR33298378.296817	1	1	E-chr6L-1	E-chr14L-5	chr14L	105	5569	23738	beginning	5975	5485
6991_day0_reference	6991	chr8L	SRR33298378.142793	1	1	E-chr8L-1	E-chr2L-1	chr2L	142	5693	11487	beginning	5058	5975
6991_day0_reference	6991	chr8R	SRR33298378.56289	1	1	E-chr8R-1	E-chr2L-1	chr2L	35213	41202	41281	end	5469	5975
6991_day0_reference_promethion	6991	chr13L	SRR33298377.260642	1	1	E-chr13L-1	E-chr6L-1	chr6L	199	6163	16495	beginning	5483	5975
6991_day0_reference_promethion	6991	chr13L	SRR33298377.267122	1	1	E-chr13L-1	E-chr2L-1	chr2L	162	6158	16422	beginning	5483	5975
6991_day0_reference_promethion	6991	chr13L	SRR33298377.272313	1	1	E-chr13L-1	E-chr6L-1	chr6L	10312	16278	16414	end	5483	5975
6991_day0_reference_promethion	6991	chr13L	SRR33298377.125819	1	1	E-chr13L-1	E-chr2L-1	chr2L	10300	16265	16408	end	5483	5975
6991_day0_reference_promethion	6991	chr14R	SRR33298377.726683	1	1	E-chr14R-1	E-chr9L-1	chr9L	9210	15799	15917	end	6530	6870
6991_day0_reference_promethion	6991	chr14R	SRR33298377.93825	1	1	E-chr14R-1	E-chr2L-1	chr2L	6418	12382	12497	end	6530	5975
6991_day0_reference_promethion	6991	chr16R	SRR33298377.644709	1	1	E-chr16R-1	E-chr13L-1	chr13L	195	5378	11736	beginning	5302	5483
6991_day0_reference_promethion	6991	chr16R	SRR33298377.534605	1	1	E-chr16R-1	E-chr13L-1	chr13L	6351	11527	11702	end	5302	5483
6991_day0_reference_promethion	6991	chr2L	SRR33298377.541858	1	1	E-chr2L-1	E-chr8R-1	chr8R	9744	15272	15385	end	5975	5469
6991_day0_reference_promethion	6991	chr5R	SRR33298377.75463	1	1	E-chr5R-1	E-chr9L-1	chr9L	7278	14117	14277	end	6693	6870
6991_day0_reference_promethion	6991	chr8L	SRR33298377.763070	1	1	E-chr8L-1	E-chr13L-1	chr13L	229	5257	11049	beginning	5058	5483
6991_day0_reference_promethion	6991	chr8R	SRR33298377.221175	1	1	E-chr8R-1	E-chr14L-5	chr14L	35255	40707	40813	end	5469	5484
6991_day0_with_selection	6991	chr10L	SRR33298395.1154314	1	1	E-chr10L-1	E-chr16L-1	chr16L	249	6856	25652	beginning	6869	6653
6991_day0_with_selection	6991	chr10L	SRR33298395.850311	1	1	E-chr10L-1	E-chr16L-1	chr16L	236	6821	25688	beginning	6869	6653
6991_day0_with_selection	6991	chr10L	SRR33298395.1509441	1	1	E-chr10L-1	E-chr7R-1	chr7R	18883	25479	25591	end	6869	6654
6991_day0_with_selection	6991	chr10L	SRR33298395.1158890	1	1	E-chr10L-1	E-chr13L-1	chr13L	109	5536	24418	beginning	6869	5483
6991_day0_with_selection	6991	chr10L	SRR33298395.1286062	1	1	E-chr10L-1	E-chr5R-1	chr5R	16214	21037	21096	end	6869	6692
6991_day0_with_selection	6991	chr12L	SRR33298395.790631	1	1	E-chr12L-1	E-chr2L-1	chr2L	5937	11908	12000	end	5190	5975
6991_day0_with_selection	6991	chr12L	SRR33298395.198323	1	1	E-chr12L-1	E-chr8L-1	chr8L	5751	10803	11039	end	5190	5058
6991_day0_with_selection	6991	chr13L	SRR33298395.1185585	1	1	E-chr13L-1	E-chr7R-1	chr7R	175	6822	17314	beginning	5483	6654
6991_day0_with_selection	6991	chr13L	SRR33298395.1573029	1	1	E-chr13L-1	E-chr15R-1	chr15R	227	6873	15996	beginning	5483	6649
6991_day0_with_selection	6991	chr13L	SRR33298395.1020823	1	1	E-chr13L-1	E-chr16L-1	chr16L	8608	15240	15465	end	5483	6653
6991_day0_with_selection	6991	chr13L	SRR33298395.1472813	1	1	E-chr13L-1	E-chr14L-2	chr14L	10273	16899	17040	end	5483	6652
6991_day0_with_selection	6991	chr13L	SRR33298395.1438229	1	1	E-chr13L-1	E-chr2L-1	chr2L	281	6260	16520	beginning	5483	5975
6991_day0_with_selection	6991	chr13L	SRR33298395.1400154	1	1	E-chr13L-1	E-chr2L-1	chr2L	188	6175	16495	beginning	5483	5975
6991_day0_with_selection	6991	chr13L	SRR33298395.836889	1	1	E-chr13L-1	E-chr2L-1	chr2L	199	6180	16457	beginning	5483	5975
6991_day0_with_selection	6991	chr13L	SRR33298395.398286	1	1	E-chr13L-1	E-chr6L-1	chr6L	154	6126	16446	beginning	5483	5975
6991_day0_with_selection	6991	chr13L	SRR33298395.1088166	1	1	E-chr13L-1	E-chr6L-1	chr6L	10313	16272	16404	end	5483	5975
6991_day0_with_selection	6991	chr13L	SRR33298395.705953	1	1	E-chr13L-1	E-chr2L-1	chr2L	10268	16239	16400	end	5483	5975
6991_day0_with_selection	6991	chr13L	SRR33298395.1740335	1	1	E-chr13L-1	E-chr2L-1	chr2L	10308	16295	16371	end	5483	5975
6991_day0_with_selection	6991	chr13L	SRR33298395.931252	1	1	E-chr13L-1	E-chr2L-1	chr2L	10017	15993	16114	end	5483	5975
6991_day0_with_selection	6991	chr13L	SRR33298395.240085	1	1	E-chr13L-1	E-chr2L-1	chr2L	257	6006	16303	beginning	5483	5975
6991_day0_with_selection	6991	chr13L	SRR33298395.91673	1	1	E-chr13L-1	E-chr6L-1	chr6L	233	5988	15978	beginning	5483	5975
6991_day0_with_selection	6991	chr13L	SRR33298395.167741	1	1	E-chr13L-1	E-chr2L-1	chr2L	9956	15705	15906	end	5483	5975
6991_day0_with_selection	6991	chr13L	SRR33298395.30875	1	1	E-chr13L-1	E-chr8R-1	chr8R	10286	15723	15791	end	5483	5468
6991_day0_with_selection	6991	chr13L	SRR33298395.1334307	1	1	E-chr13L-1	E-chr6L-1	chr6L	147	4520	14557	beginning	5483	5975
6991_day0_with_selection	6991	chr13L	SRR33298395.634165	1	1	E-chr13L-1	E-chr5R-1	chr5R	10070	10400	11346	end	5483	6692
6991_day0_with_selection	6991	chr14L	SRR33298395.325275	1	5	E-chr14L-1	E-chr7R-1	chr7R	425	30870	46211	beginning	5720	6654
6991_day0_with_selection	6991	chr14L	SRR33298395.528253	1	5	E-chr14L-1	E-chr7R-1	chr7R	15317	45743	46193	end	5720	6654
6991_day0_with_selection	6991	chr14L	SRR33298395.1612775	1	5	E-chr14L-1	E-chr7R-1	chr7R	15328	45784	46143	end	5720	6654
6991_day0_with_selection	6991	chr14L	SRR33298395.1062822	1	5	E-chr14L-1	E-chr7R-1	chr7R	367	30829	46107	beginning	5720	6654
6991_day0_with_selection	6991	chr14L	SRR33298395.677200	1	5	E-chr14L-1	E-chr7R-1	chr7R	217	30761	46125	beginning	5720	6654
6991_day0_with_selection	6991	chr14L	SRR33298395.766619	1	5	E-chr14L-1	E-chr7R-1	chr7R	15321	45726	46077	end	5720	6654
6991_day0_with_selection	6991	chr14L	SRR33298395.1020947	1	5	E-chr14L-1	E-chr7R-1	chr7R	149	30727	46066	beginning	5720	6654
6991_day0_with_selection	6991	chr14L	SRR33298395.1837458	1	5	E-chr14L-1	E-chr7R-1	chr7R	15330	45742	46068	end	5720	6654
6991_day0_with_selection	6991	chr14L	SRR33298395.54408	1	5	E-chr14L-1	E-chr7R-1	chr7R	15393	45929	46038	end	5720	6654
6991_day0_with_selection	6991	chr14L	SRR33298395.1511669	1	5	E-chr14L-1	E-chr7R-1	chr7R	261	30719	46054	beginning	5720	6654
6991_day0_with_selection	6991	chr14L	SRR33298395.446747	1	5	E-chr14L-1	E-chr7R-1	chr7R	295	30723	46041	beginning	5720	6654
6991_day0_with_selection	6991	chr14L	SRR33298395.1594070	1	5	E-chr14L-1	E-chr7R-1	chr7R	242	30711	46032	beginning	5720	6654
6991_day0_with_selection	6991	chr14L	SRR33298395.123855	1	5	E-chr14L-1	E-chr7R-1	chr7R	276	30734	46035	beginning	5720	6654
6991_day0_with_selection	6991	chr14L	SRR33298395.1788836	1	5	E-chr14L-1	E-chr7R-1	chr7R	298	30718	45996	beginning	5720	6654
6991_day0_with_selection	6991	chr14L	SRR33298395.142127	1	5	E-chr14L-1	E-chr7R-1	chr7R	238	30681	46035	beginning	5720	6654
6991_day0_with_selection	6991	chr14L	SRR33298395.428780	1	5	E-chr14L-1	E-chr7R-1	chr7R	15388	45904	46055	end	5720	6654
6991_day0_with_selection	6991	chr14L	SRR33298395.816978	1	5	E-chr14L-1	E-chr7R-1	chr7R	248	30686	46026	beginning	5720	6654
6991_day0_with_selection	6991	chr14L	SRR33298395.1211427	1	5	E-chr14L-1	E-chr7R-1	chr7R	247	30678	46023	beginning	5720	6654
6991_day0_with_selection	6991	chr14L	SRR33298395.1167915	1	5	E-chr14L-1	E-chr7R-1	chr7R	223	30685	46020	beginning	5720	6654
6991_day0_with_selection	6991	chr14L	SRR33298395.988630	1	5	E-chr14L-1	E-chr7R-1	chr7R	243	30695	46024	beginning	5720	6654
6991_day0_with_selection	6991	chr14L	SRR33298395.1801793	1	5	E-chr14L-1	E-chr7R-1	chr7R	224	30693	46028	beginning	5720	6654
6991_day0_with_selection	6991	chr14L	SRR33298395.1029632	1	5	E-chr14L-1	E-chr7R-1	chr7R	15158	45593	45867	end	5720	6654
6991_day0_with_selection	6991	chr14L	SRR33298395.967435	1	5	E-chr14L-1	E-chr7R-1	chr7R	312	30688	46017	beginning	5720	6654
6991_day0_with_selection	6991	chr14L	SRR33298395.1150272	1	5	E-chr14L-1	E-chr7R-1	chr7R	294	30680	46016	beginning	5720	6654
6991_day0_with_selection	6991	chr14L	SRR33298395.607261	1	5	E-chr14L-1	E-chr16L-1	chr16L	15339	45832	46016	end	5720	6653
6991_day0_with_selection	6991	chr14L	SRR33298395.25789	1	5	E-chr14L-1	E-chr7R-1	chr7R	187	30666	46007	beginning	5720	6654
6991_day0_with_selection	6991	chr14L	SRR33298395.880061	1	5	E-chr14L-1	E-chr7R-1	chr7R	263	30675	45999	beginning	5720	6654
6991_day0_with_selection	6991	chr14L	SRR33298395.798433	1	5	E-chr14L-1	E-chr7R-1	chr7R	15312	45747	46006	end	5720	6654
6991_day0_with_selection	6991	chr14L	SRR33298395.1759651	1	5	E-chr14L-1	E-chr7R-1	chr7R	230	30686	46014	beginning	5720	6654
6991_day0_with_selection	6991	chr14L	SRR33298395.1610248	1	5	E-chr14L-1	E-chr7R-1	chr7R	199	30678	45997	beginning	5720	6654
6991_day0_with_selection	6991	chr14L	SRR33298395.610576	1	5	E-chr14L-1	E-chr7R-1	chr7R	13025	43459	43710	end	5720	6654
6991_day0_with_selection	6991	chr14L	SRR33298395.1142253	1	5	E-chr14L-1	E-chr7R-1	chr7R	265	30694	46002	beginning	5720	6654
6991_day0_with_selection	6991	chr14L	SRR33298395.1485400	1	5	E-chr14L-1	E-chr7R-1	chr7R	240	30673	46022	beginning	5720	6654
6991_day0_with_selection	6991	chr14L	SRR33298395.1313016	1	5	E-chr14L-1	E-chr7R-1	chr7R	234	30676	45995	beginning	5720	6654
6991_day0_with_selection	6991	chr14L	SRR33298395.443198	1	5	E-chr14L-1	E-chr7R-1	chr7R	200	30676	46002	beginning	5720	6654
6991_day0_with_selection	6991	chr14L	SRR33298395.476186	1	5	E-chr14L-1	E-chr7R-1	chr7R	213	30681	45987	beginning	5720	6654
6991_day0_with_selection	6991	chr14L	SRR33298395.637265	1	5	E-chr14L-1	E-chr7R-1	chr7R	262	30671	45993	beginning	5720	6654
6991_day0_with_selection	6991	chr14L	SRR33298395.1307086	1	5	E-chr14L-1	E-chr7R-1	chr7R	15326	45758	45992	end	5720	6654
6991_day0_with_selection	6991	chr14L	SRR33298395.728075	1	5	E-chr14L-1	E-chr7R-1	chr7R	232	30671	45996	beginning	5720	6654
6991_day0_with_selection	6991	chr14L	SRR33298395.308740	1	5	E-chr14L-1	E-chr7R-1	chr7R	229	30661	45992	beginning	5720	6654
6991_day0_with_selection	6991	chr14L	SRR33298395.331331	1	5	E-chr14L-1	E-chr7R-1	chr7R	210	30659	45991	beginning	5720	6654
6991_day0_with_selection	6991	chr14L	SRR33298395.551995	1	5	E-chr14L-1	E-chr7R-1	chr7R	15421	45860	46016	end	5720	6654
6991_day0_with_selection	6991	chr14L	SRR33298395.424223	1	5	E-chr14L-1	E-chr7R-1	chr7R	125	30646	45958	beginning	5720	6654
6991_day0_with_selection	6991	chr14L	SRR33298395.1170501	1	5	E-chr14L-1	E-chr7R-1	chr7R	192	30659	45981	beginning	5720	6654
6991_day0_with_selection	6991	chr14L	SRR33298395.776355	1	5	E-chr14L-1	E-chr7R-1	chr7R	13777	44186	44432	end	5720	6654
6991_day0_with_selection	6991	chr14L	SRR33298395.1224775	1	5	E-chr14L-1	E-chr7R-1	chr7R	187	30640	45974	beginning	5720	6654
6991_day0_with_selection	6991	chr14L	SRR33298395.316210	1	5	E-chr14L-1	E-chr7R-1	chr7R	204	30663	45983	beginning	5720	6654
6991_day0_with_selection	6991	chr14L	SRR33298395.1126272	1	5	E-chr14L-1	E-chr7R-1	chr7R	243	30663	45198	beginning	5720	6654
6991_day0_with_selection	6991	chr14L	SRR33298395.855063	1	5	E-chr14L-1	E-chr7R-1	chr7R	184	30661	45982	beginning	5720	6654
6991_day0_with_selection	6991	chr14L	SRR33298395.1341080	1	5	E-chr14L-1	E-chr7R-1	chr7R	12938	43380	43590	end	5720	6654
6991_day0_with_selection	6991	chr14L	SRR33298395.1234752	1	5	E-chr14L-1	E-chr7R-1	chr7R	204	30641	45977	beginning	5720	6654
6991_day0_with_selection	6991	chr14L	SRR33298395.491324	1	5	E-chr14L-1	E-chr7R-1	chr7R	201	30640	45971	beginning	5720	6654
6991_day0_with_selection	6991	chr14L	SRR33298395.1748780	1	5	E-chr14L-1	E-chr7R-1	chr7R	265	30658	45763	beginning	5720	6654
6991_day0_with_selection	6991	chr14L	SRR33298395.1651301	1	5	E-chr14L-1	E-chr7R-1	chr7R	186	30637	45968	beginning	5720	6654
6991_day0_with_selection	6991	chr14L	SRR33298395.1734548	1	5	E-chr14L-1	E-chr7R-1	chr7R	181	30631	45974	beginning	5720	6654
6991_day0_with_selection	6991	chr14L	SRR33298395.302182	1	5	E-chr14L-1	E-chr7R-1	chr7R	184	30675	45958	beginning	5720	6654
6991_day0_with_selection	6991	chr14L	SRR33298395.787630	1	5	E-chr14L-1	E-chr7R-1	chr7R	15336	45787	45970	end	5720	6654
6991_day0_with_selection	6991	chr14L	SRR33298395.632644	1	5	E-chr14L-1	E-chr7R-1	chr7R	15304	45734	45958	end	5720	6654
6991_day0_with_selection	6991	chr14L	SRR33298395.1253500	1	5	E-chr14L-1	E-chr7R-1	chr7R	203	30633	45970	beginning	5720	6654
6991_day0_with_selection	6991	chr14L	SRR33298395.1666601	1	5	E-chr14L-1	E-chr7R-1	chr7R	205	30636	45966	beginning	5720	6654
6991_day0_with_selection	6991	chr14L	SRR33298395.96483	1	5	E-chr14L-1	E-chr7R-1	chr7R	15319	45748	45964	end	5720	6654
6991_day0_with_selection	6991	chr14L	SRR33298395.1769709	1	5	E-chr14L-1	E-chr7R-1	chr7R	219	30664	45970	beginning	5720	6654
6991_day0_with_selection	6991	chr14L	SRR33298395.1160969	1	5	E-chr14L-1	E-chr7R-1	chr7R	223	30631	45950	beginning	5720	6654
6991_day0_with_selection	6991	chr14L	SRR33298395.1767319	1	5	E-chr14L-1	E-chr7R-1	chr7R	185	30640	45964	beginning	5720	6654
6991_day0_with_selection	6991	chr14L	SRR33298395.1411367	1	5	E-chr14L-1	E-chr7R-1	chr7R	152	30644	45966	beginning	5720	6654
6991_day0_with_selection	6991	chr14L	SRR33298395.1506260	1	5	E-chr14L-1	E-chr7R-1	chr7R	184	30640	45974	beginning	5720	6654
6991_day0_with_selection	6991	chr14L	SRR33298395.1320286	1	5	E-chr14L-1	E-chr7R-1	chr7R	201	30618	45944	beginning	5720	6654
6991_day0_with_selection	6991	chr14L	SRR33298395.607367	1	5	E-chr14L-1	E-chr7R-1	chr7R	15118	45522	45764	end	5720	6654
6991_day0_with_selection	6991	chr14L	SRR33298395.1748312	1	5	E-chr14L-1	E-chr7R-1	chr7R	149	30695	45983	beginning	5720	6654
6991_day0_with_selection	6991	chr14L	SRR33298395.1406507	1	5	E-chr14L-1	E-chr7R-1	chr7R	15329	45822	45969	end	5720	6654
6991_day0_with_selection	6991	chr14L	SRR33298395.920021	1	5	E-chr14L-1	E-chr7R-1	chr7R	217	30644	45944	beginning	5720	6654
6991_day0_with_selection	6991	chr14L	SRR33298395.672131	1	5	E-chr14L-1	E-chr7R-1	chr7R	15315	45763	45958	end	5720	6654
6991_day0_with_selection	6991	chr14L	SRR33298395.1437730	1	5	E-chr14L-1	E-chr7R-1	chr7R	204	30649	45954	beginning	5720	6654
6991_day0_with_selection	6991	chr14L	SRR33298395.1658920	1	5	E-chr14L-1	E-chr7R-1	chr7R	147	30624	45953	beginning	5720	6654
6991_day0_with_selection	6991	chr14L	SRR33298395.495125	1	5	E-chr14L-1	E-chr7R-1	chr7R	209	30640	45965	beginning	5720	6654
6991_day0_with_selection	6991	chr14L	SRR33298395.1537026	1	5	E-chr14L-1	E-chr7R-1	chr7R	166	30629	45964	beginning	5720	6654
6991_day0_with_selection	6991	chr14L	SRR33298395.1797464	1	5	E-chr14L-1	E-chr7R-1	chr7R	15323	45753	45957	end	5720	6654
6991_day0_with_selection	6991	chr14L	SRR33298395.1747448	1	5	E-chr14L-1	E-chr7R-1	chr7R	15333	45767	45962	end	5720	6654
6991_day0_with_selection	6991	chr14L	SRR33298395.655647	1	5	E-chr14L-1	E-chr7R-1	chr7R	15332	45754	45959	end	5720	6654
6991_day0_with_selection	6991	chr14L	SRR33298395.957933	1	5	E-chr14L-1	E-chr7R-1	chr7R	204	30628	45953	beginning	5720	6654
6991_day0_with_selection	6991	chr14L	SRR33298395.142464	1	5	E-chr14L-1	E-chr7R-1	chr7R	207	30662	43955	beginning	5720	6654
6991_day0_with_selection	6991	chr14L	SRR33298395.651359	1	5	E-chr14L-1	E-chr7R-1	chr7R	183	30636	45953	beginning	5720	6654
6991_day0_with_selection	6991	chr14L	SRR33298395.800183	1	5	E-chr14L-1	E-chr7R-1	chr7R	169	30622	44251	beginning	5720	6654
6991_day0_with_selection	6991	chr14L	SRR33298395.1664400	1	5	E-chr14L-1	E-chr7R-1	chr7R	246	30633	45959	beginning	5720	6654
6991_day0_with_selection	6991	chr14L	SRR33298395.302232	1	5	E-chr14L-1	E-chr7R-1	chr7R	189	30618	45942	beginning	5720	6654
6991_day0_with_selection	6991	chr14L	SRR33298395.1328439	1	5	E-chr14L-1	E-chr7R-1	chr7R	173	30644	45944	beginning	5720	6654
6991_day0_with_selection	6991	chr14L	SRR33298395.394125	1	5	E-chr14L-1	E-chr7R-1	chr7R	173	30629	45954	beginning	5720	6654
6991_day0_with_selection	6991	chr14L	SRR33298395.199971	1	5	E-chr14L-1	E-chr7R-1	chr7R	14488	44904	45082	end	5720	6654
6991_day0_with_selection	6991	chr14L	SRR33298395.245128	1	5	E-chr14L-1	E-chr7R-1	chr7R	13484	43947	44134	end	5720	6654
6991_day0_with_selection	6991	chr14L	SRR33298395.1082645	1	5	E-chr14L-1	E-chr7R-1	chr7R	15355	45789	45979	end	5720	6654
6991_day0_with_selection	6991	chr14L	SRR33298395.1000358	1	5	E-chr14L-1	E-chr7R-1	chr7R	222	30628	45941	beginning	5720	6654
6991_day0_with_selection	6991	chr14L	SRR33298395.1411373	1	5	E-chr14L-1	E-chr7R-1	chr7R	15338	45763	45961	end	5720	6654
6991_day0_with_selection	6991	chr14L	SRR33298395.1835348	1	5	E-chr14L-1	E-chr7R-1	chr7R	15328	45709	45951	end	5720	6654
6991_day0_with_selection	6991	chr14L	SRR33298395.261747	1	5	E-chr14L-1	E-chr7R-1	chr7R	169	30617	45954	beginning	5720	6654
6991_day0_with_selection	6991	chr14L	SRR33298395.975868	1	5	E-chr14L-1	E-chr7R-1	chr7R	208	30630	45958	beginning	5720	6654
6991_day0_with_selection	6991	chr14L	SRR33298395.1158786	1	5	E-chr14L-1	E-chr7R-1	chr7R	15305	45729	45938	end	5720	6654
6991_day0_with_selection	6991	chr14L	SRR33298395.1680078	1	5	E-chr14L-1	E-chr7R-1	chr7R	14416	44837	45017	end	5720	6654
6991_day0_with_selection	6991	chr14L	SRR33298395.316121	1	5	E-chr14L-1	E-chr7R-1	chr7R	185	30625	45954	beginning	5720	6654
6991_day0_with_selection	6991	chr14L	SRR33298395.48813	1	5	E-chr14L-1	E-chr7R-1	chr7R	153	30623	45956	beginning	5720	6654
6991_day0_with_selection	6991	chr14L	SRR33298395.118833	1	5	E-chr14L-1	E-chr7R-1	chr7R	198	30638	45948	beginning	5720	6654
6991_day0_with_selection	6991	chr14L	SRR33298395.1474819	1	5	E-chr14L-1	E-chr7R-1	chr7R	210	30631	45947	beginning	5720	6654
6991_day0_with_selection	6991	chr14L	SRR33298395.1595650	1	5	E-chr14L-1	E-chr7R-1	chr7R	177	30626	45943	beginning	5720	6654
6991_day0_with_selection	6991	chr14L	SRR33298395.251326	1	5	E-chr14L-1	E-chr7R-1	chr7R	163	30589	45338	beginning	5720	6654
