sample	strain	chr_end	read_id	copy_index	n_copies	true_element	matched_element	matched_end	yp_start	yp_end	read_length	telo_side
6991_day0_TeloTag	6991	chr12R	SRR33298460.290697	4	7	E-chr12R-4	E-chr14L-2	chr14L	150	43998	53350	beginning
6991_day0_TeloTag	6991	chr12R	SRR33298460.290697	6	7	E-chr12R-6	E-chr14L-2	chr14L	150	43998	53350	beginning
6991_day0_TeloTag	6991	chr12R	SRR33298460.99278	4	7	E-chr12R-4	E-chr14L-2	chr14L	119	44871	54558	beginning
6991_day0_TeloTag	6991	chr12R	SRR33298460.99278	7	7	E-chr12R-7	E-chr14L-2	chr14L	119	44871	54558	beginning
6991_day0_TeloTag	6991	chr12R	SRR33298460.458742	2	7	E-chr12R-2	E-chr14L-2	chr14L	176	43522	54007	beginning
6991_day0_TeloTag	6991	chr12R	SRR33298460.458742	3	7	E-chr12R-3	E-chr14L-2	chr14L	176	43522	54007	beginning
6991_day0_TeloTag	6991	chr12R	SRR33298460.458742	4	7	E-chr12R-4	E-chr14L-2	chr14L	176	43522	54007	beginning
6991_day0_TeloTag	6991	chr12R	SRR33298460.458742	5	7	E-chr12R-5	E-chr14L-2	chr14L	176	43522	54007	beginning
6991_day0_TeloTag	6991	chr12R	SRR33298460.458742	6	7	E-chr12R-6	E-chr14L-2	chr14L	176	43522	54007	beginning
6991_day0_TeloTag	6991	chr12R	SRR33298460.47104	2	7	E-chr12R-2	E-chr14L-2	chr14L	138	43458	53722	beginning
6991_day0_TeloTag	6991	chr12R	SRR33298460.47104	7	7	E-chr12R-7	E-chr14L-2	chr14L	138	43458	53722	beginning
6991_day0_TeloTag	6991	chr12R	SRR33298460.53749	2	7	E-chr12R-2	E-chr14L-2	chr14L	9197	53241	53523	end
6991_day0_TeloTag	6991	chr12R	SRR33298460.53749	3	7	E-chr12R-3	E-chr14L-2	chr14L	9197	53241	53523	end
6991_day0_TeloTag	6991	chr12R	SRR33298460.207005	3	7	E-chr12R-3	E-chr14L-2	chr14L	11006	53536	53681	end
6991_day0_TeloTag	6991	chr12R	SRR33298460.207005	5	7	E-chr12R-5	E-chr14L-2	chr14L	11006	53536	53681	end
6991_day0_TeloTag	6991	chr12R	SRR33298460.505566	2	7	E-chr12R-2	E-chr14L-2	chr14L	163	43258	51046	beginning
6991_day0_TeloTag	6991	chr12R	SRR33298460.505566	4	7	E-chr12R-4	E-chr14L-2	chr14L	163	43258	51046	beginning
6991_day0_TeloTag	6991	chr12R	SRR33298460.505566	5	7	E-chr12R-5	E-chr14L-2	chr14L	163	43258	51046	beginning
6991_day0_TeloTag	6991	chr12R	SRR33298460.505566	6	7	E-chr12R-6	E-chr14L-2	chr14L	163	43258	51046	beginning
6991_day0_TeloTag	6991	chr12R	SRR33298460.505566	7	7	E-chr12R-7	E-chr14L-2	chr14L	163	43258	51046	beginning
6991_day0_TeloTag	6991	chr12R	SRR33298460.36127	2	7	E-chr12R-2	E-chr14L-2	chr14L	10982	52550	52720	end
6991_day0_TeloTag	6991	chr12R	SRR33298460.36127	3	7	E-chr12R-3	E-chr15R-1	chr15R	10982	52550	52720	end
6991_day0_TeloTag	6991	chr12R	SRR33298460.36127	5	7	E-chr12R-5	E-chr14L-2	chr14L	10982	52550	52720	end
6991_day0_TeloTag	6991	chr12R	SRR33298460.36127	6	7	E-chr12R-6	E-chr14L-2	chr14L	10982	52550	52720	end
6991_day0_TeloTag	6991	chr12R	SRR33298460.81781	2	7	E-chr12R-2	E-chr14L-2	chr14L	229	40018	49941	beginning
6991_day0_TeloTag	6991	chr12R	SRR33298460.81781	4	7	E-chr12R-4	E-chr14L-2	chr14L	229	40018	49941	beginning
6991_day0_TeloTag	6991	chr12R	SRR33298460.81781	6	7	E-chr12R-6	E-chr14L-2	chr14L	229	40018	49941	beginning
6991_day0_TeloTag	6991	chr12R	SRR33298460.81781	7	7	E-chr12R-7	E-chr14L-2	chr14L	229	40018	49941	beginning
6991_day0_TeloTag	6991	chr12R	SRR33298460.50921	2	7	E-chr12R-2	E-chr14L-2	chr14L	10159	48152	48295	end
6991_day0_TeloTag	6991	chr12R	SRR33298460.50921	3	7	E-chr12R-3	E-chr14L-2	chr14L	10159	48152	48295	end
6991_day0_TeloTag	6991	chr12R	SRR33298460.50921	4	7	E-chr12R-4	E-chr14L-2	chr14L	10159	48152	48295	end
6991_day0_TeloTag	6991	chr12R	SRR33298460.50921	6	7	E-chr12R-6	E-chr14L-2	chr14L	10159	48152	48295	end
6991_day0_TeloTag	6991	chr12R	SRR33298460.50921	7	7	E-chr12R-7	E-chr14L-2	chr14L	10159	48152	48295	end
6991_day0_TeloTag	6991	chr12R	SRR33298460.531313	3	7	E-chr12R-3	E-chr14L-2	chr14L	150	36203	47221	beginning
6991_day0_TeloTag	6991	chr12R	SRR33298460.531313	4	7	E-chr12R-4	E-chr14L-2	chr14L	150	36203	47221	beginning
6991_day0_TeloTag	6991	chr12R	SRR33298460.531313	5	7	E-chr12R-5	E-chr14L-2	chr14L	150	36203	47221	beginning
6991_day0_TeloTag	6991	chr12R	SRR33298460.531313	6	7	E-chr12R-6	E-chr14L-2	chr14L	150	36203	47221	beginning
6991_day0_TeloTag	6991	chr12R	SRR33298460.531313	7	7	E-chr12R-7	E-chr14L-2	chr14L	150	36203	47221	beginning
6991_day0_TeloTag	6991	chr13L	SRR33298460.97658	1	1	E-chr13L-1	E-chr14L-4	chr14L	135	5606	15923	beginning
6991_day0_TeloTag	6991	chr13L	SRR33298460.150620	1	1	E-chr13L-1	E-chr8R-1	chr8R	261	5650	15662	beginning
6991_day0_TeloTag	6991	chr13L	SRR33298460.221784	1	1	E-chr13L-1	E-chr14L-5	chr14L	221	5700	15215	beginning
6991_day0_TeloTag	6991	chr13L	SRR33298460.236901	1	1	E-chr13L-1	E-chr14L-5	chr14L	9574	15042	15326	end
6991_day0_TeloTag	6991	chr14L	SRR33298460.370955	1	5	E-chr14L-1	E-chr7R-1	chr7R	15631	46035	46212	end
6991_day0_TeloTag	6991	chr14L	SRR33298460.370955	2	5	E-chr14L-2	E-chr12R-6	chr12R	15631	46035	46212	end
6991_day0_TeloTag	6991	chr14L	SRR33298460.171258	1	5	E-chr14L-1	E-chr7R-1	chr7R	285	30716	44283	beginning
6991_day0_TeloTag	6991	chr14L	SRR33298460.171258	2	5	E-chr14L-2	E-chr12R-6	chr12R	285	30716	44283	beginning
6991_day0_TeloTag	6991	chr14L	SRR33298460.132032	1	5	E-chr14L-1	E-chr7R-1	chr7R	239	30642	45982	beginning
6991_day0_TeloTag	6991	chr14L	SRR33298460.132032	2	5	E-chr14L-2	E-chr12R-6	chr12R	239	30642	45982	beginning
6991_day0_TeloTag	6991	chr14L	SRR33298460.314339	1	5	E-chr14L-1	E-chr7R-1	chr7R	219	30643	45979	beginning
6991_day0_TeloTag	6991	chr14L	SRR33298460.463133	2	5	E-chr14L-2	E-chr12R-6	chr12R	15320	45767	45977	end
6991_day0_TeloTag	6991	chr14L	SRR33298460.255355	2	5	E-chr14L-2	E-chr12R-6	chr12R	211	30634	45964	beginning
6991_day0_TeloTag	6991	chr14L	SRR33298460.285489	1	5	E-chr14L-1	E-chr7R-1	chr7R	214	30638	45962	beginning
6991_day0_TeloTag	6991	chr14L	SRR33298460.295159	2	5	E-chr14L-2	E-chr12R-6	chr12R	195	30640	45904	beginning
6991_day0_TeloTag	6991	chr14L	SRR33298460.490434	2	5	E-chr14L-2	E-chr12R-6	chr12R	15340	45767	45938	end
6991_day0_TeloTag	6991	chr14L	SRR33298460.110167	2	5	E-chr14L-2	E-chr12R-6	chr12R	15347	45804	45948	end
6991_day0_TeloTag	6991	chr14L	SRR33298460.40750	2	5	E-chr14L-2	E-chr12R-6	chr12R	130	30580	44378	beginning
6991_day0_TeloTag	6991	chr14L	SRR33298460.299978	2	5	E-chr14L-2	E-chr12R-6	chr12R	203	30632	45908	beginning
6991_day0_TeloTag	6991	chr14L	SRR33298460.190340	2	5	E-chr14L-2	E-chr12R-6	chr12R	15288	45688	45895	end
6991_day0_TeloTag	6991	chr14L	SRR33298460.360385	2	5	E-chr14L-2	E-chr12R-6	chr12R	15334	45722	45901	end
6991_day0_TeloTag	6991	chr14L	SRR33298460.29436	1	5	E-chr14L-1	E-chr7R-1	chr7R	269	30546	45846	beginning
6991_day0_TeloTag	6991	chr14L	SRR33298460.29436	2	5	E-chr14L-2	E-chr12R-6	chr12R	269	30546	45846	beginning
6991_day0_TeloTag	6991	chr14L	SRR33298460.321986	1	5	E-chr14L-1	E-chr7R-1	chr7R	15326	45618	45838	end
6991_day0_TeloTag	6991	chr14L	SRR33298460.321986	2	5	E-chr14L-2	E-chr12R-6	chr12R	15326	45618	45838	end
6991_day0_TeloTag	6991	chr14L	SRR33298460.573374	2	5	E-chr14L-2	E-chr12R-6	chr12R	15340	45692	45840	end
6991_day0_TeloTag	6991	chr14L	SRR33298460.9360	1	5	E-chr14L-1	E-chr7R-1	chr7R	98	30548	43891	beginning
6991_day0_TeloTag	6991	chr14L	SRR33298460.519919	2	5	E-chr14L-2	E-chr12R-6	chr12R	239	30458	45780	beginning
6991_day0_TeloTag	6991	chr14L	SRR33298460.524063	1	5	E-chr14L-1	E-chr7R-1	chr7R	15330	45499	45602	end
6991_day0_TeloTag	6991	chr14L	SRR33298460.524063	2	5	E-chr14L-2	E-chr12R-6	chr12R	15330	45499	45602	end
6991_day0_TeloTag	6991	chr14L	SRR33298460.567846	1	5	E-chr14L-1	E-chr7R-1	chr7R	161	30331	45563	beginning
6991_day0_TeloTag	6991	chr14L	SRR33298460.567846	2	5	E-chr14L-2	E-chr12R-6	chr12R	161	30331	45563	beginning
6991_day0_TeloTag	6991	chr14L	SRR33298460.460782	2	5	E-chr14L-2	E-chr12R-6	chr12R	132	30433	45504	beginning
6991_day0_TeloTag	6991	chr14L	SRR33298460.90510	2	5	E-chr14L-2	E-chr12R-6	chr12R	15230	45281	45386	end
6991_day0_TeloTag	6991	chr14L	SRR33298460.422207	1	5	E-chr14L-1	E-chr7R-1	chr7R	235	29709	44295	beginning
6991_day0_TeloTag	6991	chr14L	SRR33298460.39673	2	5	E-chr14L-2	E-chr12R-6	chr12R	134	29106	44320	beginning
6991_day0_TeloTag	6991	chr14L	SRR33298460.261732	1	5	E-chr14L-1	E-chr7R-1	chr7R	15326	43669	43903	end
6991_day0_TeloTag	6991	chr14L	SRR33298460.76935	2	5	E-chr14L-2	E-chr12R-6	chr12R	13556	43355	43594	end
6991_day0_TeloTag	6991	chr14L	SRR33298460.239695	1	5	E-chr14L-1	E-chr7R-1	chr7R	240	28753	43308	beginning
6991_day0_TeloTag	6991	chr14L	SRR33298460.239695	2	5	E-chr14L-2	E-chr12R-6	chr12R	240	28753	43308	beginning
6991_day0_TeloTag	6991	chr14L	SRR33298460.338045	2	5	E-chr14L-2	E-chr12R-6	chr12R	160	27702	43040	beginning
6991_day0_TeloTag	6991	chr14L	SRR33298460.122793	2	5	E-chr14L-2	E-chr12R-6	chr12R	15355	42299	42436	end
6991_day0_TeloTag	6991	chr14L	SRR33298460.347671	1	5	E-chr14L-1	E-chr7R-1	chr7R	12256	42027	42261	end
6991_day0_TeloTag	6991	chr14L	SRR33298460.347671	2	5	E-chr14L-2	E-chr12R-6	chr12R	12256	42027	42261	end
6991_day0_TeloTag	6991	chr14L	SRR33298460.226296	2	5	E-chr14L-2	E-chr12R-6	chr12R	134	26889	42146	beginning
6991_day0_TeloTag	6991	chr14L	SRR33298460.474422	2	5	E-chr14L-2	E-chr12R-6	chr12R	13161	40610	40759	end
6991_day0_TeloTag	6991	chr14L	SRR33298460.238296	2	5	E-chr14L-2	E-chr12R-6	chr12R	13412	41011	41162	end
6991_day0_TeloTag	6991	chr14L	SRR33298460.166484	2	5	E-chr14L-2	E-chr12R-6	chr12R	232	25333	40395	beginning
6991_day0_TeloTag	6991	chr14L	SRR33298460.40345	1	5	E-chr14L-1	E-chr7R-1	chr7R	165	24907	40080	beginning
6991_day0_TeloTag	6991	chr14L	SRR33298460.360590	2	5	E-chr14L-2	E-chr12R-6	chr12R	14545	40017	40108	end
6991_day0_TeloTag	6991	chr14L	SRR33298460.430818	2	5	E-chr14L-2	E-chr12R-6	chr12R	12329	39326	39433	end
6991_day0_TeloTag	6991	chr14L	SRR33298460.28190	1	5	E-chr14L-1	E-chr7R-1	chr7R	129	25689	38852	beginning
6991_day0_TeloTag	6991	chr14L	SRR33298460.28190	2	5	E-chr14L-2	E-chr12R-6	chr12R	129	25689	38852	beginning
6991_day0_TeloTag	6991	chr14L	SRR33298460.281547	2	5	E-chr14L-2	E-chr12R-6	chr12R	153	23256	38510	beginning
6991_day0_TeloTag	6991	chr14L	SRR33298460.470291	1	5	E-chr14L-1	E-chr7R-1	chr7R	138	25137	35735	beginning
6991_day0_TeloTag	6991	chr14L	SRR33298460.347631	2	5	E-chr14L-2	E-chr12R-6	chr12R	179	22697	35659	beginning
6991_day0_TeloTag	6991	chr14L	SRR33298460.260043	2	5	E-chr14L-2	E-chr12R-6	chr12R	15124	37702	37867	end
6991_day0_TeloTag	6991	chr14L	SRR33298460.48479	2	5	E-chr14L-2	E-chr12R-6	chr12R	100	22718	36357	beginning
6991_day0_TeloTag	6991	chr14L	SRR33298460.38929	1	5	E-chr14L-1	E-chr7R-1	chr7R	12615	35126	35212	end
6991_day0_TeloTag	6991	chr14R	SRR33298460.274149	1	1	E-chr14R-1	E-chr14L-1	chr14L	177	6784	15968	beginning
6991_day0_TeloTag	6991	chr14R	SRR33298460.568401	1	1	E-chr14R-1	E-chr14L-1	chr14L	9132	15745	15899	end
6991_day0_TeloTag	6991	chr14R	SRR33298460.108378	1	1	E-chr14R-1	E-chr13L-1	chr13L	8436	13915	14079	end
6991_day0_TeloTag	6991	chr15R	SRR33298460.581653	1	1	E-chr15R-1	E-chr14L-2	chr14L	16075	21184	21518	end
6991_day0_TeloTag	6991	chr16L	SRR33298460.238100	1	1	E-chr16L-1	E-chr7R-1	chr7R	365	6996	26082	beginning
6991_day0_TeloTag	6991	chr16L	SRR33298460.65978	1	1	E-chr16L-1	E-chr7R-1	chr7R	286	6947	26075	beginning
6991_day0_TeloTag	6991	chr16L	SRR33298460.424356	1	1	E-chr16L-1	E-chr7R-1	chr7R	240	6904	26027	beginning
6991_day0_TeloTag	6991	chr16L	SRR33298460.584557	1	1	E-chr16L-1	E-chr14L-1	chr14L	272	6918	25550	beginning
6991_day0_TeloTag	6991	chr16L	SRR33298460.296796	1	1	E-chr16L-1	E-chr7R-1	chr7R	253	6908	24437	beginning
6991_day0_TeloTag	6991	chr16L	SRR33298460.447901	1	1	E-chr16L-1	E-chr7R-1	chr7R	236	6894	24810	beginning
6991_day0_TeloTag	6991	chr16L	SRR33298460.245931	1	1	E-chr16L-1	E-chr14L-1	chr14L	238	6903	23882	beginning
6991_day0_TeloTag	6991	chr16L	SRR33298460.447448	1	1	E-chr16L-1	E-chr7R-1	chr7R	258	6907	26002	beginning
6991_day0_TeloTag	6991	chr16L	SRR33298460.227541	1	1	E-chr16L-1	E-chr7R-1	chr7R	225	6890	25970	beginning
6991_day0_TeloTag	6991	chr16L	SRR33298460.342499	1	1	E-chr16L-1	E-chr7R-1	chr7R	255	6907	25981	beginning
6991_day0_TeloTag	6991	chr16L	SRR33298460.414912	1	1	E-chr16L-1	E-chr7R-1	chr7R	18915	25567	25787	end
6991_day0_TeloTag	6991	chr16L	SRR33298460.589528	1	1	E-chr16L-1	E-chr7R-1	chr7R	239	6879	25971	beginning
6991_day0_TeloTag	6991	chr16L	SRR33298460.397753	1	1	E-chr16L-1	E-chr7R-1	chr7R	341	6988	25971	beginning
6991_day0_TeloTag	6991	chr16L	SRR33298460.319606	1	1	E-chr16L-1	E-chr7R-1	chr7R	221	6874	25968	beginning
6991_day0_TeloTag	6991	chr16L	SRR33298460.298096	1	1	E-chr16L-1	E-chr7R-1	chr7R	19085	25718	25969	end
6991_day0_TeloTag	6991	chr16L	SRR33298460.289493	1	1	E-chr16L-1	E-chr7R-1	chr7R	212	6856	25566	beginning
6991_day0_TeloTag	6991	chr16L	SRR33298460.166185	1	1	E-chr16L-1	E-chr7R-1	chr7R	19086	25738	25967	end
6991_day0_TeloTag	6991	chr16L	SRR33298460.144284	1	1	E-chr16L-1	E-chr7R-1	chr7R	219	6858	25283	beginning
6991_day0_TeloTag	6991	chr16L	SRR33298460.170514	1	1	E-chr16L-1	E-chr7R-1	chr7R	19105	25754	25967	end
6991_day0_TeloTag	6991	chr16L	SRR33298460.379738	1	1	E-chr16L-1	E-chr7R-1	chr7R	184	6842	25960	beginning
6991_day0_TeloTag	6991	chr16L	SRR33298460.442806	1	1	E-chr16L-1	E-chr7R-1	chr7R	206	6854	25960	beginning
6991_day0_TeloTag	6991	chr16L	SRR33298460.187080	1	1	E-chr16L-1	E-chr7R-1	chr7R	212	6861	25958	beginning
6991_day0_TeloTag	6991	chr16L	SRR33298460.187219	1	1	E-chr16L-1	E-chr7R-1	chr7R	19086	25738	25936	end
6991_day0_TeloTag	6991	chr16L	SRR33298460.74495	1	1	E-chr16L-1	E-chr7R-1	chr7R	217	6862	25943	beginning
6991_day0_TeloTag	6991	chr16L	SRR33298460.288645	1	1	E-chr16L-1	E-chr7R-1	chr7R	19101	25757	25949	end
6991_day0_TeloTag	6991	chr16L	SRR33298460.299511	1	1	E-chr16L-1	E-chr7R-1	chr7R	190	6853	25322	beginning
6991_day0_TeloTag	6991	chr16L	SRR33298460.320526	1	1	E-chr16L-1	E-chr7R-1	chr7R	18491	25095	25342	end
6991_day0_TeloTag	6991	chr16L	SRR33298460.469048	1	1	E-chr16L-1	E-chr7R-1	chr7R	181	6830	24983	beginning
6991_day0_TeloTag	6991	chr16L	SRR33298460.438245	1	1	E-chr16L-1	E-chr7R-1	chr7R	184	6841	25931	beginning
6991_day0_TeloTag	6991	chr16L	SRR33298460.531914	1	1	E-chr16L-1	E-chr7R-1	chr7R	18667	25301	25512	end
6991_day0_TeloTag	6991	chr16L	SRR33298460.504396	1	1	E-chr16L-1	E-chr7R-1	chr7R	218	6852	25937	beginning
6991_day0_TeloTag	6991	chr16L	SRR33298460.326862	1	1	E-chr16L-1	E-chr7R-1	chr7R	16956	23609	23775	end
6991_day0_TeloTag	6991	chr16L	SRR33298460.400114	1	1	E-chr16L-1	E-chr7R-1	chr7R	170	6834	25941	beginning
6991_day0_TeloTag	6991	chr16L	SRR33298460.509377	1	1	E-chr16L-1	E-chr7R-1	chr7R	189	6832	25903	beginning
6991_day0_TeloTag	6991	chr16L	SRR33298460.433288	1	1	E-chr16L-1	E-chr7R-1	chr7R	192	6850	25935	beginning
6991_day0_TeloTag	6991	chr16L	SRR33298460.29775	1	1	E-chr16L-1	E-chr7R-1	chr7R	19094	25753	25929	end
6991_day0_TeloTag	6991	chr16L	SRR33298460.537783	1	1	E-chr16L-1	E-chr7R-1	chr7R	212	6877	25960	beginning
6991_day0_TeloTag	6991	chr16L	SRR33298460.302933	1	1	E-chr16L-1	E-chr7R-1	chr7R	220	6858	25915	beginning
6991_day0_TeloTag	6991	chr16L	SRR33298460.443721	1	1	E-chr16L-1	E-chr7R-1	chr7R	17508	24137	24354	end
6991_day0_TeloTag	6991	chr16L	SRR33298460.365419	1	1	E-chr16L-1	E-chr7R-1	chr7R	19101	25754	25935	end
6991_day0_TeloTag	6991	chr16L	SRR33298460.97487	1	1	E-chr16L-1	E-chr7R-1	chr7R	19083	25731	25921	end
6991_day0_TeloTag	6991	chr16L	SRR33298460.521517	1	1	E-chr16L-1	E-chr7R-1	chr7R	248	6885	25924	beginning
6991_day0_TeloTag	6991	chr16L	SRR33298460.64733	1	1	E-chr16L-1	E-chr7R-1	chr7R	19074	25706	25916	end
6991_day0_TeloTag	6991	chr16L	SRR33298460.216097	1	1	E-chr16L-1	E-chr7R-1	chr7R	19094	25741	25911	end
6991_day0_TeloTag	6991	chr16L	SRR33298460.150800	1	1	E-chr16L-1	E-chr7R-1	chr7R	156	6808	25597	beginning
6991_day0_TeloTag	6991	chr16L	SRR33298460.77171	1	1	E-chr16L-1	E-chr7R-1	chr7R	223	6864	23582	beginning
6991_day0_TeloTag	6991	chr16L	SRR33298460.375398	1	1	E-chr16L-1	E-chr7R-1	chr7R	214	6851	25887	beginning
6991_day0_TeloTag	6991	chr16L	SRR33298460.399988	1	1	E-chr16L-1	E-chr7R-1	chr7R	18007	24652	24810	end
6991_day0_TeloTag	6991	chr16L	SRR33298460.289559	1	1	E-chr16L-1	E-chr7R-1	chr7R	19118	25741	25910	end
6991_day0_TeloTag	6991	chr16L	SRR33298460.194888	1	1	E-chr16L-1	E-chr7R-1	chr7R	19081	25709	25908	end
6991_day0_TeloTag	6991	chr16L	SRR33298460.381416	1	1	E-chr16L-1	E-chr7R-1	chr7R	19112	25756	25905	end
6991_day0_TeloTag	6991	chr16L	SRR33298460.294940	1	1	E-chr16L-1	E-chr7R-1	chr7R	18186	24798	25102	end
6991_day0_TeloTag	6991	chr16L	SRR33298460.544207	1	1	E-chr16L-1	E-chr7R-1	chr7R	19082	25728	25907	end
6991_day0_TeloTag	6991	chr16L	SRR33298460.132821	1	1	E-chr16L-1	E-chr7R-1	chr7R	18405	25058	25185	end
6991_day0_TeloTag	6991	chr16L	SRR33298460.473455	1	1	E-chr16L-1	E-chr7R-1	chr7R	228	6811	25888	beginning
6991_day0_TeloTag	6991	chr16L	SRR33298460.192710	1	1	E-chr16L-1	E-chr7R-1	chr7R	137	6792	25884	beginning
6991_day0_TeloTag	6991	chr16L	SRR33298460.402310	1	1	E-chr16L-1	E-chr7R-1	chr7R	177	6823	25885	beginning
6991_day0_TeloTag	6991	chr16L	SRR33298460.277545	1	1	E-chr16L-1	E-chr7R-1	chr7R	249	6885	25890	beginning
6991_day0_TeloTag	6991	chr16L	SRR33298460.574131	1	1	E-chr16L-1	E-chr7R-1	chr7R	130	6787	25882	beginning
6991_day0_TeloTag	6991	chr16L	SRR33298460.570281	1	1	E-chr16L-1	E-chr7R-1	chr7R	19071	25680	25858	end
6991_day0_TeloTag	6991	chr16L	SRR33298460.215645	1	1	E-chr16L-1	E-chr7R-1	chr7R	139	6795	25887	beginning
6991_day0_TeloTag	6991	chr16L	SRR33298460.147106	1	1	E-chr16L-1	E-chr7R-1	chr7R	183	6826	25867	beginning
6991_day0_TeloTag	6991	chr16L	SRR33298460.393252	1	1	E-chr16L-1	E-chr7R-1	chr7R	19105	25747	25876	end
6991_day0_TeloTag	6991	chr16L	SRR33298460.205935	1	1	E-chr16L-1	E-chr7R-1	chr7R	19014	25679	25870	end
6991_day0_TeloTag	6991	chr16L	SRR33298460.283711	1	1	E-chr16L-1	E-chr7R-1	chr7R	178	6771	25860	beginning
6991_day0_TeloTag	6991	chr16L	SRR33298460.392587	1	1	E-chr16L-1	E-chr7R-1	chr7R	19114	25759	25890	end
6991_day0_TeloTag	6991	chr16L	SRR33298460.375915	1	1	E-chr16L-1	E-chr7R-1	chr7R	129	6789	25588	beginning
6991_day0_TeloTag	6991	chr16L	SRR33298460.570995	1	1	E-chr16L-1	E-chr7R-1	chr7R	19128	25778	25882	end
6991_day0_TeloTag	6991	chr16L	SRR33298460.362296	1	1	E-chr16L-1	E-chr7R-1	chr7R	129	6786	24095	beginning
6991_day0_TeloTag	6991	chr16L	SRR33298460.524300	1	1	E-chr16L-1	E-chr7R-1	chr7R	19083	25737	25871	end
6991_day0_TeloTag	6991	chr16L	SRR33298460.147518	1	1	E-chr16L-1	E-chr14L-1	chr14L	19108	25768	25875	end
6991_day0_TeloTag	6991	chr16L	SRR33298460.525321	1	1	E-chr16L-1	E-chr7R-1	chr7R	18178	24815	24940	end
6991_day0_TeloTag	6991	chr16L	SRR33298460.87359	1	1	E-chr16L-1	E-chr7R-1	chr7R	114	6757	25877	beginning
6991_day0_TeloTag	6991	chr16L	SRR33298460.460012	1	1	E-chr16L-1	E-chr7R-1	chr7R	19093	25735	25871	end
6991_day0_TeloTag	6991	chr16L	SRR33298460.351079	1	1	E-chr16L-1	E-chr7R-1	chr7R	150	6788	25859	beginning
6991_day0_TeloTag	6991	chr16L	SRR33298460.393269	1	1	E-chr16L-1	E-chr7R-1	chr7R	19089	25732	25862	end
