chr_end	feature	ftype	length_curated	length_ours	dlen	offset_curated	offset_ours	doffset	verdict	severity
chr13R	Telomere_Repeat	telomere	251			5814			expected_absent_in_ours	
chr14L	anchor	anchor	5040	5040.0	0.0	-5039	-5039.0	0.0	ok	
chr14L	space_between_anchor	spacer	9295	9297.0	2.0	1	1.0	0.0	ok	
chr14L	x_core_element	x_core	465	463.0	-2.0	9296	9298.0	2.0	ok	
chr14L	x_variable_element	x_variable	272	273.0	1.0	9761	9760.0	-1.0	ok	
chr14L	ITS_Y_Prime_0-1	its	263	264.0	1.0	10033	10033.0	0.0	ok	
chr14L	Y_Prime_1	y_prime	6657	5721.0	-936.0	10296	10297.0	1.0	length_diff	major
chr14L	ITS_Y_Prime_1-2	its	169	1943.0	1774.0	16951	16018.0	-933.0	length+offset_diff	major
chr14L	Y_Prime_2	y_prime	6655	6653.0	-2.0	17120	17961.0	841.0	offset_diff	major
chr14L	ITS_Y_Prime_2-3	its	172	172.0	0.0	23773	24614.0	841.0	offset_diff	major
chr14L	Y_Prime_3	y_prime	5488	5486.0	-2.0	23945	24786.0	841.0	offset_diff	major
chr14L	ITS_Y_Prime_3-4	its	175	175.0	0.0	29431	30272.0	841.0	offset_diff	major
chr14L	Y_Prime_4	y_prime	5488	5486.0	-2.0	29606	30447.0	841.0	offset_diff	major
chr14L	ITS_Y_Prime_4-5	its	175	175.0	0.0	35092	35933.0	841.0	offset_diff	major
chr14L	Y_Prime_5	y_prime	5488	5485.0	-3.0	35267	36108.0	841.0	offset_diff	major
chr14L	Telomere_Repeat	telomere	233			40755			expected_absent_in_ours	
chr14R	anchor	anchor	5040	5039.0	-1.0	-5039	-5038.0	1.0	ok	
chr14R	space_between_anchor	spacer	3255	3255.0	0.0	1	1.0	0.0	ok	
chr14R	x_core_element	x_core	477	477.0	0.0	3256	3256.0	0.0	ok	
chr14R	x_variable_element	x_variable	322	320.0	-2.0	3733	3732.0	-1.0	ok	
chr14R	ITS_Y_Prime_0-1	its	72	76.0	4.0	4055	4052.0	-3.0	ok	
chr14R	Y_Prime_1	y_prime	6532	6531.0	-1.0	4127	4128.0	1.0	ok	
chr14R	Telomere_Repeat	telomere	279			10659			expected_absent_in_ours	
chr15L	anchor	anchor	5040	5040.0	0.0	-5039	-5039.0	0.0	ok	
chr15L	space_between_anchor	spacer	838	840.0	2.0	1	1.0	0.0	ok	
chr15L	x_core_element	x_core	459	457.0	-2.0	839	841.0	2.0	ok	
chr15L	x_variable_element	x_variable	274	271.0	-3.0	1298	1297.0	-1.0	ok	
chr15L	Telomere_Repeat	telomere	268			1572			expected_absent_in_ours	
chr15R	anchor	anchor	5040	5040.0	0.0	-5039	-5039.0	0.0	ok	
chr15R	space_between_anchor	spacer	13474	13473.0	-1.0	1	1.0	0.0	ok	
chr15R	x_core_element	x_core	446	445.0	-1.0	13475	13474.0	-1.0	ok	
chr15R	x_variable_element	x_variable	252	254.0	2.0	13921	13918.0	-3.0	ok	
chr15R	Y_Prime_1	y_prime	6650	6650.0	0.0	14173	14170.0	-3.0	ok	
chr15R	Telomere_Repeat	telomere	190			20823			expected_absent_in_ours	
chr16L	anchor	anchor	5040	5040.0	0.0	-5039	-5039.0	0.0	ok	
chr16L	space_between_anchor	spacer	13375	13379.0	4.0	1	1.0	0.0	ok	
chr16L	x_core_element	x_core	446	445.0	-1.0	13376	13380.0	4.0	ok	
chr16L	x_variable_element	x_variable	164	165.0	1.0	13822	13824.0	2.0	ok	
chr16L	ITS_Y_Prime_0-1	its	6	11.0	5.0	13986	13989.0	3.0	ok	
chr16L	Y_Prime_1	y_prime	6737	6731.0	-6.0	13992	14000.0	8.0	ok	
chr16L	Telomere_Repeat	telomere	269			20729			expected_absent_in_ours	
chr16R	anchor	anchor	5040	5039.0	-1.0	-5039	-5038.0	1.0	ok	
chr16R	space_between_anchor	spacer	898	900.0	2.0	1	1.0	0.0	ok	
chr16R	x_core_element	x_core	376	376.0	0.0	899	901.0	2.0	ok	
chr16R	Y_Prime_1	y_prime	5303	5303.0	0.0	1311	1310.0	-1.0	ok	
chr16R	Telomere_Repeat	telomere	275			6614			expected_absent_in_ours	
