sample	read_id	chr_end	copy_index	n_copies	true_element	true_group	matched_element	matched_group	donor_end	same_end	telo_side	read_length	yp_start	yp_end
6991_day0_with_selection	SRR33298395.1801793	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	beginning	46028	224	30693
6991_day0_with_selection	SRR33298395.1029632	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	end	45867	15158	45593
6991_day0_with_selection	SRR33298395.967435	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	beginning	46017	312	30688
6991_day0_with_selection	SRR33298395.1150272	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	beginning	46016	294	30680
6991_day0_with_selection	SRR33298395.607261	chr14L	1	5	E-chr14L-1	G10	E-chr16L-1	G8	chr16L	False	end	46016	15339	45832
6991_day0_with_selection	SRR33298395.25789	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	beginning	46007	187	30666
6991_day0_with_selection	SRR33298395.880061	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	beginning	45999	263	30675
6991_day0_with_selection	SRR33298395.798433	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	end	46006	15312	45747
6991_day0_with_selection	SRR33298395.1759651	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	beginning	46014	230	30686
6991_day0_with_selection	SRR33298395.1610248	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	beginning	45997	199	30678
6991_day0_with_selection	SRR33298395.610576	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	end	43710	13025	43459
6991_day0_with_selection	SRR33298395.1142253	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	beginning	46002	265	30694
6991_day0_with_selection	SRR33298395.1485400	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	beginning	46022	240	30673
6991_day0_with_selection	SRR33298395.1313016	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	beginning	45995	234	30676
6991_day0_with_selection	SRR33298395.443198	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	beginning	46002	200	30676
6991_day0_with_selection	SRR33298395.476186	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	beginning	45987	213	30681
6991_day0_with_selection	SRR33298395.637265	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	beginning	45993	262	30671
6991_day0_with_selection	SRR33298395.1307086	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	end	45992	15326	45758
6991_day0_with_selection	SRR33298395.728075	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	beginning	45996	232	30671
6991_day0_with_selection	SRR33298395.308740	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	beginning	45992	229	30661
6991_day0_with_selection	SRR33298395.331331	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	beginning	45991	210	30659
6991_day0_with_selection	SRR33298395.551995	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	end	46016	15421	45860
6991_day0_with_selection	SRR33298395.424223	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	beginning	45958	125	30646
6991_day0_with_selection	SRR33298395.1170501	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	beginning	45981	192	30659
6991_day0_with_selection	SRR33298395.776355	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	end	44432	13777	44186
6991_day0_with_selection	SRR33298395.1224775	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	beginning	45974	187	30640
6991_day0_with_selection	SRR33298395.316210	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	beginning	45983	204	30663
6991_day0_with_selection	SRR33298395.1126272	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	beginning	45198	243	30663
6991_day0_with_selection	SRR33298395.855063	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	beginning	45982	184	30661
6991_day0_with_selection	SRR33298395.1341080	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	end	43590	12938	43380
6991_day0_with_selection	SRR33298395.1234752	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	beginning	45977	204	30641
6991_day0_with_selection	SRR33298395.491324	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	beginning	45971	201	30640
6991_day0_with_selection	SRR33298395.1748780	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	beginning	45763	265	30658
6991_day0_with_selection	SRR33298395.1651301	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	beginning	45968	186	30637
6991_day0_with_selection	SRR33298395.1734548	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	beginning	45974	181	30631
6991_day0_with_selection	SRR33298395.302182	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	beginning	45958	184	30675
6991_day0_with_selection	SRR33298395.787630	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	end	45970	15336	45787
6991_day0_with_selection	SRR33298395.632644	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	end	45958	15304	45734
6991_day0_with_selection	SRR33298395.1253500	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	beginning	45970	203	30633
6991_day0_with_selection	SRR33298395.1666601	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	beginning	45966	205	30636
6991_day0_with_selection	SRR33298395.96483	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	end	45964	15319	45748
6991_day0_with_selection	SRR33298395.1769709	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	beginning	45970	219	30664
6991_day0_with_selection	SRR33298395.1160969	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	beginning	45950	223	30631
6991_day0_with_selection	SRR33298395.1767319	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	beginning	45964	185	30640
6991_day0_with_selection	SRR33298395.1411367	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	beginning	45966	152	30644
6991_day0_with_selection	SRR33298395.1506260	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	beginning	45974	184	30640
6991_day0_with_selection	SRR33298395.1320286	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	beginning	45944	201	30618
6991_day0_with_selection	SRR33298395.607367	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	end	45764	15118	45522
6991_day0_with_selection	SRR33298395.1748312	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	beginning	45983	149	30695
6991_day0_with_selection	SRR33298395.1406507	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	end	45969	15329	45822
6991_day0_with_selection	SRR33298395.920021	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	beginning	45944	217	30644
6991_day0_with_selection	SRR33298395.672131	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	end	45958	15315	45763
6991_day0_with_selection	SRR33298395.1437730	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	beginning	45954	204	30649
6991_day0_with_selection	SRR33298395.1658920	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	beginning	45953	147	30624
6991_day0_with_selection	SRR33298395.495125	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	beginning	45965	209	30640
6991_day0_with_selection	SRR33298395.1537026	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	beginning	45964	166	30629
6991_day0_with_selection	SRR33298395.1797464	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	end	45957	15323	45753
6991_day0_with_selection	SRR33298395.1747448	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	end	45962	15333	45767
6991_day0_with_selection	SRR33298395.655647	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	end	45959	15332	45754
6991_day0_with_selection	SRR33298395.957933	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	beginning	45953	204	30628
6991_day0_with_selection	SRR33298395.142464	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	beginning	43955	207	30662
6991_day0_with_selection	SRR33298395.651359	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	beginning	45953	183	30636
6991_day0_with_selection	SRR33298395.800183	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	beginning	44251	169	30622
6991_day0_with_selection	SRR33298395.1664400	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	beginning	45959	246	30633
6991_day0_with_selection	SRR33298395.302232	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	beginning	45942	189	30618
6991_day0_with_selection	SRR33298395.1328439	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	beginning	45944	173	30644
6991_day0_with_selection	SRR33298395.394125	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	beginning	45954	173	30629
6991_day0_with_selection	SRR33298395.199971	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	end	45082	14488	44904
6991_day0_with_selection	SRR33298395.245128	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	end	44134	13484	43947
6991_day0_with_selection	SRR33298395.1082645	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	end	45979	15355	45789
6991_day0_with_selection	SRR33298395.1000358	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	beginning	45941	222	30628
6991_day0_with_selection	SRR33298395.1411373	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	end	45961	15338	45763
6991_day0_with_selection	SRR33298395.1835348	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	end	45951	15328	45709
6991_day0_with_selection	SRR33298395.261747	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	beginning	45954	169	30617
6991_day0_with_selection	SRR33298395.975868	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	beginning	45958	208	30630
6991_day0_with_selection	SRR33298395.1158786	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	end	45938	15305	45729
6991_day0_with_selection	SRR33298395.1680078	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	end	45017	14416	44837
6991_day0_with_selection	SRR33298395.316121	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	beginning	45954	185	30625
6991_day0_with_selection	SRR33298395.48813	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	beginning	45956	153	30623
6991_day0_with_selection	SRR33298395.118833	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	beginning	45948	198	30638
6991_day0_with_selection	SRR33298395.1474819	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	beginning	45947	210	30631
6991_day0_with_selection	SRR33298395.1595650	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	beginning	45943	177	30626
6991_day0_with_selection	SRR33298395.251326	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	beginning	45338	163	30589
6991_day0_with_selection	SRR33298395.1352573	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	beginning	45940	218	30636
6991_day0_with_selection	SRR33298395.1112954	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	beginning	45946	173	30628
6991_day0_with_selection	SRR33298395.68112	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	beginning	45952	175	30607
6991_day0_with_selection	SRR33298395.610353	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	beginning	43950	192	30622
6991_day0_with_selection	SRR33298395.164880	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	beginning	45939	196	30604
6991_day0_with_selection	SRR33298395.1808529	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	beginning	45935	222	30625
6991_day0_with_selection	SRR33298395.98478	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	beginning	45944	206	30605
6991_day0_with_selection	SRR33298395.814052	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	beginning	45928	175	30647
6991_day0_with_selection	SRR33298395.1352494	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	beginning	45936	188	30619
6991_day0_with_selection	SRR33298395.820222	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	end	45944	15334	45736
6991_day0_with_selection	SRR33298395.200567	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	end	45942	15336	45763
6991_day0_with_selection	SRR33298395.668719	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	beginning	45945	207	30610
6991_day0_with_selection	SRR33298395.1069798	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	end	45943	15363	45727
6991_day0_with_selection	SRR33298395.7053	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	beginning	45950	174	30603
6991_day0_with_selection	SRR33298395.358902	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	beginning	45932	231	30666
6991_day0_with_selection	SRR33298395.287202	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	beginning	45941	204	30619
6991_day0_with_selection	SRR33298395.1714684	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	beginning	45922	158	30603
6991_day0_with_selection	SRR33298395.1581631	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	end	45932	15331	45772
6991_day0_with_selection	SRR33298395.159025	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	end	45492	14875	45233
6991_day0_with_selection	SRR33298395.465043	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	beginning	45928	169	30596
6991_day0_with_selection	SRR33298395.1159002	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	beginning	45934	145	30603
6991_day0_with_selection	SRR33298395.278135	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	beginning	45934	213	30602
6991_day0_with_selection	SRR33298395.380551	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	end	45927	15313	45745
6991_day0_with_selection	SRR33298395.1252712	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	beginning	45959	149	30576
6991_day0_with_selection	SRR33298395.746766	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	end	45932	15324	45705
6991_day0_with_selection	SRR33298395.1112420	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	beginning	45923	178	30622
6991_day0_with_selection	SRR33298395.1428727	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	beginning	45928	263	30626
6991_day0_with_selection	SRR33298395.1180940	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	beginning	45848	172	30590
6991_day0_with_selection	SRR33298395.683264	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	beginning	45925	192	30610
6991_day0_with_selection	SRR33298395.872612	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	beginning	43571	178	30611
6991_day0_with_selection	SRR33298395.1464148	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	beginning	45920	181	30614
6991_day0_with_selection	SRR33298395.892421	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	end	45928	15333	45770
6991_day0_with_selection	SRR33298395.599420	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	end	45929	15333	45743
6991_day0_with_selection	SRR33298395.302464	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	beginning	45924	189	30627
6991_day0_with_selection	SRR33298395.736721	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	beginning	43533	232	30621
6991_day0_with_selection	SRR33298395.1559042	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	beginning	45929	205	30624
6991_day0_with_selection	SRR33298395.281002	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	end	45407	14818	45254
6991_day0_with_selection	SRR33298395.1644031	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	end	45928	15326	45690
6991_day0_with_selection	SRR33298395.388440	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	end	45924	15323	45692
6991_day0_with_selection	SRR33298395.399037	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	end	45930	15314	45767
6991_day0_with_selection	SRR33298395.1379808	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	end	45928	15318	45732
6991_day0_with_selection	SRR33298395.1297934	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	end	45917	15335	45721
6991_day0_with_selection	SRR33298395.1845659	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	beginning	45915	148	30607
6991_day0_with_selection	SRR33298395.172780	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	end	45925	15307	45738
6991_day0_with_selection	SRR33298395.1581459	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	beginning	45929	146	30582
6991_day0_with_selection	SRR33298395.198280	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	end	45914	15322	45749
6991_day0_with_selection	SRR33298395.1038524	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	beginning	45897	164	30599
6991_day0_with_selection	SRR33298395.458193	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	beginning	45919	229	30601
6991_day0_with_selection	SRR33298395.797200	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	beginning	45916	192	30631
6991_day0_with_selection	SRR33298395.211670	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	beginning	45910	165	30594
6991_day0_with_selection	SRR33298395.1163660	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	beginning	45911	189	30610
6991_day0_with_selection	SRR33298395.1096070	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	beginning	45917	160	30592
6991_day0_with_selection	SRR33298395.631218	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	beginning	45928	182	30588
6991_day0_with_selection	SRR33298395.605133	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	beginning	45920	162	30622
6991_day0_with_selection	SRR33298395.1708465	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	beginning	45920	189	30589
6991_day0_with_selection	SRR33298395.1069575	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	beginning	45917	152	30596
6991_day0_with_selection	SRR33298395.562725	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	end	45900	15318	45740
6991_day0_with_selection	SRR33298395.907250	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	beginning	45899	171	30590
6991_day0_with_selection	SRR33298395.245283	chr14L	1	5	E-chr14L-1	G10	E-chr16L-1	G8	chr16L	False	end	45908	15321	45726
6991_day0_with_selection	SRR33298395.1005653	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	beginning	43537	122	30585
6991_day0_with_selection	SRR33298395.545956	chr14L	1	5	E-chr14L-1	G10	E-chr7R-1	G8	chr7R	False	end	45913	15330	45758
