read_id	chr_end	expected_element	donor_element	junction_in_read	anchor_half_bp	telo_half_bp	anchorHalf_vs_expected	anchorHalf_vs_donor	teloHalf_vs_expected	teloHalf_vs_donor	note
SRR33298395.736127	chr2L	chr2L-1	chr8R-1	825	4776	825	92.84% (3856bp)	93.63% (4741bp)	95.83% (767bp)	93.96% (762bp)	pattern not clean
SRR33298395.1657397	chr5R	chr5R-1	chr10L-1	3033	4208	3000	98.64% (4115bp)	96.96% (4019bp)	94.85% (2040bp)	98.60% (2862bp)	anchor half -> expected, telo half -> donor
SRR33298395.580888	chr5R	chr5R-1	chr10L-1	8666	1575	5562	98.68% (1516bp)	95.28% (1421bp)	95.72% (3595bp)	98.94% (5465bp)	anchor half -> expected, telo half -> donor
SRR33298395.939873	chr5R	chr5R-1	chr10L-1	7898	825	6305	95.57% (767bp)	96.48% (568bp)	92.15% (4383bp)	94.14% (6280bp)	pattern not clean
SRR33298395.319132	chr6L	chr6L-1	chr14L-4	3375	2476	3375	99.11% (2247bp)	96.96% (2272bp)	96.81% (2039bp)	98.92% (3227bp)	anchor half -> expected, telo half -> donor
SRR33298395.1011445	chr6L	chr6L-1	chr14L-5	20162	2325	3465	93.64% (2186bp)	91.68% (2212bp)	92.47% (2057bp)	94.19% (3374bp)	anchor half -> expected, telo half -> donor
SRR33298395.807323	chr6L	chr6L-1	chr14L-5	20410	2475	3058	98.63% (2413bp)	96.60% (2438bp)	94.29% (1961bp)	95.10% (1960bp)	anchor half -> expected, telo half -> donor
SRR33298395.1707743	chr7R	chr7R-1	chr8R-1	1275	4549	1275	98.64% (2490bp)	97.90% (4334bp)	99.66% (1169bp)	98.89% (1170bp)	pattern not clean
SRR33298395.1560587	chr8L	chr8L-1	chr9L-1								no clean junction
SRR33298395.1208889	chr8L	chr8L-1	chr2L-1	8739	3150	2460	97.64% (2973bp)	96.32% (2987bp)	94.63% (2047bp)	92.91% (2314bp)	pattern not clean
SRR33298395.779900	chr8R	chr8R-1	chr2L-1								no clean junction
SRR33298395.1543959	chr8R	chr8R-1	chr2L-1	39741	4650	1625	98.21% (3857bp)	98.95% (4467bp)	97.50% (1518bp)	96.76% (1513bp)	pattern not clean
