strain	sample	read_id	chr_end	copy	expected_element	expected_group	donor_element	donor_group	anchorHalf_vs_expected	anchorHalf_vs_donor	anchor_margin	teloHalf_vs_expected	teloHalf_vs_donor	telo_margin	pair_longest_homology_bp	pair_homology_identity	evidence	explanation	telo_side
6991	6991_day0_with_selection	SRR33298395.30875	chr13L	1/1	chr13L-1	G2	chr8R-1	G3	94.27%	98.71%	-4.44	97.40%	97.27%	-0.13	5495	98.54%	FAILS	not supported: no half is better explained by the donor	end
6991	6991_day0_with_selection	SRR33298395.768603	chr14R	1/1	chr14R-1	G11	chr9L-1	G7	99.42%	98.35%	+1.07	95.72%	95.62%	-0.10	4903	97.88%	FAILS	not supported: no half is better explained by the donor	end
6991	6991_day0_with_selection	SRR33298395.632924	chr16L	1/1	chr16L-1	G8	chr10L-1	G7	99.45%	97.73%	+1.72	96.56%	92.47%	-4.09	5010	97.13%	FAILS	not supported: no half is better explained by the donor	end
6991	6991_day0_with_selection	SRR33298395.736127	chr2L	1/1	chr2L-1	G1	chr8R-1	G3	92.84%	93.63%	-0.79	95.83%	93.96%	-1.87	3855	99.14%	FAILS	not supported: no half is better explained by the donor	beginning
6991	6991_day0_with_selection	SRR33298395.939873	chr5R	1/1	chr5R-1	G9	chr10L-1	G7	95.57%	96.48%	-0.91	92.15%	94.14%	+1.99	4999	96.86%	FAILS	not supported: no half is better explained by the donor	end
6991	6991_day0_with_selection	SRR33298395.1707743	chr7R	1/1	chr7R-1	G8	chr8R-1	G3	98.64%	97.90%	+0.74	99.66%	98.89%	-0.77	3657	99.07%	FAILS	not supported: no half is better explained by the donor	beginning
6991	6991_day0_with_selection	SRR33298395.1208889	chr8L	1/1	chr8L-1	G5	chr2L-1	G1	97.64%	96.32%	+1.32	94.63%	92.91%	-1.72	3457	97.37%	FAILS	not supported: no half is better explained by the donor	end
6991	6991_day0_with_selection	SRR33298395.1543959	chr8R	1/1	chr8R-1	G3	chr2L-1	G1	98.21%	98.95%	-0.74	97.50%	96.76%	-0.74	3855	99.14%	FAILS	not supported: no half is better explained by the donor	end
6991	6991_day0_with_selection	SRR33298395.1286062	chr10L	1/1	chr10L-1	G7	chr5R-1	G9							4999	96.86%	no junction	no junction found; donor wins across the element or signal too weak	end
6991	6991_day0_with_selection	SRR33298395.790631	chr12L	1/1	chr12L-1	G4	chr2L-1	G1							3473	97.98%	no junction	no junction found; donor wins across the element or signal too weak	end
6991	6991_day0_with_selection	SRR33298395.198323	chr12L	1/1	chr12L-1	G4	chr8L-1	G5							5056	97.92%	no junction	no junction found; donor wins across the element or signal too weak	end
6991	6991_day0_with_selection	SRR33298395.1185585	chr13L	1/1	chr13L-1	G2	chr7R-1	G8							3656	99.59%	no junction	no junction found; donor wins across the element or signal too weak	beginning
6991	6991_day0_with_selection	SRR33298395.1573029	chr13L	1/1	chr13L-1	G2	chr15R-1	G8							3656	99.56%	no junction	no junction found; donor wins across the element or signal too weak	beginning
6991	6991_day0_with_selection	SRR33298395.1472813	chr13L	1/1	chr13L-1	G2	chr14L-2	G8							3656	99.64%	no junction	no junction found; donor wins across the element or signal too weak	end
6991	6991_day0_with_selection	SRR33298395.398286	chr13L	1/1	chr13L-1	G2	chr6L-1	G1							3884	97.27%	no junction	no junction found; donor wins across the element or signal too weak	beginning
6991	6991_day0_with_selection	SRR33298395.1088166	chr13L	1/1	chr13L-1	G2	chr6L-1	G1							3884	97.27%	no junction	no junction found; donor wins across the element or signal too weak	end
6991	6991_day0_with_selection	SRR33298395.1334307	chr13L	1/1	chr13L-1	G2	chr6L-1	G1							3884	97.27%	no junction	no junction found; donor wins across the element or signal too weak	beginning
6991	6991_day0_with_selection	SRR33298395.634165	chr13L	1/1	chr13L-1	G2	chr5R-1	G9							3656	99.59%	no junction	no junction found; donor wins across the element or signal too weak	end
6991	6991_day0_with_selection	SRR33298395.117875	chr2L	1/1	chr2L-1	G1	chr8R-1	G3							3855	99.14%	no junction	no junction found; donor wins across the element or signal too weak	beginning
6991	6991_day0_with_selection	SRR33298395.202022	chr2L	1/1	chr2L-1	G1	chr8R-1	G3							3855	99.14%	no junction	no junction found; donor wins across the element or signal too weak	end
6991	6991_day0_with_selection	SRR33298395.1560587	chr8L	1/1	chr8L-1	G5	chr9L-1	G7							2063	95.01%	no junction	no junction found; donor wins across the element or signal too weak	beginning
6991	6991_day0_with_selection	SRR33298395.779900	chr8R	1/1	chr8R-1	G3	chr2L-1	G1							3855	99.14%	no junction	no junction found; donor wins across the element or signal too weak	end
6991	6991_day0_with_selection	SRR33298395.325275	chr14L	1/5	chr14L-1	G10	chr7R-1	G8							5721	99.95%	reference defect	chr14L-1 is mis-assembled in this sample (5,720 bp vs 6,654) -- not recombination	beginning
6991	6991_day0_with_selection	SRR33298395.528253	chr14L	1/5	chr14L-1	G10	chr7R-1	G8							5721	99.95%	reference defect	chr14L-1 is mis-assembled in this sample (5,720 bp vs 6,654) -- not recombination	end
6991	6991_day0_with_selection	SRR33298395.1612775	chr14L	1/5	chr14L-1	G10	chr7R-1	G8							5721	99.95%	reference defect	chr14L-1 is mis-assembled in this sample (5,720 bp vs 6,654) -- not recombination	end
6991	6991_day0_with_selection	SRR33298395.1062822	chr14L	1/5	chr14L-1	G10	chr7R-1	G8							5721	99.95%	reference defect	chr14L-1 is mis-assembled in this sample (5,720 bp vs 6,654) -- not recombination	beginning
6991	6991_day0_with_selection	SRR33298395.677200	chr14L	1/5	chr14L-1	G10	chr7R-1	G8							5721	99.95%	reference defect	chr14L-1 is mis-assembled in this sample (5,720 bp vs 6,654) -- not recombination	beginning
6991	6991_day0_with_selection	SRR33298395.766619	chr14L	1/5	chr14L-1	G10	chr7R-1	G8							5721	99.95%	reference defect	chr14L-1 is mis-assembled in this sample (5,720 bp vs 6,654) -- not recombination	end
6991	6991_day0_with_selection	SRR33298395.1020947	chr14L	1/5	chr14L-1	G10	chr7R-1	G8							5721	99.95%	reference defect	chr14L-1 is mis-assembled in this sample (5,720 bp vs 6,654) -- not recombination	beginning
6991	6991_day0_with_selection	SRR33298395.1837458	chr14L	1/5	chr14L-1	G10	chr7R-1	G8							5721	99.95%	reference defect	chr14L-1 is mis-assembled in this sample (5,720 bp vs 6,654) -- not recombination	end
6991	6991_day0_with_selection	SRR33298395.54408	chr14L	1/5	chr14L-1	G10	chr7R-1	G8							5721	99.95%	reference defect	chr14L-1 is mis-assembled in this sample (5,720 bp vs 6,654) -- not recombination	end
6991	6991_day0_with_selection	SRR33298395.1511669	chr14L	1/5	chr14L-1	G10	chr7R-1	G8							5721	99.95%	reference defect	chr14L-1 is mis-assembled in this sample (5,720 bp vs 6,654) -- not recombination	beginning
6991	6991_day0_with_selection	SRR33298395.446747	chr14L	1/5	chr14L-1	G10	chr7R-1	G8							5721	99.95%	reference defect	chr14L-1 is mis-assembled in this sample (5,720 bp vs 6,654) -- not recombination	beginning
6991	6991_day0_with_selection	SRR33298395.1594070	chr14L	1/5	chr14L-1	G10	chr7R-1	G8							5721	99.95%	reference defect	chr14L-1 is mis-assembled in this sample (5,720 bp vs 6,654) -- not recombination	beginning
6991	6991_day0_with_selection	SRR33298395.123855	chr14L	1/5	chr14L-1	G10	chr7R-1	G8							5721	99.95%	reference defect	chr14L-1 is mis-assembled in this sample (5,720 bp vs 6,654) -- not recombination	beginning
6991	6991_day0_with_selection	SRR33298395.1788836	chr14L	1/5	chr14L-1	G10	chr7R-1	G8							5721	99.95%	reference defect	chr14L-1 is mis-assembled in this sample (5,720 bp vs 6,654) -- not recombination	beginning
6991	6991_day0_with_selection	SRR33298395.142127	chr14L	1/5	chr14L-1	G10	chr7R-1	G8							5721	99.95%	reference defect	chr14L-1 is mis-assembled in this sample (5,720 bp vs 6,654) -- not recombination	beginning
6991	6991_day0_with_selection	SRR33298395.428780	chr14L	1/5	chr14L-1	G10	chr7R-1	G8							5721	99.95%	reference defect	chr14L-1 is mis-assembled in this sample (5,720 bp vs 6,654) -- not recombination	end
6991	6991_day0_with_selection	SRR33298395.816978	chr14L	1/5	chr14L-1	G10	chr7R-1	G8							5721	99.95%	reference defect	chr14L-1 is mis-assembled in this sample (5,720 bp vs 6,654) -- not recombination	beginning
6991	6991_day0_with_selection	SRR33298395.1211427	chr14L	1/5	chr14L-1	G10	chr7R-1	G8							5721	99.95%	reference defect	chr14L-1 is mis-assembled in this sample (5,720 bp vs 6,654) -- not recombination	beginning
6991	6991_day0_with_selection	SRR33298395.1167915	chr14L	1/5	chr14L-1	G10	chr7R-1	G8							5721	99.95%	reference defect	chr14L-1 is mis-assembled in this sample (5,720 bp vs 6,654) -- not recombination	beginning
6991	6991_day0_with_selection	SRR33298395.988630	chr14L	1/5	chr14L-1	G10	chr7R-1	G8							5721	99.95%	reference defect	chr14L-1 is mis-assembled in this sample (5,720 bp vs 6,654) -- not recombination	beginning
6991	6991_day0_with_selection	SRR33298395.1801793	chr14L	1/5	chr14L-1	G10	chr7R-1	G8							5721	99.95%	reference defect	chr14L-1 is mis-assembled in this sample (5,720 bp vs 6,654) -- not recombination	beginning
6991	6991_day0_with_selection	SRR33298395.1029632	chr14L	1/5	chr14L-1	G10	chr7R-1	G8							5721	99.95%	reference defect	chr14L-1 is mis-assembled in this sample (5,720 bp vs 6,654) -- not recombination	end
6991	6991_day0_with_selection	SRR33298395.967435	chr14L	1/5	chr14L-1	G10	chr7R-1	G8							5721	99.95%	reference defect	chr14L-1 is mis-assembled in this sample (5,720 bp vs 6,654) -- not recombination	beginning
6991	6991_day0_with_selection	SRR33298395.1150272	chr14L	1/5	chr14L-1	G10	chr7R-1	G8							5721	99.95%	reference defect	chr14L-1 is mis-assembled in this sample (5,720 bp vs 6,654) -- not recombination	beginning
6991	6991_day0_with_selection	SRR33298395.607261	chr14L	1/5	chr14L-1	G10	chr16L-1	G8							5721	99.93%	reference defect	chr14L-1 is mis-assembled in this sample (5,720 bp vs 6,654) -- not recombination	end
6991	6991_day0_with_selection	SRR33298395.25789	chr14L	1/5	chr14L-1	G10	chr7R-1	G8							5721	99.95%	reference defect	chr14L-1 is mis-assembled in this sample (5,720 bp vs 6,654) -- not recombination	beginning
6991	6991_day0_with_selection	SRR33298395.880061	chr14L	1/5	chr14L-1	G10	chr7R-1	G8							5721	99.95%	reference defect	chr14L-1 is mis-assembled in this sample (5,720 bp vs 6,654) -- not recombination	beginning
6991	6991_day0_with_selection	SRR33298395.798433	chr14L	1/5	chr14L-1	G10	chr7R-1	G8							5721	99.95%	reference defect	chr14L-1 is mis-assembled in this sample (5,720 bp vs 6,654) -- not recombination	end
6991	6991_day0_with_selection	SRR33298395.1759651	chr14L	1/5	chr14L-1	G10	chr7R-1	G8							5721	99.95%	reference defect	chr14L-1 is mis-assembled in this sample (5,720 bp vs 6,654) -- not recombination	beginning
6991	6991_day0_with_selection	SRR33298395.1610248	chr14L	1/5	chr14L-1	G10	chr7R-1	G8							5721	99.95%	reference defect	chr14L-1 is mis-assembled in this sample (5,720 bp vs 6,654) -- not recombination	beginning
6991	6991_day0_with_selection	SRR33298395.610576	chr14L	1/5	chr14L-1	G10	chr7R-1	G8							5721	99.95%	reference defect	chr14L-1 is mis-assembled in this sample (5,720 bp vs 6,654) -- not recombination	end
6991	6991_day0_with_selection	SRR33298395.1142253	chr14L	1/5	chr14L-1	G10	chr7R-1	G8							5721	99.95%	reference defect	chr14L-1 is mis-assembled in this sample (5,720 bp vs 6,654) -- not recombination	beginning
6991	6991_day0_with_selection	SRR33298395.1485400	chr14L	1/5	chr14L-1	G10	chr7R-1	G8							5721	99.95%	reference defect	chr14L-1 is mis-assembled in this sample (5,720 bp vs 6,654) -- not recombination	beginning
6991	6991_day0_with_selection	SRR33298395.1313016	chr14L	1/5	chr14L-1	G10	chr7R-1	G8							5721	99.95%	reference defect	chr14L-1 is mis-assembled in this sample (5,720 bp vs 6,654) -- not recombination	beginning
6991	6991_day0_with_selection	SRR33298395.443198	chr14L	1/5	chr14L-1	G10	chr7R-1	G8							5721	99.95%	reference defect	chr14L-1 is mis-assembled in this sample (5,720 bp vs 6,654) -- not recombination	beginning
6991	6991_day0_with_selection	SRR33298395.476186	chr14L	1/5	chr14L-1	G10	chr7R-1	G8							5721	99.95%	reference defect	chr14L-1 is mis-assembled in this sample (5,720 bp vs 6,654) -- not recombination	beginning
6991	6991_day0_with_selection	SRR33298395.637265	chr14L	1/5	chr14L-1	G10	chr7R-1	G8							5721	99.95%	reference defect	chr14L-1 is mis-assembled in this sample (5,720 bp vs 6,654) -- not recombination	beginning
6991	6991_day0_with_selection	SRR33298395.1307086	chr14L	1/5	chr14L-1	G10	chr7R-1	G8							5721	99.95%	reference defect	chr14L-1 is mis-assembled in this sample (5,720 bp vs 6,654) -- not recombination	end
6991	6991_day0_with_selection	SRR33298395.728075	chr14L	1/5	chr14L-1	G10	chr7R-1	G8							5721	99.95%	reference defect	chr14L-1 is mis-assembled in this sample (5,720 bp vs 6,654) -- not recombination	beginning
6991	6991_day0_with_selection	SRR33298395.308740	chr14L	1/5	chr14L-1	G10	chr7R-1	G8							5721	99.95%	reference defect	chr14L-1 is mis-assembled in this sample (5,720 bp vs 6,654) -- not recombination	beginning
6991	6991_day0_with_selection	SRR33298395.331331	chr14L	1/5	chr14L-1	G10	chr7R-1	G8							5721	99.95%	reference defect	chr14L-1 is mis-assembled in this sample (5,720 bp vs 6,654) -- not recombination	beginning
6991	6991_day0_with_selection	SRR33298395.551995	chr14L	1/5	chr14L-1	G10	chr7R-1	G8							5721	99.95%	reference defect	chr14L-1 is mis-assembled in this sample (5,720 bp vs 6,654) -- not recombination	end
6991	6991_day0_with_selection	SRR33298395.424223	chr14L	1/5	chr14L-1	G10	chr7R-1	G8							5721	99.95%	reference defect	chr14L-1 is mis-assembled in this sample (5,720 bp vs 6,654) -- not recombination	beginning
6991	6991_day0_with_selection	SRR33298395.1170501	chr14L	1/5	chr14L-1	G10	chr7R-1	G8							5721	99.95%	reference defect	chr14L-1 is mis-assembled in this sample (5,720 bp vs 6,654) -- not recombination	beginning
6991	6991_day0_with_selection	SRR33298395.776355	chr14L	1/5	chr14L-1	G10	chr7R-1	G8							5721	99.95%	reference defect	chr14L-1 is mis-assembled in this sample (5,720 bp vs 6,654) -- not recombination	end
6991	6991_day0_with_selection	SRR33298395.1224775	chr14L	1/5	chr14L-1	G10	chr7R-1	G8							5721	99.95%	reference defect	chr14L-1 is mis-assembled in this sample (5,720 bp vs 6,654) -- not recombination	beginning
6991	6991_day0_with_selection	SRR33298395.316210	chr14L	1/5	chr14L-1	G10	chr7R-1	G8							5721	99.95%	reference defect	chr14L-1 is mis-assembled in this sample (5,720 bp vs 6,654) -- not recombination	beginning
6991	6991_day0_with_selection	SRR33298395.1126272	chr14L	1/5	chr14L-1	G10	chr7R-1	G8							5721	99.95%	reference defect	chr14L-1 is mis-assembled in this sample (5,720 bp vs 6,654) -- not recombination	beginning
6991	6991_day0_with_selection	SRR33298395.855063	chr14L	1/5	chr14L-1	G10	chr7R-1	G8							5721	99.95%	reference defect	chr14L-1 is mis-assembled in this sample (5,720 bp vs 6,654) -- not recombination	beginning
6991	6991_day0_with_selection	SRR33298395.1341080	chr14L	1/5	chr14L-1	G10	chr7R-1	G8							5721	99.95%	reference defect	chr14L-1 is mis-assembled in this sample (5,720 bp vs 6,654) -- not recombination	end
6991	6991_day0_with_selection	SRR33298395.1234752	chr14L	1/5	chr14L-1	G10	chr7R-1	G8							5721	99.95%	reference defect	chr14L-1 is mis-assembled in this sample (5,720 bp vs 6,654) -- not recombination	beginning
6991	6991_day0_with_selection	SRR33298395.491324	chr14L	1/5	chr14L-1	G10	chr7R-1	G8							5721	99.95%	reference defect	chr14L-1 is mis-assembled in this sample (5,720 bp vs 6,654) -- not recombination	beginning
6991	6991_day0_with_selection	SRR33298395.1748780	chr14L	1/5	chr14L-1	G10	chr7R-1	G8							5721	99.95%	reference defect	chr14L-1 is mis-assembled in this sample (5,720 bp vs 6,654) -- not recombination	beginning
6991	6991_day0_with_selection	SRR33298395.1651301	chr14L	1/5	chr14L-1	G10	chr7R-1	G8							5721	99.95%	reference defect	chr14L-1 is mis-assembled in this sample (5,720 bp vs 6,654) -- not recombination	beginning
6991	6991_day0_with_selection	SRR33298395.1734548	chr14L	1/5	chr14L-1	G10	chr7R-1	G8							5721	99.95%	reference defect	chr14L-1 is mis-assembled in this sample (5,720 bp vs 6,654) -- not recombination	beginning
6991	6991_day0_with_selection	SRR33298395.302182	chr14L	1/5	chr14L-1	G10	chr7R-1	G8							5721	99.95%	reference defect	chr14L-1 is mis-assembled in this sample (5,720 bp vs 6,654) -- not recombination	beginning
6991	6991_day0_with_selection	SRR33298395.787630	chr14L	1/5	chr14L-1	G10	chr7R-1	G8							5721	99.95%	reference defect	chr14L-1 is mis-assembled in this sample (5,720 bp vs 6,654) -- not recombination	end
6991	6991_day0_with_selection	SRR33298395.632644	chr14L	1/5	chr14L-1	G10	chr7R-1	G8							5721	99.95%	reference defect	chr14L-1 is mis-assembled in this sample (5,720 bp vs 6,654) -- not recombination	end
6991	6991_day0_with_selection	SRR33298395.1253500	chr14L	1/5	chr14L-1	G10	chr7R-1	G8							5721	99.95%	reference defect	chr14L-1 is mis-assembled in this sample (5,720 bp vs 6,654) -- not recombination	beginning
6991	6991_day0_with_selection	SRR33298395.1666601	chr14L	1/5	chr14L-1	G10	chr7R-1	G8							5721	99.95%	reference defect	chr14L-1 is mis-assembled in this sample (5,720 bp vs 6,654) -- not recombination	beginning
6991	6991_day0_with_selection	SRR33298395.96483	chr14L	1/5	chr14L-1	G10	chr7R-1	G8							5721	99.95%	reference defect	chr14L-1 is mis-assembled in this sample (5,720 bp vs 6,654) -- not recombination	end
6991	6991_day0_with_selection	SRR33298395.1769709	chr14L	1/5	chr14L-1	G10	chr7R-1	G8							5721	99.95%	reference defect	chr14L-1 is mis-assembled in this sample (5,720 bp vs 6,654) -- not recombination	beginning
6991	6991_day0_with_selection	SRR33298395.1160969	chr14L	1/5	chr14L-1	G10	chr7R-1	G8							5721	99.95%	reference defect	chr14L-1 is mis-assembled in this sample (5,720 bp vs 6,654) -- not recombination	beginning
6991	6991_day0_with_selection	SRR33298395.1767319	chr14L	1/5	chr14L-1	G10	chr7R-1	G8							5721	99.95%	reference defect	chr14L-1 is mis-assembled in this sample (5,720 bp vs 6,654) -- not recombination	beginning
6991	6991_day0_with_selection	SRR33298395.1411367	chr14L	1/5	chr14L-1	G10	chr7R-1	G8							5721	99.95%	reference defect	chr14L-1 is mis-assembled in this sample (5,720 bp vs 6,654) -- not recombination	beginning
6991	6991_day0_with_selection	SRR33298395.1506260	chr14L	1/5	chr14L-1	G10	chr7R-1	G8							5721	99.95%	reference defect	chr14L-1 is mis-assembled in this sample (5,720 bp vs 6,654) -- not recombination	beginning
6991	6991_day0_with_selection	SRR33298395.1320286	chr14L	1/5	chr14L-1	G10	chr7R-1	G8							5721	99.95%	reference defect	chr14L-1 is mis-assembled in this sample (5,720 bp vs 6,654) -- not recombination	beginning
6991	6991_day0_with_selection	SRR33298395.607367	chr14L	1/5	chr14L-1	G10	chr7R-1	G8							5721	99.95%	reference defect	chr14L-1 is mis-assembled in this sample (5,720 bp vs 6,654) -- not recombination	end
6991	6991_day0_with_selection	SRR33298395.1748312	chr14L	1/5	chr14L-1	G10	chr7R-1	G8							5721	99.95%	reference defect	chr14L-1 is mis-assembled in this sample (5,720 bp vs 6,654) -- not recombination	beginning
6991	6991_day0_with_selection	SRR33298395.1406507	chr14L	1/5	chr14L-1	G10	chr7R-1	G8							5721	99.95%	reference defect	chr14L-1 is mis-assembled in this sample (5,720 bp vs 6,654) -- not recombination	end
6991	6991_day0_with_selection	SRR33298395.920021	chr14L	1/5	chr14L-1	G10	chr7R-1	G8							5721	99.95%	reference defect	chr14L-1 is mis-assembled in this sample (5,720 bp vs 6,654) -- not recombination	beginning
6991	6991_day0_with_selection	SRR33298395.672131	chr14L	1/5	chr14L-1	G10	chr7R-1	G8							5721	99.95%	reference defect	chr14L-1 is mis-assembled in this sample (5,720 bp vs 6,654) -- not recombination	end
6991	6991_day0_with_selection	SRR33298395.1437730	chr14L	1/5	chr14L-1	G10	chr7R-1	G8							5721	99.95%	reference defect	chr14L-1 is mis-assembled in this sample (5,720 bp vs 6,654) -- not recombination	beginning
6991	6991_day0_with_selection	SRR33298395.1658920	chr14L	1/5	chr14L-1	G10	chr7R-1	G8							5721	99.95%	reference defect	chr14L-1 is mis-assembled in this sample (5,720 bp vs 6,654) -- not recombination	beginning
