chr_end	donor	unit	repeats	support	read_id	path	source
chr1L	chr4R[4-7]	ID2,ID2,ID2,ID2	1.2	moderate	SRR33298447.239039	chr4R[4-7]:ID2,ID2,ID2,ID2,ID2(circ x1.2 moderate | alt chr4R[1] + chr4R[4-7]) > chr12R[2-5]:ID2,ID2,ID2,ID2	chr4R
chr1R	chr13L[1-2]	ID7,ID2	2.5	strong	SRR33298447.148608	chr13L[1-2]:ID7,ID2,ID7,ID2,ID7(circ x2.5 strong)	chr13L
chr2L	chr4R[3-7]	ID2,ID2,ID2,ID2,ID2	1.2	moderate	SRR33298447.254460	chr4R[3-7]:ID2,ID2,ID2,ID2,ID2,ID2(circ x1.2 moderate | alt chr4R[5-7] + chr4R[3-5]) > chr14L[3-4]:ID3,ID3	chr14L
chr2L	chr13L[2-3]	ID2,ID7	1.5	moderate	SRR33298447.151907	chr13L[2-3]:ID2,ID7,ID2(circ x1.5 moderate | alt chr13L[2-3] + chr13L[2])	chr13L
chr2R	chr13L[1-3]	ID7,ID2,ID7	1.7	strong	SRR33298447.149253	chr13L[1-3]:ID7,ID2,ID7,ID7,ID2(circ x1.7 strong)	chr13L
chr2R	chr13L[1-2]	ID7,ID2	2.0	moderate	SRR33298447.129927	chr13L[1-2]:ID7,ID2,ID7,ID2(circ x2.0 moderate | alt chr13L[1-2] + chr13L[1-2])	chr13L
chr2R	chr13L[2-3]	ID7,ID2	2.0	moderate	SRR33298447.460402	chr13L[2-3]:ID7,ID2,ID7,ID2(circ x2.0 moderate | alt chr13L[1-3] + chr13L[2])	chr13L
chr2R	chr14L[3]	ID3	3.0	moderate	SRR33298447.474364	chr14L[3]:ID3,ID3,ID3(circ x3.0 moderate)	chr8L
chr3R	chr13L[1-2]	ID2,ID7	2.0	moderate	SRR33298447.9362	chr10L|chr14R|chr5L|chr9L:ID6 > chr13L[2-4]:ID2,ID7,ID2 > chr13L[1-2]:ID2,ID7,ID2,ID7(circ x2.0 moderate | alt chr13L[2-4] + chr13L[1])	chr13L
chr3R	chr13L[1-3]	ID7,ID2,ID7	2.0	strong	SRR33298447.180074	chr13L[1-3]:ID7,ID2,ID7,ID7,ID2,ID7(circ x2.0 strong)	chr13L
chr3R	chr12R|chr13L|chr14L|chr15R|chr4R	ID2	3.0	na	SRR33298447.342210	chr12L|chr16R|chr5R|chr8L|chr8R:ID1 > chr12R|chr13L|chr14L|chr15R|chr4R:ID2,ID2,ID2(circ x3.0) > chr12R|chr13L|chr14L|chr15R|chr4R:ID2	chr12R
chr4L	chr13L[2-3]	ID7,ID2	2.0	moderate	SRR33298447.434153	chr13L[2-3]:ID7,ID2,ID7,ID2(circ x2.0 moderate | alt chr13L[1] + chr13L[2-4])	chr13L
chr4R	self[1-5]	ID2,ID2,ID2,ID2,ID2	1.2	moderate	SRR33298447.204657	self[1-4]:ID2,ID2,ID2,ID2 > self[1-5]:ID2,ID2,ID2,ID2,ID2,ID2(circ x1.2 moderate | alt chr4R[1-4] + chr4R[4-5])	chr4R
chr5L	chr4R[2-5]	ID2,ID2,ID2,ID2	1.2	moderate	SRR33298447.330460	chr14L?[2]:ID2 > chr4R[2-5]:ID2,ID2,ID2,ID2,ID2(circ x1.2 moderate | alt chr4R[3-5] + chr4R[1-2])	chr4R
chr5L	chr12R|chr4R	ID2,ID2	1.5	na	SRR33298447.458491	chr12R|chr4R:ID2,ID2,ID2(circ x1.5)	chr12R
chr5L	chr14L[2-3]	ID3,ID2	1.5	moderate	SRR33298447.16244	chr14L[2-3]:ID3,ID2,ID3(circ x1.5 moderate | alt chr14L[3] + chr14L[2-3])	chr14L
chr5R	chr12R|chr4R	ID2,ID2	3.5	na	SRR33298447.315720	chr12R|chr4R:ID2,ID2,ID2,ID2,ID2,ID2,ID2(circ x3.5)	chr4R
chr5R	chr13L[1-2]	ID7,ID2	1.5	moderate	SRR33298447.318447	chr13L[1-2]:ID7,ID2,ID7(circ x1.5 moderate | alt chr13L[1-2] + chr13L[1]) > chr13L[1]:ID7 > chr13L[1]:ID7 > chr13L[1]:ID7 > chr13L[1]:ID7 > chr2L|chr6L:ID4	chr13L
chr5R	chr12R|chr13L|chr14L	ID2	3.0	na	SRR33298447.138438	chr12R|chr13L|chr14L:ID2,ID2,ID2(circ x3.0)	chr12R
chr7R	chr4R[1-4]	ID2,ID2,ID2,ID2	1.2	moderate	SRR33298447.280347	chr4R[1-4]:ID2,ID2,ID2,ID2,ID2(circ x1.2 moderate | alt chr4R[1-4] + chr4R[1])	chr4R
chr7R	chr14L[2-3]	ID2,ID3	1.5	moderate	SRR33298447.150844	chr14L[2-3]:ID2,ID3,ID2(circ x1.5 moderate | alt chr14L[2-3] + chr14L[2])	chr14L
chr8L	chr4R[3-4]	ID2,ID2	2.5	moderate	SRR33298447.404240	chr14L[3]:ID3 > chr4R[3-4]:ID2,ID2,ID2,ID2,ID2(circ x2.5 moderate | alt chr4R[4-5] + chr4R[5-7])	chr6L
chr8L	chr14L[3]	ID3	4.0	moderate	SRR33298447.501504	chr14L[3]:ID3,ID3,ID3,ID3(circ x4.0 moderate | alt chr14L[3-5] + chr14L[3])	chr14L
chr8R	chr12R[2-5]	ID2,ID2,ID2,ID2	1.8	strong	SRR33298447.247339	chr12R[2-5]:ID2,ID2,ID2,ID2,ID2,ID2,ID2(circ x1.8 strong)	chr4R
