read_id	chr_end	switch	telo_side	ids	kept	n_blocks	blocks	path	our_switch
174ee53e-cadb-4f69-a6bf-335ed9c86ad8	chr7L	N	beginning	ID1,ID2	0	1	chr12R	chr12R[1-2]:ID1,ID2	False
17625672-95dd-4870-9975-e3a252ff12bc	chr3R	N	beginning	ID7,ID8,ID7,ID8	0	1	chr13L	chr13L[1-4]:ID7,ID8,ID7,ID8	False
180826c3-19cf-4b4b-9119-bacbd9c2eebc	chr14L	N	beginning	ID5,ID2,ID3,ID3,ID3,ID3,ID2	5	1	chr14L	self[3]:ID3 > self[2]:ID2	False
19358fad-3d8e-42c1-94f9-024d9f34b244	chr5R	N	beginning	ID1,ID8,ID7,ID8,ID7,ID8	1	1	chr13L	chr13L[1-2]:ID8,ID7,ID8,ID7,ID8(circ x2.5 strong)	False
1a7a787b-ba2f-423a-ab43-182094eeb368	chr13L	N	beginning	ID7,ID8,ID7,ID8,ID7,ID8	4	1	chr13L	self[1-2]:ID7,ID8	False
1af7cb32-493e-4deb-aabe-deabfe3a231e	chr12R	N	beginning	ID1,ID2,ID2,ID2,ID2,ID2,ID2,ID2,ID2	6	1	chr12R	self[2]:ID2,ID2,ID2(circ x3.0 moderate)	False
1deb3eb7-f829-4a5e-b0cc-d77d26f07247	chr14R	N	end	ID6,ID3,ID3,ID3,ID3	1	1	chr14L	chr14L[3]:ID3,ID3,ID3,ID3(circ x4.0 moderate | alt chr14L[3-5] + chr14L[3])	False
20315363-0b9c-4d84-9050-d6ec9800dd97	chr2R	N	beginning	ID7,ID8,ID7,ID8	0	1	chr13L	chr13L[1-4]:ID7,ID8,ID7,ID8	False
22cafc17-419f-49f3-bf09-c98838ab00cb	chr12L	N	end	ID1,ID2,ID2	1	1	chr12R|chr14L|chr15R|chr4R	chr12R|chr14L|chr15R|chr4R:ID2 > chr12R|chr14L|chr15R|chr4R:ID2	False
2c067fcb-1b1d-45d1-a423-626837c6ae25	chr10R	N	end	ID7,ID8,ID7,ID8	0	1	chr13L	chr13L[1-4]:ID7,ID8,ID7,ID8	False
2c12d66b-ca28-4145-83f6-5545b6d2732e	chr5L	N	beginning	ID6,ID8,ID7	1	1	chr13L	chr13L[2-3]:ID8,ID7	False
32183604-a706-4ed1-bc5f-70dd6d1cb5a5	chr7R	N	end	ID5,ID7,ID8,ID7	1	1	chr13L	chr13L[1-2]:ID7,ID8,ID7(circ x1.5 moderate | alt chr13L[1-2] + chr13L[1])	False
3601a98e-2bcf-4771-85eb-df9d61f2bf9f	chr14R	N	end	ID6,ID6,ID6	1	1	chr14R	self[1]:ID6 > self[1]:ID6	False
36231450-6fae-4d2b-b0af-e80c197d3e0e	chr12L	N	beginning	ID1,ID2,ID2	1	1	chr4R	chr4R[1-2]:ID2,ID2	False
37d6f4f6-90b3-4b6b-98dd-22e109b674e3	chr15R	N	end	ID2,ID2,ID3,ID3,ID3	1	1	chr14L	chr14L[2-5]:ID2,ID3,ID3,ID3	False
38e1e12c-ec7c-4264-89bf-c812a8111225	chr16R	Y	beginning	ID3,ID7,ID8	0	2	chr14L > chr13L	chr14L[3]:ID3 > chr13L[1-2]:ID7,ID8	True
3ea1bd4f-14ef-4650-ae99-ee16e0f45f7c	chr14R	N	end	ID6,ID8,ID8,ID8	1	1	chr13L	chr13L[2]:ID8,ID8,ID8(circ x3.0 moderate)	False
4081ddef-46b3-4611-ba4e-189a63fe2e23	chr14L	N	beginning	ID5,ID2,ID5,ID5,ID2,ID5,ID5,ID2	2	1	chr14L	self[1]:ID5 > self[1-2]:ID5,ID2,ID5(circ x1.5 moderate | alt chr14L[1-2] + chr14L[1]) > self[1-2]:ID5,ID2	False
44cc9e63-041d-4002-af75-5b2a5a7a1f3e	chr4L	N	end	ID7,ID8,ID7,ID8,ID7	0	1	chr13L	chr13L[2-3]:ID7,ID8,ID7,ID8,ID7(circ x2.5 strong)	False
44d4a8e5-afd7-41e2-b203-afba9708c1b9	chr16R	N	beginning	ID1,ID2,ID2	1	1	chr12R|chr4R	chr12R|chr4R:ID2,ID2	False
458af5fd-38ed-46b7-8f16-442656c275a8	chr15R	Y	end	ID2,ID2,ID8,ID8	1	2	chr15R > chr13L	self[1]:ID2 > chr13L[2]:ID8 > chr13L[2]:ID8	True
48c16cfd-eaa9-4ffe-8dc2-34403657c68a	chr7R	N	beginning	ID5,ID2,ID3,ID3	1	1	chr14L	chr14L[2-4]:ID2,ID3,ID3	False
49744c86-4a2e-49ef-b1a8-b03833ad93f3	chr2L	N	beginning	ID4,ID2,ID2,ID2	1	1	chr4R	chr4R[5-7]:ID2,ID2,ID2	False
4bf3de54-d9df-424f-9bde-72a8a4b56b30	chr14L	N	beginning	ID5,ID2,ID3,ID3,ID3,ID3,ID3,ID3,ID3,ID3,ID3,ID3	5	1	chr14L	self[3]:ID3,ID3,ID3,ID3,ID3,ID3,ID3(circ x7.0 strong)	False
50aca7eb-cf02-4fda-a682-d5bfa0b5a255	chr14L	N	beginning	ID5,ID2,ID3,ID3,ID3,ID3,ID3,ID3	5	1	chr14L	self[3-5]:ID3,ID3,ID3	False
528c9417-9044-4f09-ab29-8cf7323787fc	chr14R	N		ID6,ID3,ID3	1	1	chr14L	chr14L[3-4]:ID3,ID3	False
54ff7e49-8e52-446c-be70-18f2727a386a	chr5R	N	end	ID1,ID8,ID8,ID8,ID8	1	1	chr13L	chr13L[2]:ID8,ID8,ID8,ID8(circ x4.0 moderate)	False
56b9ca64-183f-4051-a4f0-6a52d6b50d69	chr12L	N	beginning	ID1,ID2,ID2,ID2,ID2,ID2,ID2,ID2	1	1	chr4R	chr4R[3-4]:ID2,ID2,ID2,ID2,ID2,ID2,ID2(circ x3.5 moderate)	False
58abea61-134d-4061-8d2b-b2f436df4982	chr8R	N	beginning	ID1,ID7,ID7	1	1	chr13L	chr13L[1]:ID7 > chr13L[1]:ID7	False
5dc892a5-0485-409d-b54a-7e547542305a	chr7L	N	beginning	ID2,ID2,ID2,ID2	0	1	chr12R	chr12R[2-4]:ID2,ID2,ID2,ID2(circ x1.3 moderate | alt chr12R[2-4] + chr12R[2])	False
6005aa22-9d6a-4928-ab71-1494cbd781a7	chr3R	N	beginning	ID7,ID8,ID7,ID8	0	1	chr13L	chr13L[1-3]:ID7,ID8,ID7 > chr13L[2]:ID8	False
6412e72e-0d21-4c2f-94d9-298d3e860a51	chr6L	N	end	ID4,ID2,ID3,ID3	1	1	chr14L	chr14L[2-4]:ID2,ID3,ID3	False
65de6779-a6e6-4c1c-9b7d-6250e8963e6e	chr4L	N	end	ID7,ID8,ID7,ID8	0	1	chr13L	chr13L[1-4]:ID7,ID8,ID7,ID8	False
66d6e9d3-7a34-423c-9775-65da7686b9a8	chr8R	N	beginning	ID1,ID3,ID3	1	1	chr14L	chr14L[3-4]:ID3,ID3	False
6d347b8d-3355-462c-9a08-9acdd8b570cb	chr2L	N		ID4,ID7,ID8,ID7	1	1	chr13L	chr13L[1-3]:ID7,ID8,ID7	False
6d814aba-5848-4377-a8fc-526c56d2c7a4	chr16R	N	end	ID1,ID2,ID2	1	1	chr12R|chr4R	chr12R|chr4R:ID2,ID2	False
75436a99-70d2-4e7c-914c-0247837303bb	chr15R	N	beginning	ID2,ID2,ID2,ID2,ID2,ID2,ID2,ID2	1	1	chr12R	chr12R[2-6]:ID2,ID2,ID2,ID2,ID2,ID2,ID2(circ x1.4 strong)	False
7b3704a1-8d58-4878-9ad1-c68d642cc6fc	chr6L	N	beginning	ID4,ID3,ID3	1	1	chr14L	chr14L[3-4]:ID3,ID3	False
820639de-2ab2-40eb-b7d0-aab6c55e1e55	chr7R	N	beginning	ID5,ID8,ID8	1	1	chr13L	chr13L[2]:ID8 > chr13L[2]:ID8	False
82611a4c-6be0-4396-91c9-45e55642cf93	chr12L	N	beginning	ID1,ID2,ID2	1	1	chr4R	chr4R[1-2]:ID2,ID2	False
83bac257-e693-495f-93fd-7721018e5535	chr14L	N	end	ID5,ID2,ID3,ID3,ID3,ID3,ID2,ID3	5	1	chr14L	self[2-3]:ID3,ID2,ID3(circ x1.5 moderate | alt chr14L[3] + chr14L[2-3])	False
86960105-78c9-41c5-9fca-345f9a8a5416	chr13L	N	end	ID7,ID8,ID7,ID8,ID7,ID8	4	1	chr13L	self[1-2]:ID7,ID8	False
87201443-4b63-43d5-9952-59083c639a29	chr3R	N	beginning	ID7,ID8,ID7	0	1	chr13L	chr13L[1-3]:ID7,ID8,ID7	False
8b319ca2-216d-4984-a370-9f03fe4a73ce	chr12R	N	beginning	ID1,ID2,ID2,ID2,ID2,ID2,ID2,ID3,ID3	6	2	chr12R > chr14L	self[2]:ID2 > chr14L[3-4]:ID3,ID3	True
8f316dff-ab86-41e7-bcbc-8d43bf6e01a7	chr12R	N	beginning	ID1,ID2,ID2,ID2,ID2,ID2,ID2,ID2,ID2	6	1	chr12R	self[2-4]:ID2,ID2,ID2	False
92a0c140-0307-4747-8d92-facd03525694	chr14R	N	end	ID7,ID8,ID7	0	1	chr13L	chr13L[1-3]:ID7,ID8,ID7	False
94a1ca34-02e5-4fc7-a728-8f1553489327	chr2R	N	beginning	ID7,ID8,ID7,ID8,ID7	0	1	chr13L	chr13L[1-2]:ID7,ID8,ID7,ID8,ID7(circ x2.5 strong)	False
95ab7fc3-9b45-4737-b1e2-b4aced45c1e2	chr8R	N	beginning	ID1,ID3,ID3,ID3,ID3	1	1	chr14L	chr14L[3-4]:ID3,ID3,ID3,ID3(circ x2.0 moderate | alt chr14L[3-4] + chr14L[3-4])	False
9ca400e3-f0cd-41f1-9104-4f0760b5f823	chr16R	Y	end	ID3,ID7,ID8	0	2	chr14L > chr13L	chr14L[3]:ID3 > chr13L[1]:ID7 > chr13L[2]:ID8	True
a4e7e80a-08d5-4a3d-8fb9-14f76a80980d	chr4L	N	end	ID2,ID2	0	1	chr4R	chr4R[1-2]:ID2,ID2	False
a6fcec98-16b4-46f6-ab64-aa6c3c32991c	chr14L	N	end	ID5,ID2,ID3,ID3,ID3,ID3,ID3,ID3,ID3,ID3	5	1	chr14L	self[3]:ID3,ID3,ID3,ID3,ID3(circ x5.0 moderate | alt chr14L[3-5] + chr14L[3-4])	False
ab69a95f-77f1-45dc-b31e-e03f8001f3bd	chr2R	N	beginning	ID3,ID2,ID2,ID2,ID2	0	2	chr14L > chr12R	chr14L[3]:ID3 > chr12R[2-5]:ID2,ID2,ID2,ID2	True
b0bacb7b-d147-47b1-bee9-15ddf70d436e	chr12L	N	beginning	ID1,ID7,ID8	1	1	chr13L	chr13L[1-2]:ID7,ID8	False
b172c378-856f-4843-bdbe-a829af4b037e	chr7R	N	end	ID5,ID2,ID2	1	1	chr4R	chr4R[1-2]:ID2,ID2	False
bae0e3a7-7f64-42cc-8fdd-8c66c4cf6a48	chr15R	N	beginning	ID2,ID2,ID2,ID2	1	1	chr12R|chr4R	chr12R|chr4R:ID2,ID2,ID2	False
bcb74884-fc9c-4949-8e6e-0c75d39858c8	chr8L	N	beginning	ID1,ID5,ID2,ID3,ID3,ID3	1	1	chr14L	chr14L[1-5]:ID5,ID2,ID3,ID3,ID3	False
be9a1bd6-ea8d-45ce-a804-809fd9804947	chr5L	N	end	ID6,ID3,ID3	1	1	chr14L	chr14L[3-4]:ID3,ID3	False
c0a64a6e-ba50-4a03-bcc2-5a2b3603785e	chr11L	N	end	ID7,ID8	0	1	chr13L	chr13L[1]:ID7 > chr13L[2]:ID8	False
c3e6dbcc-4a84-4765-b775-4887c29158da	chr15R	N	end	ID2,ID2,ID2	1	1	chr12R|chr4R	chr12R|chr4R:ID2,ID2	False
c8e97366-0499-4057-97a7-9feebef6440c	chr2R	N	beginning	ID7,ID8,ID7,ID8	0	1	chr13L	chr13L[1-4]:ID7,ID8,ID7,ID8	False
c90681fe-cbfb-46cd-9590-1b7ee18b50ea	chr8L	N	end	ID8,ID7,ID8,ID7	0	1	chr13L	chr13L[1-2]:ID8,ID7,ID8,ID7(circ x2.0 moderate | alt chr13L[2-4] + chr13L[1])	False
ccc28dcc-7a00-4f45-b9ee-0b0eff2d4840	chr13L	N	end	ID7,ID7,ID8,ID7,ID8,ID8,ID7	1	1	chr13L	self[1-4]:ID7,ID8,ID7,ID8 > self[2-3]:ID8,ID7	False
cfe9ef3a-5653-4c61-830c-59f07d65b7e4	chr12L	N	beginning	ID1,ID7,ID8	1	1	chr13L	chr13L[1-2]:ID7,ID8	False
d3083910-d389-431e-a515-21bf01cb6b97	chr9L	N	end	ID6,ID2,ID2	1	1	chr4R	chr4R[1-2]:ID2,ID2	False
d3ec9dff-5c34-4c96-9cea-e877d9e8d106	chr8L	N	beginning	ID1,ID7,ID8	1	1	chr13L	chr13L[1-2]:ID7,ID8	False
d7a2c0c9-84c3-4b00-b573-0e7b3089ea9c	chr2R	N	end	ID7,ID8,ID7,ID8	0	1	chr13L	chr13L[1-4]:ID7,ID8,ID7,ID8	False
d90ce87d-1638-46df-b1c7-9ba664ca05ad	chr1R	Y	end	ID5,ID7,ID3	0	3	chr14L|chr16L|chr7R > chr13L > chr14L	chr14L|chr16L|chr7R:ID5 > chr13L[1]:ID7 > chr14L[3]:ID3	True
ddc393f4-1635-454a-a245-cdfb56c01bae	chr15L	N	end	ID5,ID2,ID3,ID3,ID3	0	1	chr14L	chr14L[1-5]:ID5,ID2,ID3,ID3,ID3	False
df1e7249-2866-40bb-b696-61c18108b66d	chr7R	N	end	ID5,ID8,ID7	1	1	chr13L	chr13L[2-3]:ID8,ID7	False
e140f647-ce2b-4697-ac36-315c9b9cde67	chr3R	Y	end	ID5,ID8,ID7,ID8	0	2	chr14L > chr13L	chr14L?[1]:ID5 > chr13L[2-4]:ID8,ID7,ID8	True
ed1ad3d8-fa2a-45c7-8be3-91896c3bce77	chr8L	N	beginning	ID7,ID8,ID8	0	1	chr13L	chr13L[1]:ID7 > chr13L[2]:ID8 > chr13L[2]:ID8	False
efb1d44c-6204-4e61-b1c7-bb257411bda6	chr4R	N	beginning	ID2,ID2,ID2,ID2,ID2,ID2,ID2,ID2,ID2	7	1	chr4R	self[4-5]:ID2,ID2	False
f4907755-64c1-44fa-a46e-1ec5fa0ed2bf	chr13L	N	beginning	ID7,ID8,ID7,ID8,ID7,ID7,ID8,ID7	4	1	chr13L	self[1-3]:ID7,ID7,ID8,ID7(circ x1.3 moderate | alt chr13L[1] + chr13L[1-3])	False
f91943bc-c5f3-4e31-98ab-05a6842a1565	chr5R	N	beginning	ID1,ID3,ID3,ID3	1	1	chr14L	chr14L[3-5]:ID3,ID3,ID3	False
fd52549c-8cdd-4b91-b3df-e2ad74363237	chr12L	N	end	ID3,ID2,ID2,ID2,ID2,ID2,ID2	0	1	chr14L	chr14L[3]:ID3 > chr12R|chr14L|chr4R:ID2,ID2,ID2,ID2,ID2,ID2(circ x6.0)	False
