strain	PD	read_uuid	sample	our_read_id	paper_chr_end	paper_n_yprime	paper_ids	paper_switch	our_chr_end	our_n_yprime	our_ids	our_status	our_path	our_entries	our_source	our_mechanism	our_blocks	our_switch
7302	33	061edee4-4c27-4874-8b01-5689329fd93e	7302_day4_with_selection	SRR33298449.117144	chr3R	4	ID6,ID2,ID3,ID3	Y	chr3R	4.0	ID6_Purple-Neutral,ID2_Red-Light,ID3_Orange,ID3_Orange	Y' Gain	chr14R[1]:ID6_Purple-Neutral > chr14L[2-4]:ID2_Red-Light,ID3_Orange,ID3_Orange	chr14R1|chr4R4,7;chr12R3,4,5;chr14L2|chr14L3,4,5|chr14L3,4,5	chr14L	donor_transfer	chr14R > chr14L	True
7172	33	071bf86a-0fef-463d-9562-6490210aa669	7172_day4_with_selection_repeat	SRR33298428.31337	chr12L	3	ID2,ID2,ID1	N	chr12L	3.0	ID1_Gray,ID2_Red,ID2_Red	Y' Gain	chr12R|chr4R:ID2_Red,ID2_Red	chr12L1|chr4R3,4,7;chr12R2,3,4,5;chr14L2;chr16L3|chr4R1,2,6;chr16L2	chr12R	donor_transfer_candidates:3	chr12R|chr4R	False
7172	33	07478c11-e720-40d6-aad3-878567790570	7172_day4_with_selection	SRR33298429.278303	chr2R	3	ID1,ID2,ID2	N	chr2R	3.0	ID1_Gray,ID2_Red,ID2_Red	Y' Gain	chr12L|chr12R|chr13L|chr16R|chr5R|chr8L|chr8R:ID1_Gray > chr16L|chr4R:ID2_Red,ID2_Red	chr13L1|chr4R3,4,7;chr12R2,3,4,5;chr14L2;chr16L3|chr4R1,2,6;chr16L2	chr12R	donor_transfer	chr12L|chr12R|chr13L|chr16R|chr5R|chr8L|chr8R > chr16L|chr4R	True
7172	33	084b2f5a-f893-4e03-b1ca-cd752d1ae81a	7172_day4_with_selection_repeat	SRR33298428.356062	chr12L	3	ID1,ID2,ID2	N	chr12L	3.0	ID1_Gray,ID2_Red,ID2_Red	Y' Gain	chr12R[6-7]:ID2_Red,ID2_Red	chr12L1|chr12R7|chr12R7	chr12R	donor_transfer	chr12R	False
7302	28	09a3ee29-9388-4fd7-9281-5ab846c248a3	7302_day3_with_selection	SRR33298450.325252	chr14R	4	ID6,ID2,ID2,ID2	N	chr14R	4.0	ID6_Purple-Neutral,ID2_Red-Light,ID2_Red-Light,ID2_Red-Light	Y' Gain	chr4R[5-7]:ID2_Red-Light,ID2_Red-Light,ID2_Red-Light	chr14R1|chr4R5|chr4R1,2,3,6|chr4R1,2,3,6	chr4R	donor_transfer	chr4R	False
7172	33	09fddbd6-523f-40f2-b6e3-dd1136ba7ba3	7172_day4_with_selection_repeat	SRR33298428.130355	chr7R	3	ID5,ID2,ID2	N	chr7R	3.0	ID5_Blue-Dark,ID2_Red,ID2_Red	Y' Gain	chr16L|chr4R:ID2_Red,ID2_Red	chr16L1|chr4R1,2,6;chr16L2|chr4R1,2,6;chr16L2	chr12R	donor_transfer_candidates:3	chr16L|chr4R	False
7172	28	0acbd3e7-636f-4eeb-8751-b0a956189c73	7172_day3_with_selection	SRR33298430.65207	chr5L	4	ID2,ID2,ID2,ID6	N	chr5L	4.0	ID6_Purple-Light,ID2_Red,ID2_Red,ID2_Red	Y' Gain	chr4R[5-7]:ID2_Red,ID2_Red,ID2_Red	chr5L1|chr4R5|chr4R3,4,7;chr12R2,3,4,5;chr14L2;chr16L3|chr4R3,4,7;chr12R2,3,4,5;chr14L2;chr16L3	chr4R	donor_transfer	chr4R	False
7302	33	0aff9a27-11d8-4844-a054-5cbf1714aae7	7302_day4_with_selection	SRR33298449.22248	chr13L	11	ID2,ID2,ID2,ID2,ID2,ID7,ID8,ID8,ID7,ID8,ID7	Y	chr13L	11.0	ID7_Yellow,ID2_Red-Light,ID7_Yellow,ID2_Red-Light,ID2_Red-Light,ID7_Yellow,ID2_Red-Light,ID2_Red-Light,ID2_Red-Light,ID2_Red-Light,ID2_Red-Light	Y' Gain	self[2-4]:ID2_Red-Light,ID7_Yellow,ID2_Red-Light > self[2]:ID2_Red-Light,ID2_Red-Light,ID2_Red-Light,ID2_Red-Light(circ x4.0 moderate)	chr13L3|chr13L4|chr13L3|chr13L4|chr13L4|chr13L3|chr4R4,7;chr12R3,4,5;chr14L2|chr4R1,2,3,6|chr4R1,2,3,6|chr4R4,7;chr12R3,4,5;chr14L2|chr4R1,2,3,6	chr13L	tandem_amplification_same_end	chr13L	False
7172	33	0b001fe1-ce97-429b-800b-025e088c5bc7	7172_day4_with_selection_repeat	SRR33298428.543661	chr15R	3	ID4,ID2,ID2	Y	chr15R	3.0	ID2_Red,ID2_Red,ID4_Green-Light	Y' Gain	chr12R|chr14L|chr4R:ID2_Red > chr2L|chr6L:ID4_Green-Light	chr15R1|chr4R1,2,6;chr16L2|chr2L1	chr7	unmatched_array	chr12R|chr14L|chr4R > chr2L|chr6L	True
7172	33	0b17dd01-3958-44f2-bb26-4d7c38b5dc29	7172_day4_with_selection_repeat	SRR33298428.57925	chr2R	2	ID2,ID5	N	chr2R	2.0	ID5_Blue-Dark,ID2_Red	Y' Gain	chr16L[1-2]:ID5_Blue-Dark,ID2_Red	chr16L1|chr4R3,4,7;chr12R2,3,4,5;chr14L2;chr16L3	chr16L	donor_transfer	chr16L	False
7302	33	0b3c30c0-cc76-456c-b77f-c40d81999c46	7302_day4_with_selection	SRR33298449.277410	chr7R	6	ID2,ID2,ID2,ID2,ID2,ID5	N	chr7R	6.0	ID5_Blue-Dark,ID2_Red-Light,ID2_Red-Light,ID2_Red-Light,ID2_Red-Light,ID2_Red-Light	Y' Gain	chr4R[1-4]:ID2_Red-Light,ID2_Red-Light,ID2_Red-Light,ID2_Red-Light,ID2_Red-Light(circ x1.2 moderate | alt chr4R[1-3] + chr4R[1-2])	chr16L1|chr4R5|chr4R4,7;chr12R3,4,5;chr14L2|chr4R4,7;chr12R3,4,5;chr14L2|chr4R5|chr4R1,2,3,6	chr4R	donor_transfer	chr4R	False
7302	33	0b7a453d-40fc-402b-8fb7-c825d544a889	7302_day4_with_selection	SRR33298449.396304	chr15L	2	ID1,ID2	N	chr15L	2.0	ID1_Gray,ID2_Red-Light	Y' Gain	chr12R[1-2]:ID1_Gray,ID2_Red-Light	chr8R1|chr13L4	chr12R	donor_transfer	chr12R	False
7172	33	0ba91cb7-2985-4634-a712-0cb992e044f1	7172_day4_with_selection_repeat	SRR33298428.256929	chr12R	13	ID4,ID2,ID2,ID2,ID2,ID2,ID2,ID2,ID2,ID2,ID2,ID2,ID1	Y	chr12R	13.0	ID1_Gray,ID2_Red,ID2_Red,ID2_Red,ID2_Red,ID2_Red,ID2_Red,ID2_Red,ID2_Red,ID2_Red,ID2_Red,ID2_Red,ID4_Green-Light	Y' Gain	self[6-7]:ID2_Red,ID2_Red,ID2_Red,ID2_Red(circ x2.0 moderate | alt chr12R[2] + chr12R[6-8]) > chr2L|chr6L:ID4_Green-Light	chr12R1|chr4R3,4,7;chr12R2,3,4,5;chr14L2;chr16L3|chr4R3,4,7;chr12R2,3,4,5;chr14L2;chr16L3|chr4R1,2,6;chr16L2|chr4R3,4,7;chr12R2,3,4,5;chr14L2;chr16L3|chr4R3,4,7;chr12R2,3,4,5;chr14L2;chr16L3|chr12R7|chr12R6,8|chr12R6,8|chr12R6,8|chr12R6,8|chr4R1,2,6;chr16L2|chr2L1	chr12R	tandem_amplification_same_end	chr12R > chr2L|chr6L	True
7172	28	0c79052a-6bb0-45b4-967a-26b3e42cd550	7172_day3_with_selection	SRR33298430.390403	chr13R	10	ID2,ID2,ID2,ID2,ID2,ID2,ID2,ID2,ID2,ID1	N	chr13R	10.0	ID1_Gray,ID2_Red,ID2_Red,ID2_Red,ID2_Red,ID2_Red,ID2_Red,ID2_Red,ID2_Red,ID2_Red	Y' Gain	chr12R[1-6]:ID1_Gray,ID2_Red,ID2_Red,ID2_Red,ID2_Red,ID2_Red > chr12R[2-5]:ID2_Red,ID2_Red,ID2_Red,ID2_Red	chr12R1|chr4R3,4,7;chr12R2,3,4,5;chr14L2;chr16L3|chr4R3,4,7;chr12R2,3,4,5;chr14L2;chr16L3|chr4R3,4,7;chr12R2,3,4,5;chr14L2;chr16L3|chr4R3,4,7;chr12R2,3,4,5;chr14L2;chr16L3|chr4R3,4,7;chr12R2,3,4,5;chr14L2;chr16L3|chr4R1,2,6;chr16L2|chr4R1,2,6;chr16L2|chr4R3,4,7;chr12R2,3,4,5;chr14L2;chr16L3|chr4R3,4,7;chr12R2,3,4,5;chr14L2;chr16L3	chr12R	donor_transfer	chr12R	False
7172	28	0e41f331-97a2-42ec-b551-6a1c79e08106	7172_day3_with_selection	SRR33298430.307215	chr6L	3	ID5,ID3,ID3	Y	chr6L	3.0	ID3_Orange,ID3_Orange,ID5_Blue-Dark	1st Y' Change	chr14L[3]:ID3_Orange > chr14L[3]:ID3_Orange > chr16L|chr7R:ID5_Blue-Dark	chr14L3|chr14L3|chr7R1	ambiguous	unmatched_array	chr14L > chr16L|chr7R	True
7302	33	0e4dedc4-e74d-4d40-b239-2cd7064fea44	7302_day4_with_selection	SRR33298449.319937	chr8L	6	ID1,ID3,ID3,ID5,ID2,ID3	N	chr8L	6.0	ID1_Gray,ID3_Orange,ID3_Orange,ID5_Blue-Light,ID2_Red-Light,ID3_Orange	Y' Gain	chr14L[1-4]:ID3_Orange,ID3_Orange,ID5_Blue-Light,ID2_Red-Light,ID3_Orange(circ x1.2 moderate | alt chr14L[3-4] + chr14L[1-3])	chr8L1|chr14L3,4,5|chr14L3,4,5|chr14L1|chr4R1,2,3,6|chr14L3,4,5	chr14L	donor_transfer	chr14L	False
7302	33	0e5cf3de-999c-4950-bcce-61c30955d604	7302_day4_with_selection	SRR33298449.327615	chr10R	5	ID7,ID8,ID7,ID8,ID7	N	chr10R	5.0	ID7_Yellow,ID2_Red-Light,ID7_Yellow,ID2_Red-Light,ID7_Yellow	Y' Gain	chr13L[1-2]:ID7_Yellow,ID2_Red-Light,ID7_Yellow,ID2_Red-Light,ID7_Yellow(circ x2.5 strong)	chr13L3|chr13L4|chr13L3|chr13L4|chr13L3	chr13L	donor_transfer	chr13L	False
7172	33	0ed499ed-9c7c-45e3-86ce-b554f48b4b87	7172_day4_with_selection	SRR33298429.142774	chr5L	3	ID2,ID2,ID6	N	chr5L	3.0	ID6_Purple-Light,ID2_Red,ID2_Red	Y' Gain	chr16L|chr4R:ID2_Red,ID2_Red	chr5L1|chr4R3,4,7;chr12R2,3,4,5;chr14L2;chr16L3|chr4R3,4,7;chr12R2,3,4,5;chr14L2;chr16L3	chr12R	donor_transfer_candidates:3	chr16L|chr4R	False
7302	33	102ce463-3ef7-413e-aaa5-fbcf48a58e61	7302_day4_with_selection	SRR33298449.304990	chr16L	5	ID5,ID2,ID2,ID2,ID2	N	chr16L	4.0	ID5_Blue-Dark,ID2_Red-Light,ID2_Red-Light,ID2_Red-Light	Y' Gain	chr4R[5-7]:ID2_Red-Light,ID2_Red-Light,ID2_Red-Light	chr16L1|chr4R1,2,3,6|chr4R4,7;chr12R3,4,5;chr14L2|chr4R4,7;chr12R3,4,5;chr14L2	chr4R	donor_transfer	chr4R	False
7172	33	1055cac6-b8b4-4597-88bd-5edeb197a668	7172_day4_with_selection	SRR33298429.794234	chr9R	2	ID5,ID2	N	chr9R	2.0	ID5_Blue-Light,ID2_Red	Y' Gain	chr14L[1-2]:ID5_Blue-Light,ID2_Red	chr14L1|chr4R3,4,7;chr12R2,3,4,5;chr14L2;chr16L3	chr14L	donor_transfer	chr14L	False
7172	33	144ffab0-e609-47b1-89e1-251e862b27ad	7172_day4_with_selection_repeat	SRR33298428.526211	chr2L	3	ID4,ID2,ID2	N	chr2L	3.0	ID4_Green-Light,ID2_Red,ID2_Red	Y' Gain	chr12R|chr4R:ID2_Red,ID2_Red	chr2L1|chr4R3,4,7;chr12R2,3,4,5;chr14L2;chr16L3|chr4R5	chr12R	donor_transfer_candidates:3	chr12R|chr4R	False
7172	33	14b778a7-01ee-4123-b7c2-841fe75cd701	7172_day4_with_selection_repeat	SRR33298428.492183	chr12R	10	ID2,ID2,ID2,ID2,ID2,ID2,ID2,ID2,ID2,ID1	N	chr12R	10.0	ID1_Gray,ID2_Red,ID2_Red,ID2_Red,ID2_Red,ID2_Red,ID2_Red,ID2_Red,ID2_Red,ID2_Red	Y' Gain	self[6-7]:ID2_Red,ID2_Red	chr12R1|chr4R3,4,7;chr12R2,3,4,5;chr14L2;chr16L3|chr4R3,4,7;chr12R2,3,4,5;chr14L2;chr16L3|chr4R3,4,7;chr12R2,3,4,5;chr14L2;chr16L3|chr4R3,4,7;chr12R2,3,4,5;chr14L2;chr16L3|chr12R6,8|chr12R7|chr4R3,4,7;chr12R2,3,4,5;chr14L2;chr16L3|chr12R6,8|chr12R7	chr12R	tandem_amplification_same_end	chr12R	False
7302	28	159b20fa-4ef3-4341-b91b-8dc01f003013	7302_day3_with_selection	SRR33298450.543490	chr14R	3	ID2,ID2,ID2	N	chr14R	3.0	ID2_Red-Light,ID2_Red-Light,ID2_Red-Light	1st Y' Change	chr4R[1-3]:ID2_Red-Light,ID2_Red-Light,ID2_Red-Light	chr4R1,2,3,6|chr4R4,7;chr12R3,4,5;chr14L2|chr4R4,7;chr12R3,4,5;chr14L2	chr4R	donor_transfer	chr4R	False
7302	33	15d3be21-26a5-422d-9263-2dd46f487770	7302_day4_with_selection	SRR33298449.557053	chr16R	3	ID1,ID8,ID7	N	chr16R	3.0	ID1_Gray,ID2_Red-Light,ID7_Yellow	Y' Gain	chr13L[2-3]:ID2_Red-Light,ID7_Yellow	chr16R1|chr13L4|chr13L3	chr13L	donor_transfer	chr13L	False
7302	28	163c31a9-76bc-44f4-b45a-6e3d52b5e8cf	7302_day3_with_selection	SRR33298450.547328	chr6L	5	ID2,ID2,ID2,ID2,ID4	N	chr6L	5.0	ID4_Green-Dark,ID2_Red-Light,ID2_Red-Light,ID2_Red-Light,ID2_Red-Light	Y' Gain	chr4R[4-7]:ID2_Red-Light,ID2_Red-Light,ID2_Red-Light,ID2_Red-Light	chr6L1|chr4R1,2,3,6|chr4R5|chr4R4,7;chr12R3,4,5;chr14L2|chr4R4,7;chr12R3,4,5;chr14L2	chr4R	donor_transfer	chr4R	False
7302	33	166a29d4-21b5-4a4a-989b-24be5c525d73	7302_day4_with_selection	SRR33298449.131849	chr13L	7	ID7,ID8,ID7,ID8,ID7,ID8,ID7	N	chr13L	7.0	ID7_Yellow,ID2_Red-Light,ID7_Yellow,ID2_Red-Light,ID7_Yellow,ID2_Red-Light,ID7_Yellow	Y' Gain	self[1-3]:ID7_Yellow,ID2_Red-Light,ID7_Yellow	chr13L3|chr13L4|chr13L3|chr13L4|chr13L3|chr13L4|chr13L3	chr13L	tandem_amplification_same_end	chr13L	False
7302	33	16ad467a-e386-4d0f-83ae-5671e2cc4fee	7302_day4_with_selection	SRR33298449.52408	chr13L	8	ID7,ID7,ID7,ID8,ID7,ID7,ID8,ID8	N	chr13L	4.0	ID7_Yellow,ID2_Red-Light,ID7_Yellow,ID2_Red-Light	No Change		chr13L3|chr13L4|chr13L3|chr13L4				
7302	33	174ee53e-cadb-4f69-a6bf-335ed9c86ad8	7302_day4_with_selection	SRR33298449.170990	chr7L	2	ID2,ID1	N	chr7L	2.0	ID1_Gray,ID2_Red-Light	Y' Gain	chr12R[1-2]:ID1_Gray,ID2_Red-Light	chr12R1|chr4R5	chr12R	donor_transfer	chr12R	False
7302	33	17625672-95dd-4870-9975-e3a252ff12bc	7302_day4_with_selection	SRR33298449.277608	chr3R	4	ID8,ID7,ID8,ID7	N	chr3R	4.0	ID7_Yellow,ID2_Red-Light,ID7_Yellow,ID2_Red-Light	Y' Gain	chr13L[1-4]:ID7_Yellow,ID2_Red-Light,ID7_Yellow,ID2_Red-Light	chr13L3|chr13L4|chr13L3|chr13L4	chr13L	donor_transfer	chr13L	False
7172	33	17768f45-19e3-4618-ab26-d42e07974d02	7172_day4_with_selection	SRR33298429.119490	chr5R	5	ID1,ID3,ID3,ID2,ID2	N	chr5R	5.0	ID1_Gray,ID3_Orange,ID3_Orange,ID2_Red,ID2_Red	Y' Gain	chr14L[3]:ID3_Orange > chr14L[3]:ID3_Orange > chr16L|chr4R:ID2_Red,ID2_Red	chr5R1|chr14L3|chr14L3|chr4R3,4,7;chr12R2,3,4,5;chr14L2;chr16L3|chr4R3,4,7;chr12R2,3,4,5;chr14L2;chr16L3	chr14L	donor_transfer	chr14L > chr16L|chr4R	True
7302	33	180826c3-19cf-4b4b-9119-bacbd9c2eebc	7302_day4_with_selection	SRR33298449.277540	chr14L	7	ID2,ID3,ID3,ID3,ID3,ID2,ID5	N	chr14L	7.0	ID5_Blue-Dark,ID2_Red-Light,ID3_Orange,ID3_Orange,ID3_Orange,ID3_Orange,ID2_Red-Light	1st Y' Change	chr16L|chr7R:ID5_Blue-Dark > self[2-5]:ID2_Red-Light,ID3_Orange,ID3_Orange,ID3_Orange > self[3]:ID3_Orange > self[2]:ID2_Red-Light	chr16L1|chr4R1,2,3,6|chr14L3,4,5|chr14L3,4,5|chr14L3,4,5|chr14L3,4,5|chr13L4	chr14L	tandem_amplification_same_end	chr16L|chr7R > chr14L	True
7302	33	19358fad-3d8e-42c1-94f9-024d9f34b244	7302_day4_with_selection	SRR33298449.131857	chr5R	6	ID8,ID7,ID8,ID7,ID8,ID1	N	chr5R	6.0	ID1_Gray,ID2_Red-Light,ID7_Yellow,ID2_Red-Light,ID7_Yellow,ID2_Red-Light	Y' Gain	chr13L[1-2]:ID2_Red-Light,ID7_Yellow,ID2_Red-Light,ID7_Yellow,ID2_Red-Light(circ x2.5 strong)	chr5R1|chr13L4|chr13L3|chr4R1,2,3,6|chr13L3|chr12R6	chr13L	donor_transfer	chr13L	False
7302	33	1a7a787b-ba2f-423a-ab43-182094eeb368	7302_day4_with_selection	SRR33298449.174558	chr13L	6	ID8,ID7,ID8,ID7,ID8,ID7	N	chr13L	6.0	ID7_Yellow,ID2_Red-Light,ID7_Yellow,ID2_Red-Light,ID7_Yellow,ID2_Red-Light	Y' Gain	self[1-2]:ID7_Yellow,ID2_Red-Light	chr13L3|chr13L4|chr13L3|chr13L4|chr13L3|chr13L4	chr13L	tandem_amplification_same_end	chr13L	False
7302	28	1ade0ef9-4965-46b1-b078-8d6330fb0224	7302_day3_with_selection	SRR33298450.401854	chr8R	4	ID7,ID7,ID8,ID1	N	chr8R	4.0	ID1_Gray,ID2_Red-Light,ID7_Yellow,ID7_Yellow	Y' Gain	chr13L[2-3]:ID2_Red-Light,ID7_Yellow > chr13L[1]:ID7_Yellow	chr8R1|chr13L4|chr13L3|chr13L3	chr13L	donor_transfer	chr13L	False
7302	33	1af7cb32-493e-4deb-aabe-deabfe3a231e	7302_day4_with_selection	SRR33298449.100701	chr12R	9	ID2,ID2,ID2,ID2,ID2,ID2,ID2,ID2,ID1	N	chr12R	9.0	ID1_Gray,ID2_Red-Light,ID2_Red-Light,ID2_Red-Light,ID2_Red-Light,ID2_Red-Light,ID2_Red-Light,ID2_Red-Light,ID2_Red-Light	Y' Gain	chr13L?[2]:ID2_Red-Light,ID2_Red-Light,ID2_Red-Light(circ x3.0 moderate)	chr12R1|chr4R1,2,3,6|chr4R1,2,3,6|chr4R1,2,3,6|chr4R1,2,3,6|chr12R6|chr4R4,7;chr12R3,4,5;chr14L2|chr12R6|chr4R4,7;chr12R3,4,5;chr14L2	chr12R	tandem_amplification_same_end	chr13L	False
7302	28	1b102e6e-7032-40fd-a182-3872644d83e2	7302_day3_with_selection	SRR33298450.55887	chr8L	4	ID3,ID3,ID3,ID1	N	chr8L	4.0	ID1_Gray,ID3_Orange,ID3_Orange,ID3_Orange	Y' Gain	chr14L[3-5]:ID3_Orange,ID3_Orange,ID3_Orange	chr8L1|chr14L3,4,5|chr14L3,4,5|chr14L3,4,5	chr14L	donor_transfer	chr14L	False
7172	28	1b5f6478-1b99-4079-b264-48976da1a9a5	7172_day3_with_selection	SRR33298430.400396	chr9L	4	ID2,ID2,ID2,ID6	N	chr9L	4.0	ID6_Purple-Dark,ID2_Red,ID2_Red,ID2_Red	Y' Gain	chr4R[5-7]:ID2_Red,ID2_Red,ID2_Red	chr9L1|chr4R5|chr4R3,4,7;chr12R2,3,4,5;chr14L2;chr16L3|chr4R3,4,7;chr12R2,3,4,5;chr14L2;chr16L3	chr4R	donor_transfer	chr4R	False
7172	33	1c5362de-1cdf-43c4-9488-a133b9f22b0a	7172_day4_with_selection_repeat	SRR33298428.145790	chr16L	6	ID5,ID2,ID2,ID2,ID2,ID2	N	chr16L	6.0	ID5_Blue-Dark,ID2_Red,ID2_Red,ID2_Red,ID2_Red,ID2_Red	Y' Gain	chr12R[6-7]:ID2_Red,ID2_Red,ID2_Red(circ x1.5 moderate | alt chr12R[2] + chr12R[6-7])	chr16L1|chr4R3,4,7;chr12R2,3,4,5;chr14L2;chr16L3|chr12R6,8|chr12R7|chr12R6,8|chr12R7	chr12R	donor_transfer	chr12R	False
7172	33	1cacdbe0-f84a-4851-a6b4-4230136aad4c	7172_day4_with_selection_repeat	SRR33298428.365154	chr10R	3	ID4,ID2,ID5	Y	chr10R	3.0	ID5_Blue-Dark,ID2_Red,ID4_Green-Light	Y' Gain	chr16L[1-2]:ID5_Blue-Dark,ID2_Red > chr2L|chr6L:ID4_Green-Light	chr16L1|chr4R1,2,6;chr16L2|chr2L1	chr16L	donor_transfer	chr16L > chr2L|chr6L	True
