sample	chr_end	n	n_status_changed	n_source_changed	n_detected_changed	n_detected_a	n_detected_b	n_ambiguous_a	n_ambiguous_b	mean_dconf
6991_day0_with_selection_repeat2	chr8R	106	0	0	0	2	2	1	1	-0.001
6991_day0_with_selection_repeat2	chr9L	197	0	0	0	1	1	1	1	-0.001
6991_day0_with_selection_repeat2	chr9R	476	0	0	0	1	1	0	0	0.0
7172_day0_with_selection	chr10L	208	0	0	0	1	1	0	0	0.0
7172_day0_with_selection	chr10R	271	0	2	0	4	4	0	0	0.0
7172_day0_with_selection	chr11L	333	0	1	0	1	1	0	0	0.0
7172_day0_with_selection	chr11R	296	0	0	0	0	0	0	0	0.0
7172_day0_with_selection	chr12L	326	0	0	0	0	0	0	0	0.0
7172_day0_with_selection	chr12R	51	0	0	0	6	6	5	5	-0.006
7172_day0_with_selection	chr13L	339	0	0	0	1	1	1	1	-0.0
7172_day0_with_selection	chr13R	275	0	1	0	1	1	0	0	0.001
7172_day0_with_selection	chr14L	144	0	4	0	13	13	9	8	-0.001
7172_day0_with_selection	chr14R	305	0	1	0	5	5	1	1	-0.002
7172_day0_with_selection	chr15L	387	0	0	0	1	1	0	0	0.0
7172_day0_with_selection	chr15R	226	0	7	0	7	7	0	0	0.0
7172_day0_with_selection	chr16L	139	0	4	0	13	13	8	8	-0.004
7172_day0_with_selection	chr16R	345	0	2	0	4	4	2	2	0.0
7172_day0_with_selection	chr1L	308	0	0	0	2	2	0	0	0.0
7172_day0_with_selection	chr1R	130	0	0	0	0	0	0	0	0.0
7172_day0_with_selection	chr2L	248	0	0	0	0	0	0	0	0.0
7172_day0_with_selection	chr2R	327	0	0	0	4	4	0	0	0.001
7172_day0_with_selection	chr3L	442	0	0	0	0	0	0	0	0.0
7172_day0_with_selection	chr3R	470	0	2	0	4	4	0	0	0.001
7172_day0_with_selection	chr4L	194	0	0	0	0	0	0	0	0.0
7172_day0_with_selection	chr4R	64	0	3	0	9	9	6	6	-0.001
7172_day0_with_selection	chr5L	370	0	0	0	2	2	2	2	-0.0
7172_day0_with_selection	chr5R	345	0	1	0	4	4	2	2	0.0
7172_day0_with_selection	chr6L	414	0	0	0	6	6	6	6	-0.001
7172_day0_with_selection	chr6R	558	0	1	0	2	2	0	0	0.0
7172_day0_with_selection	chr7L	356	0	0	0	0	0	0	0	0.0
7172_day0_with_selection	chr7R	233	0	3	0	3	3	0	1	-0.0
7172_day0_with_selection	chr8L	393	0	4	0	5	5	0	3	0.0
7172_day0_with_selection	chr8R	126	0	1	0	5	5	3	3	-0.002
7172_day0_with_selection	chr9L	275	0	0	0	1	1	0	0	0.0
7172_day0_with_selection	chr9R	419	0	0	0	1	1	0	0	0.0
7172_day2_with_selection	chr10L	476	0	0	0	4	4	4	4	0.0
7172_day2_with_selection	chr10R	544	0	0	0	7	7	0	0	0.001
7172_day2_with_selection	chr11L	687	0	1	0	687	687	0	0	0.005
7172_day2_with_selection	chr11R	651	0	8	0	15	15	0	0	0.003
7172_day2_with_selection	chr12L	886	0	1	0	9	9	8	7	0.0
7172_day2_with_selection	chr12R	81	0	0	0	42	42	38	38	-0.015
7172_day2_with_selection	chr13L	667	0	0	0	8	8	5	5	0.0
7172_day2_with_selection	chr13R	587	0	19	0	45	45	2	13	0.013
7172_day2_with_selection	chr14L	241	0	14	0	76	76	64	64	-0.009
7172_day2_with_selection	chr14R	741	0	4	0	22	22	14	14	0.0
7172_day2_with_selection	chr15L	864	0	8	0	23	23	0	5	0.002
7172_day2_with_selection	chr15R	431	0	15	0	25	25	5	5	0.002
7172_day2_with_selection	chr16L	462	0	0	0	461	461	459	459	-0.028
7172_day2_with_selection	chr16R	861	0	2	0	17	17	13	15	0.0
7172_day2_with_selection	chr1L	335	0	1	0	17	17	4	4	0.001
7172_day2_with_selection	chr1R	122	0	2	0	4	4	0	0	0.003
7172_day2_with_selection	chr2L	635	0	7	0	20	20	9	11	0.001
7172_day2_with_selection	chr2R	718	0	3	0	31	31	0	0	0.003
7172_day2_with_selection	chr3L	646	0	2	0	4	4	0	0	0.001
7172_day2_with_selection	chr3R	609	0	1	0	7	7	0	0	0.002
7172_day2_with_selection	chr4L	432	0	2	0	7	7	1	0	0.0
7172_day2_with_selection	chr4R	120	0	4	0	31	31	28	26	-0.004
7172_day2_with_selection	chr5L	849	0	0	0	7	7	7	7	-0.001
7172_day2_with_selection	chr5R	791	0	11	0	16	16	3	4	0.001
7172_day2_with_selection	chr6L	508	0	0	0	17	17	12	12	-0.001
7172_day2_with_selection	chr6R	680	0	1	0	3	3	0	0	0.001
7172_day2_with_selection	chr7L	868	0	3	0	11	11	0	3	0.0
7172_day2_with_selection	chr7R	596	0	0	0	2	2	1	1	0.0
7172_day2_with_selection	chr8L	937	0	4	0	12	12	4	6	0.0
7172_day2_with_selection	chr8R	185	0	0	0	5	5	2	2	0.0
7172_day2_with_selection	chr9L	356	0	1	0	3	3	2	2	0.0
7172_day2_with_selection	chr9R	673	0	0	0	4	4	0	0	0.0
7172_day3_with_selection	chr10L	146	0	0	0	1	1	0	0	0.0
7172_day3_with_selection	chr10R	161	0	2	0	4	4	0	0	0.002
7172_day3_with_selection	chr11L	165	0	3	0	165	165	0	0	0.013
7172_day3_with_selection	chr11R	143	0	8	0	10	10	0	1	0.004
7172_day3_with_selection	chr12L	195	0	0	0	2	2	2	2	0.0
7172_day3_with_selection	chr12R	53	0	3	0	20	20	10	9	0.001
7172_day3_with_selection	chr13L	190	0	0	0	1	1	0	0	0.0
7172_day3_with_selection	chr13R	141	0	9	0	24	24	0	7	0.021
7172_day3_with_selection	chr14L	101	0	12	0	47	47	35	34	-0.008
7172_day3_with_selection	chr14R	184	0	1	0	11	11	8	8	-0.001
7172_day3_with_selection	chr15L	196	0	7	0	11	11	0	1	0.006
7172_day3_with_selection	chr15R	144	0	8	0	8	8	0	0	0.002
7172_day3_with_selection	chr16L	152	0	1	0	152	152	151	151	-0.021
7172_day3_with_selection	chr16R	194	0	4	0	10	10	4	8	-0.0
7172_day3_with_selection	chr1L	118	0	1	0	12	12	5	5	0.0
7172_day3_with_selection	chr1R	53	0	3	0	8	8	0	0	0.02
7172_day3_with_selection	chr2L	175	0	1	0	6	6	4	5	-0.0
7172_day3_with_selection	chr2R	183	0	2	0	13	13	0	0	0.004
7172_day3_with_selection	chr3L	344	0	4	0	4	4	0	0	0.0
7172_day3_with_selection	chr3R	346	0	3	0	15	15	0	0	0.006
7172_day3_with_selection	chr4L	138	0	1	0	12	12	0	0	0.007
7172_day3_with_selection	chr4R	85	0	3	0	19	19	16	16	-0.005
7172_day3_with_selection	chr5L	246	0	1	0	4	4	2	2	0.0
7172_day3_with_selection	chr5R	244	0	7	0	13	13	3	5	0.0
7172_day3_with_selection	chr6L	313	0	4	0	12	12	5	5	0.001
7172_day3_with_selection	chr6R	370	0	3	0	4	4	0	1	0.001
7172_day3_with_selection	chr7L	181	0	0	0	2	2	0	0	0.0
7172_day3_with_selection	chr7R	173	0	8	0	9	9	1	1	0.001
7172_day3_with_selection	chr8L	248	0	1	0	4	4	2	3	-0.001
7172_day3_with_selection	chr8R	150	0	1	0	1	1	0	0	0.0
7172_day3_with_selection	chr9L	210	0	2	0	9	9	5	5	0.001
7172_day3_with_selection	chr9R	283	0	3	0	6	6	0	0	0.0
7172_day4_with_selection	chr10L	173	0	2	0	3	3	1	1	0.001
7172_day4_with_selection	chr10R	254	0	2	0	5	5	0	0	0.003
7172_day4_with_selection	chr11L	301	0	0	0	301	301	0	0	0.013
7172_day4_with_selection	chr11R	299	0	8	0	19	19	0	0	0.006
7172_day4_with_selection	chr12L	335	0	0	0	6	6	5	5	0.0
7172_day4_with_selection	chr12R	20	0	0	0	13	13	12	12	-0.022
7172_day4_with_selection	chr13L	321	0	2	0	6	6	1	2	-0.0
7172_day4_with_selection	chr13R	262	0	13	0	30	30	1	12	0.017
7172_day4_with_selection	chr14L	94	0	3	0	30	30	25	25	-0.005
7172_day4_with_selection	chr14R	276	0	2	0	13	13	10	10	0.001
7172_day4_with_selection	chr15L	354	0	6	0	13	13	0	4	0.002
7172_day4_with_selection	chr15R	183	0	5	0	8	8	3	3	0.0
7172_day4_with_selection	chr16L	179	0	0	0	178	178	178	178	-0.036
7172_day4_with_selection	chr16R	313	0	1	0	7	7	6	6	0.0
7172_day4_with_selection	chr1L	300	0	0	0	49	49	15	15	0.0
7172_day4_with_selection	chr1R	101	0	4	0	9	9	0	0	0.0
7172_day4_with_selection	chr2L	283	0	3	0	14	14	5	5	0.002
7172_day4_with_selection	chr2R	297	0	3	0	37	37	0	0	0.008
7172_day4_with_selection	chr3L	441	0	4	0	9	9	0	0	0.002
7172_day4_with_selection	chr3R	386	0	5	0	17	17	0	0	0.001
7172_day4_with_selection	chr4L	155	0	1	0	7	7	0	0	0.001
7172_day4_with_selection	chr4R	44	0	6	0	21	21	15	15	-0.016
7172_day4_with_selection	chr5L	364	0	4	0	14	14	9	10	0.001
7172_day4_with_selection	chr5R	375	0	7	0	10	10	3	4	0.001
7172_day4_with_selection	chr6L	345	0	2	0	23	23	15	16	-0.001
7172_day4_with_selection	chr6R	363	0	3	0	5	5	0	0	0.0
7172_day4_with_selection	chr7L	337	0	2	0	4	4	0	1	0.0
7172_day4_with_selection	chr7R	221	0	7	0	10	10	2	2	0.0
7172_day4_with_selection	chr8L	364	0	0	0	1	1	0	0	0.0
7172_day4_with_selection	chr8R	86	0	0	0	3	3	3	3	-0.002
7172_day4_with_selection	chr9L	231	0	0	0	3	3	2	2	-0.001
7172_day4_with_selection	chr9R	397	0	9	0	15	15	0	0	0.001
7172_day4_with_selection_repeat	chr10L	153	0	0	0	4	4	3	3	0.0
7172_day4_with_selection_repeat	chr10R	176	0	6	0	17	17	0	1	0.006
7172_day4_with_selection_repeat	chr11L	215	0	7	0	7	7	0	0	0.003
7172_day4_with_selection_repeat	chr11R	195	0	10	0	22	22	0	2	0.008
7172_day4_with_selection_repeat	chr12L	204	0	1	0	11	11	11	10	0.0
7172_day4_with_selection_repeat	chr12R	32	0	4	0	19	19	10	10	-0.005
7172_day4_with_selection_repeat	chr13L	182	0	1	0	6	6	2	3	-0.0
7172_day4_with_selection_repeat	chr13R	152	0	2	0	6	6	0	2	0.006
7172_day4_with_selection_repeat	chr14L	94	0	6	0	92	92	84	87	-0.005
7172_day4_with_selection_repeat	chr14R	197	0	1	0	11	11	3	3	0.002
7172_day4_with_selection_repeat	chr15L	228	0	7	0	17	17	0	4	0.001
7172_day4_with_selection_repeat	chr15R	134	0	4	0	4	4	0	0	0.0
7172_day4_with_selection_repeat	chr16L	138	0	3	0	138	138	133	133	-0.016
7172_day4_with_selection_repeat	chr16R	211	0	3	0	8	8	4	5	-0.0
7172_day4_with_selection_repeat	chr1L	125	0	1	0	12	12	5	5	0.0
7172_day4_with_selection_repeat	chr1R	56	0	2	0	8	8	0	0	0.011
7172_day4_with_selection_repeat	chr2L	196	0	8	0	15	15	3	6	0.002
7172_day4_with_selection_repeat	chr2R	185	0	4	0	19	19	0	1	0.004
7172_day4_with_selection_repeat	chr3L	266	0	4	0	7	7	0	0	0.002
7172_day4_with_selection_repeat	chr3R	288	0	2	0	16	16	0	0	0.003
7172_day4_with_selection_repeat	chr4L	139	0	2	0	11	11	0	0	0.004
7172_day4_with_selection_repeat	chr4R	61	0	5	0	31	31	28	26	-0.003
7172_day4_with_selection_repeat	chr5L	221	0	8	0	13	13	5	12	-0.001
7172_day4_with_selection_repeat	chr5R	170	0	6	0	11	11	4	7	-0.003
7172_day4_with_selection_repeat	chr6L	260	0	0	0	260	260	0	0	0.012
7172_day4_with_selection_repeat	chr6R	303	0	5	0	7	7	0	1	0.0
7172_day4_with_selection_repeat	chr7L	190	0	6	0	12	12	0	4	0.004
7172_day4_with_selection_repeat	chr7R	170	0	9	0	9	9	0	6	-0.001
7172_day4_with_selection_repeat	chr8L	231	0	7	0	17	17	7	14	-0.002
7172_day4_with_selection_repeat	chr8R	113	0	0	0	1	1	0	0	0.0
7172_day4_with_selection_repeat	chr9L	148	0	0	0	2	2	0	0	0.0
7172_day4_with_selection_repeat	chr9R	247	0	4	0	9	9	0	0	0.002
7172_day5_with_selection	chr10L	97	0	1	0	10	10	4	4	-0.001
7172_day5_with_selection	chr10R	131	0	5	0	12	12	0	0	0.002
7172_day5_with_selection	chr11L	177	0	0	0	177	177	0	0	0.011
7172_day5_with_selection	chr11R	158	0	10	0	20	20	0	0	0.016
7172_day5_with_selection	chr12L	189	0	2	0	6	6	6	4	0.001
7172_day5_with_selection	chr12R	14	0	1	0	10	10	8	8	-0.041
7172_day5_with_selection	chr13L	189	0	8	0	13	13	2	8	-0.001
7172_day5_with_selection	chr13R	141	0	12	0	37	37	0	10	0.034
7172_day5_with_selection	chr14L	70	0	6	0	31	31	24	27	-0.016
7172_day5_with_selection	chr14R	185	0	5	0	9	9	3	2	0.003
7172_day5_with_selection	chr15L	219	0	24	0	36	36	0	9	0.006
7172_day5_with_selection	chr15R	117	0	12	0	17	17	4	4	-0.001
7172_day5_with_selection	chr16L	100	0	1	0	99	99	98	98	-0.023
7172_day5_with_selection	chr16R	202	0	5	0	13	13	6	11	-0.001
7172_day5_with_selection	chr1L	130	0	1	0	42	42	23	23	0.003
7172_day5_with_selection	chr1R	57	0	10	0	21	21	0	0	0.023
7172_day5_with_selection	chr2L	160	0	3	0	24	24	10	12	-0.0
7172_day5_with_selection	chr2R	165	0	4	0	29	29	0	0	0.004
7172_day5_with_selection	chr3L	228	0	5	0	10	10	0	0	0.002
7172_day5_with_selection	chr3R	263	0	3	0	17	17	0	0	0.004
7172_day5_with_selection	chr4L	112	0	2	0	17	17	0	0	0.001
7172_day5_with_selection	chr4R	41	0	2	0	21	21	19	19	-0.01
7172_day5_with_selection	chr5L	191	0	11	0	21	21	9	16	0.001
7172_day5_with_selection	chr5R	204	0	4	0	6	6	1	3	-0.0
7172_day5_with_selection	chr6L	199	0	2	0	24	24	13	14	-0.002
7172_day5_with_selection	chr6R	155	0	0	0	3	3	0	0	0.001
7172_day5_with_selection	chr7L	239	0	10	0	14	14	0	4	0.001
7172_day5_with_selection	chr7R	158	0	16	0	20	20	2	4	0.002
7172_day5_with_selection	chr8L	181	0	7	0	7	7	0	6	-0.001
7172_day5_with_selection	chr8R	61	0	0	0	3	3	0	0	0.0
7172_day5_with_selection	chr9L	133	0	1	0	7	7	3	3	0.002
7172_day5_with_selection	chr9R	181	0	9	0	17	17	0	0	0.005
7172_day6_with_selection	chr10L	84	0	1	0	9	9	4	5	-0.002
7172_day6_with_selection	chr10R	107	0	8	0	33	33	0	0	0.031
7172_day6_with_selection	chr11L	133	0	3	0	133	133	0	0	0.058
7172_day6_with_selection	chr11R	125	0	11	0	45	45	0	0	0.069
7172_day6_with_selection	chr12L	134	0	3	0	12	12	12	9	0.004
7172_day6_with_selection	chr12R	20	0	0	0	13	13	9	9	-0.007
7172_day6_with_selection	chr13L	123	0	12	0	22	22	2	6	0.006
7172_day6_with_selection	chr13R	102	0	25	0	39	39	0	19	0.047
7172_day6_with_selection	chr14L	44	0	11	0	28	28	16	18	-0.01
7172_day6_with_selection	chr14R	133	0	2	0	21	21	11	11	0.004
7172_day6_with_selection	chr15L	119	0	24	0	36	36	0	19	0.001
7172_day6_with_selection	chr15R	72	0	10	0	11	11	1	1	0.003
7172_day6_with_selection	chr16L	88	0	5	0	87	87	83	82	-0.027
7172_day6_with_selection	chr16R	101	0	8	0	16	16	6	9	0.0
7172_day6_with_selection	chr1L	141	0	0	0	54	54	7	7	0.001
7172_day6_with_selection	chr1R	68	0	13	0	30	30	0	0	0.013
7172_day6_with_selection	chr2L	137	0	7	0	22	22	12	13	0.008
7172_day6_with_selection	chr2R	129	0	5	0	29	29	0	0	0.013
7172_day6_with_selection	chr3L	228	0	8	0	14	14	0	1	0.005
7172_day6_with_selection	chr3R	215	0	14	0	31	31	0	0	0.007
7172_day6_with_selection	chr4L	76	0	7	0	22	22	0	0	0.022
7172_day6_with_selection	chr4R	37	0	3	0	21	21	17	17	-0.036
7172_day6_with_selection	chr5L	151	0	17	0	26	26	5	14	0.009
7172_day6_with_selection	chr5R	162	0	15	0	20	20	4	8	0.005
7172_day6_with_selection	chr6L	165	0	3	0	25	25	17	17	-0.003
7172_day6_with_selection	chr6R	238	0	3	0	16	16	2	4	0.001
7172_day6_with_selection	chr7L	147	0	5	0	10	10	0	4	0.001
7172_day6_with_selection	chr7R	87	0	18	0	20	20	2	12	-0.002
7172_day6_with_selection	chr8L	177	0	14	0	22	22	6	13	0.007
7172_day6_with_selection	chr8R	47	0	3	0	10	10	4	4	-0.007
7172_day6_with_selection	chr9L	101	0	5	0	18	18	8	8	0.006
7172_day6_with_selection	chr9R	177	0	9	0	16	16	0	0	0.016
7172_day9_with_selection	chr10L	49	0	8	0	21	21	5	7	0.002
7172_day9_with_selection	chr10R	57	0	9	0	43	43	0	0	0.083
7172_day9_with_selection	chr11L	105	0	5	0	105	105	0	0	0.115
7172_day9_with_selection	chr11R	99	0	32	0	64	64	0	2	0.082
7172_day9_with_selection	chr12L	97	0	10	0	31	31	30	20	0.011
7172_day9_with_selection	chr12R	5	0	2	0	5	5	2	2	0.079
7172_day9_with_selection	chr13L	58	0	12	0	27	27	4	10	0.006
7172_day9_with_selection	chr13R	66	0	24	0	40	40	2	16	0.067
7172_day9_with_selection	chr14L	28	0	10	0	27	27	17	18	-0.043
7172_day9_with_selection	chr14R	75	0	19	0	49	49	27	30	0.019
7172_day9_with_selection	chr15L	90	0	32	0	51	51	1	13	0.02
7172_day9_with_selection	chr15R	31	0	11	0	14	14	1	1	0.014
7172_day9_with_selection	chr16L	45	0	2	0	44	44	39	39	-0.053
7172_day9_with_selection	chr16R	69	0	17	0	31	31	12	20	0.015
7172_day9_with_selection	chr1L	90	0	1	0	72	72	2	2	0.051
7172_day9_with_selection	chr1R	46	0	18	0	29	29	0	0	0.05
7172_day9_with_selection	chr2L	66	0	4	0	23	23	10	13	0.002
7172_day9_with_selection	chr2R	59	0	8	0	37	37	0	0	0.073
7172_day9_with_selection	chr3L	98	0	32	0	53	53	0	2	0.045
7172_day9_with_selection	chr3R	106	0	31	0	62	62	0	6	0.04
7172_day9_with_selection	chr4L	25	0	4	0	14	14	0	1	0.056
7172_day9_with_selection	chr4R	29	0	3	0	28	28	27	25	-0.023
7172_day9_with_selection	chr5L	82	0	24	0	39	39	13	24	0.016
7172_day9_with_selection	chr5R	84	0	35	0	38	38	3	7	0.018
7172_day9_with_selection	chr6L	68	0	13	0	33	33	12	19	0.01
7172_day9_with_selection	chr6R	115	0	18	0	72	72	16	20	0.022
7172_day9_with_selection	chr7L	79	0	28	0	53	53	0	17	0.026
7172_day9_with_selection	chr7R	35	0	17	0	19	19	1	4	0.017
7172_day9_with_selection	chr8L	119	0	35	0	49	49	6	30	0.005
7172_day9_with_selection	chr8R	31	0	1	0	12	12	2	2	0.009
7172_day9_with_selection	chr9L	54	0	14	0	27	27	3	4	0.031
7172_day9_with_selection	chr9R	94	0	35	0	53	53	0	5	0.036
7172_survivor_IT134	chr10L	23	0	11	0	18	18	2	4	0.042
7172_survivor_IT134	chr10R	31	0	20	0	29	29	0	0	0.099
7172_survivor_IT134	chr11L	36	0	14	0	27	27	0	0	0.061
7172_survivor_IT134	chr11R	23	0	14	0	23	23	0	2	0.098
7172_survivor_IT134	chr12L	38	0	9	0	19	19	17	9	0.025
7172_survivor_IT134	chr12R	3	0	0	0	3	3	2	2	0.001
7172_survivor_IT134	chr13L	31	0	15	0	23	23	1	5	0.028
7172_survivor_IT134	chr13R	27	0	18	0	22	22	0	11	0.054
7172_survivor_IT134	chr14L	26	0	8	0	25	25	16	17	-0.001
7172_survivor_IT134	chr14R	37	0	17	0	36	36	13	17	0.004
7172_survivor_IT134	chr15L	24	0	10	0	24	24	0	5	0.091
7172_survivor_IT134	chr15R	21	0	16	0	17	17	0	1	-0.001
7172_survivor_IT134	chr16L	20	0	4	0	19	19	15	15	0.01
7172_survivor_IT134	chr16R	32	0	19	0	26	26	4	13	0.076
7172_survivor_IT134	chr1L	74	0	12	0	74	74	12	12	0.058
7172_survivor_IT134	chr1R	45	0	24	0	41	41	0	0	0.076
7172_survivor_IT134	chr2L	24	0	8	0	16	16	1	3	0.027
