sample	chr_end	n	n_status_changed	n_source_changed	n_detected_changed	n_detected_a	n_detected_b	n_ambiguous_a	n_ambiguous_b	mean_dconf
7302_day0_with_selection	chr12R	123	0	0	0	9	9	8	8	0.0
7302_day0_with_selection	chr13L	292	0	0	0	15	15	12	12	0.0
7302_day0_with_selection	chr13R	432	0	2	0	11	11	5	3	0.0
7302_day0_with_selection	chr14L	133	0	0	0	14	14	13	13	0.0
7302_day0_with_selection	chr14R	536	0	2	0	3	3	3	1	0.0
7302_day0_with_selection	chr15L	533	0	0	0	0	0	0	0	0.0
7302_day0_with_selection	chr15R	363	53	53	53	3	56	0	0	-0.091
7302_day0_with_selection	chr16L	349	0	1	0	1	1	0	0	0.0
7302_day0_with_selection	chr16R	590	1	1	1	1	0	0	0	0.001
7302_day0_with_selection	chr1L	428	0	0	0	1	1	0	0	0.0
7302_day0_with_selection	chr1R	213	0	0	0	4	4	0	0	0.0
7302_day0_with_selection	chr2L	424	0	0	0	2	2	2	2	0.0
7302_day0_with_selection	chr2R	507	0	1	0	3	3	0	0	-0.0
7302_day0_with_selection	chr3L	627	0	0	0	0	0	0	0	0.0
7302_day0_with_selection	chr3R	628	0	0	0	3	3	0	0	0.0
7302_day0_with_selection	chr4L	273	0	0	0	3	3	0	0	0.0
7302_day0_with_selection	chr4R	113	1	1	1	13	14	12	13	-0.006
7302_day0_with_selection	chr5L	609	0	0	0	0	0	0	0	0.0
7302_day0_with_selection	chr5R	582	0	2	0	6	6	1	3	-0.0
7302_day0_with_selection	chr6L	595	0	11	0	27	27	18	13	0.0
7302_day0_with_selection	chr6R	817	0	0	0	2	2	0	0	0.0
7302_day0_with_selection	chr7L	557	0	0	0	0	0	0	0	0.0
7302_day0_with_selection	chr7R	418	0	0	0	2	2	0	0	0.0
7302_day0_with_selection	chr8L	600	0	0	0	3	3	0	0	0.0
7302_day0_with_selection	chr8R	228	0	0	0	2	2	1	1	0.0
7302_day0_with_selection	chr9L	371	0	0	0	0	0	0	0	0.0
7302_day0_with_selection	chr9R	639	0	0	0	2	2	0	0	0.0
